0.0,1747160447073,0.0018117013156028114
1.0,1747160457647,0.0016591273409158904
2.0,1747160468340,0.0013393834593851536
3.0,1747160478897,0.0011823995707824385
4.0,1747160489717,0.0011206295212778021
5.0,1747160500600,0.0010503283431103757
6.0,1747160511117,8.899596328162893E-4
7.0,1747160521498,7.644139023386453E-4
8.0,1747160532113,7.429128943698335E-4
9.0,1747160542849,7.284084292144434E-4
10.0,1747160553920,7.093966158104954E-4
11.0,1747160564301,6.889959820767719E-4
12.0,1747160574680,6.741717785481663E-4
13.0,1747160585622,6.594487121225341E-4
14.0,1747160596245,6.40936981530734E-4
15.0,1747160606743,6.215376093374254E-4
16.0,1747160617147,6.022800615866596E-4
17.0,1747160627763,5.844898331033196E-4
18.0,1747160638244,5.692711799458678E-4
19.0,1747160649249,5.569403553499701E-4
20.0,1747160659514,5.475188927659982E-4
21.0,1747160670216,5.397047284137986E-4
22.0,1747160680945,5.332333862488149E-4
23.0,1747160691798,5.276079528229645E-4
24.0,1747160702472,5.223220790786586E-4
25.0,1747160713289,5.177479356932936E-4
26.0,1747160723782,5.13380818560239E-4
27.0,1747160734506,5.090004258349058E-4
28.0,1747160745072,5.033551113548084E-4
29.0,1747160755467,4.987601020920285E-4
30.0,1747160765812,4.943811031817468E-4
31.0,1747160776184,4.902660090379795E-4
32.0,1747160786404,4.8593045583971426E-4
33.0,1747160796596,4.8148695241175514E-4
34.0,1747160807392,4.776920899911242E-4
35.0,1747160818213,4.739166353029311E-4
36.0,1747160828896,4.701291294446034E-4
37.0,1747160839490,4.6622436086919916E-4
38.0,1747160850016,4.6266430821422346E-4
39.0,1747160860600,4.593332509579625E-4
40.0,1747160871236,4.5619065118717307E-4
41.0,1747160881351,4.5318568539958306E-4
42.0,1747160891758,4.5046371350706757E-4
43.0,1747160902303,4.4772851540033666E-4
44.0,1747160913007,4.4500043970236385E-4
45.0,1747160923733,4.4219616968401294E-4
46.0,1747160934557,4.3954066494105673E-4
47.0,1747160945737,4.368599914147245E-4
48.0,1747160956324,4.34528357665848E-4
49.0,1747160967026,4.319099876877062E-4
50.0,1747160977699,4.294500199831278E-4
51.0,1747160988257,4.2666169787938243E-4
52.0,1747160999177,4.2408472370064913E-4
53.0,1747161009649,4.214786048045768E-4
54.0,1747161020320,4.192040668026176E-4
55.0,1747161030920,4.168229113787267E-4
56.0,1747161041823,4.134698527957161E-4
57.0,1747161052785,4.106885165034697E-4
58.0,1747161063054,4.0828564599177053E-4
59.0,1747161073617,4.060412418989693E-4
60.0,1747161084344,4.038873088475214E-4
61.0,1747161094813,4.0192121560965916E-4
62.0,1747161105276,4.0014916653134495E-4
63.0,1747161115839,3.984090970865063E-4
64.0,1747161126377,3.9634417917729054E-4
65.0,1747161137329,3.947435550137677E-4
66.0,1747161148084,3.928913759834568E-4
67.0,1747161158748,3.9117267416483953E-4
68.0,1747161169410,3.8947409466076366E-4
69.0,1747161180030,3.877834757003858E-4
70.0,1747161190312,3.861438819078284E-4
71.0,1747161200509,3.843874997044884E-4
72.0,1747161211331,3.825641116538394E-4
73.0,1747161222103,3.807003547136729E-4
74.0,1747161232988,3.786783002552736E-4
75.0,1747161243745,3.766470503401165E-4
76.0,1747161254274,3.746055416323749E-4
77.0,1747161264993,3.7277290717788224E-4
78.0,1747161276200,3.708714629923649E-4
79.0,1747161286921,3.6917628995935387E-4
80.0,1747161297519,3.6744898823572295E-4
81.0,1747161307913,3.6585657030637386E-4
82.0,1747161319069,3.640226092894441E-4
83.0,1747161329489,3.624815983541731E-4
84.0,1747161340124,3.6122807191810857E-4
85.0,1747161350645,3.5976769240675437E-4
86.0,1747161361365,3.5847699708732567E-4
87.0,1747161372202,3.571945283070687E-4
88.0,1747161383033,3.56095295305163E-4
89.0,1747161394004,3.5507158575880777E-4
90.0,1747161404458,3.5406654010513054E-4
91.0,1747161414962,3.5314125848277404E-4
92.0,1747161425693,3.522027054214338E-4
93.0,1747161436540,3.513768685419983E-4
94.0,1747161447184,3.504680656561191E-4
95.0,1747161458179,3.4981831061199945E-4
96.0,1747161469040,3.4902819557716956E-4
97.0,1747161479476,3.483499672650763E-4
98.0,1747161490027,3.476518943554369E-4
99.0,1747161500699,3.4676782108043926E-4
100.0,1747161510981,3.460286919878654E-4
101.0,1747161521762,3.45567641781011E-4
102.0,1747161532849,3.4452078235261814E-4
103.0,1747161543521,3.439813662981457E-4
104.0,1747161554320,3.434541498556493E-4
105.0,1747161565204,3.426886784431109E-4
106.0,1747161575797,3.422239647531413E-4
107.0,1747161586656,3.41563749681601E-4
108.0,1747161597072,3.4100874480333604E-4
109.0,1747161608092,3.404479540466581E-4
110.0,1747161618448,3.397346835536193E-4
111.0,1747161629057,3.3933171268624407E-4
112.0,1747161639716,3.388306117322725E-4
113.0,1747161650160,3.381725514209662E-4
114.0,1747161661145,3.375810303111968E-4
115.0,1747161671803,3.3705517796461863E-4
116.0,1747161682452,3.3655797221686054E-4
117.0,1747161693267,3.35868293916399E-4
118.0,1747161703759,3.354289843324261E-4
119.0,1747161714500,3.3490134148497183E-4
120.0,1747161725154,3.345099110555014E-4
121.0,1747161736045,3.336985424716207E-4
122.0,1747161747084,3.3322183708054846E-4
123.0,1747161757598,3.3288915430187754E-4
124.0,1747161768176,3.319877507418579E-4
125.0,1747161778739,3.3149351589219255E-4
126.0,1747161789596,3.3091669523178837E-4
127.0,1747161800357,3.30469378402622E-4
128.0,1747161810637,3.299800524092821E-4
129.0,1747161821269,3.2948017270864437E-4
130.0,1747161832107,3.2884690230791056E-4
