x,vy,signal,sideslipFR,pitchrate,FxFL,sideslipFL,ay,slip1,signal,steeringangel,longslipFR,FyFL,y,FyRR,sideslipRR,roll,sideslipRL,FxRR,FR,vx,longslipRR,FxRL,yawrate,gas,longslipRL,FyRL,RR,longslipFL,ax,FxFR,FyFR,pitch,brake,FL,RL,slip,rollrate,az,yaw
4564.018298359632,0.0,0.0,0.0,-2.3775753347224906e-08,0.0466599392730696,0.0,-0.1072571782351639,0.0,0.0,0.0,2.808349639999672e-07,0.0,-4850.897164652041,0.0,0.0,-1.2512815238127624e-07,0.0,0.0466828417996954,1e-05,0.0,2.808349639999672e-07,0.0466828441670549,-3.1788466794528535e-07,3.576388888888889,2.808349639999672e-07,0.0,1e-05,2.808349639999672e-07,-0.3431306652622903,0.0466599402084196,0.0,-3.9218157213248485e-05,0.0,1e-05,1e-05,0.0,-0.0001080008855989,1.4877731725295662,-0.0342957201195726
4564.0183271195,0.0002429550595765,0.0999583385413566,-0.0002758141952947,-0.0071726992989191,-47.79490148057706,-0.0008659359744629,0.0512574097733815,0.0,0.0,0.0,-0.0005803651418275,19.28668992787782,-4850.897164546333,17.234463926003237,-0.0007722126776018,-2.8295318894235186e-05,-0.0002269429815789,1547.781042113167,0.0135077235372194,0.0084803266374004,0.0126572463008556,1538.6319089146716,-2.501513631808599e-06,1.3670050133153122,0.0125048836592421,5.691584911514616,1.0821492862600806,-0.0006030459982721,1.8496504524269235,-45.75853934436751,6.898517053658372,-7.268271119580988e-05,0.0,0.013959558540463,1.0843085104833043,0.0,-0.0049169070171574,-0.0662153214831475,-0.0342957798154886
4564.018524938184,0.0013086920699657,0.1996668332936563,1.932067899840497e-05,-0.0176198917911128,-142.44805906443096,-0.0035866426963555,0.2303522388363268,0.0,0.0,0.0,-0.0008113798908903,138.2051963453168,-4850.897164208818,126.70201565764566,-0.0033493033520496,-9.62255593102594e-05,-0.0001768232328196,2184.9768321120123,0.0875958778534132,0.0299478053567387,0.0154120108718102,2158.1509867246878,8.742368217882826e-05,0.5314724806326185,0.0151258711012553,20.38933730949111,1.589645833154604,-0.0007838605914179,2.498051453887633,-143.03048298784827,19.20207446683152,-0.0002005502548176,0.0,0.0903021806296868,1.63106476894772,0.0,-0.0074778944125795,-0.0239392356238429,-0.0342953774320616
4564.018974275529,0.0033705135095564,0.2988762649471984,0.005846366056782,-0.0289384436564551,-131.95154403345092,-0.0042046559909915,0.1431204609265671,0.0,0.0,0.0,-0.0009428756266896,261.1396845067096,-4850.897155044225,253.73058540965448,-0.0041343982079912,-0.0001598771701851,0.004603952377121,2728.9671491680524,0.1887598253301484,0.0581758215718996,0.0191700832231293,2729.5789109887955,7.072998953231146e-05,0.2113235994730247,0.0192457047586491,-112.42609780516716,1.830275157219134,-0.0009501188770949,3.200499228212849,-130.91727580519554,-153.66793017016596,-0.000438850562439,0.0,0.1896048644377099,1.9068674293068375,0.0,-0.0051817533916041,0.002616540932296,-0.0342943399189491
4564.019742362128,0.0033551362383525,0.3973386615901224,0.0114646292572641,-0.0398189893002446,-137.63997306877877,-0.00878113123374,-0.1694566620604796,0.0,0.0,0.0,-0.0008565089442766,413.29215382683054,-4850.8971450829295,384.45386600885206,-0.0074671011935742,-0.0002050869456896,0.0108496524786666,3107.8998407841086,0.3157574747585941,0.092667907599686,0.0206891941409943,3119.7764105928923,-0.0001295046926596,0.0812839536360797,0.021071077867294,-499.2182774369924,1.6379329401224028,-0.0008423229910335,3.670268955642787,-137.0922131250006,-542.7965856041166,-0.0007889469760072,0.0,0.3176489118747162,1.697895282107124,0.0,-0.0044862241191752,0.0286686912035353,-0.0342948377368608
4564.020872737577,0.002129079582812,0.4948079185090459,0.0153376750766534,-0.0488249115115891,-136.30467940021575,-0.0169474513527753,-0.0211186012578666,0.0,0.0,0.0,-0.0008824220953401,851.25239133977,-4850.897158025347,817.8992687414263,-0.0157938201527427,-0.0002500497610983,0.0146830275933072,3007.7200732341157,0.443672401116255,0.1295611785747761,0.0186992875240467,3055.5120779489257,-3.184912002292429e-05,0.0274612491777555,0.0186322748389156,-871.1489976972368,1.290219385003447,-0.0008883874185681,3.5710097797571723,-136.00898170004297,-847.4831697446995,-0.0012389202673627,0.0,0.444568614001236,1.2859260320356791,0.0,-0.0040766283035638,0.0659269082144774,-0.0342957886175636
4564.022358729441,0.0017173782030555,0.5910404133226791,0.0232017045106627,-0.0545006248542969,-122.61225093822952,-0.0196305084289651,-0.099125186561631,0.0,0.0,0.0,-0.0008652334728754,1188.3310313972731,-4850.897189474287,1295.0440950909729,-0.0203354861786384,-0.0002799858324876,0.0216167183340387,2663.389389330128,0.5587399985987592,0.1635247333966751,0.0161125855111167,2625.025473408106,9.394085235375328e-05,0.0108661515458221,0.0157861904564235,-1360.6373126548012,1.10054899164557,-0.000825315952984,3.119168250114007,-121.669643484508,-1272.4683730314437,-0.0017614800706046,0.0,0.5601196619175554,1.076337111736755,0.0,-0.0022826761109543,0.0796439437335038,-0.0342952964204262
4564.024159615223,0.0007159059709689,0.6857956149109028,0.0250002314104357,-0.0565275822739413,-112.18453846073994,-0.0257258148509173,-0.0699426324383835,0.0,0.0,0.0,-0.000823621462097,1519.3655927373911,-4850.897239879152,1773.625444467941,-0.0254746676460979,-0.0002976537857705,0.025511207193691,2336.00903841854,0.6542854015156837,0.1932234846009095,0.0148884061976009,2354.547807443184,-2.935290351441756e-05,0.0105642618955003,0.0148965575194246,-1815.0148445804527,1.0777767834981242,-0.0008378043631893,2.7794669588925283,-111.66440028028155,-1569.10875641028,-0.0023204513939653,0.0,0.6542834820660616,1.0767312734208512,0.0,-0.0012379688398962,0.0728221809564354,-0.0342949625691303
4564.026240456124,0.0001106872482954,0.778836684617301,0.0289431376950489,-0.0554398213308006,-104.84541141701628,-0.0267388446375349,-0.0658882397623853,0.0,0.0,0.0,-0.000850917146339,1740.822576684962,-4850.897307292719,2160.5511083876586,-0.0286529668462454,-0.0003019721070752,0.0289455763199735,2124.329935210814,0.7337155341877379,0.220039636174364,0.0137023697344891,2122.8260758734195,8.39099071738823e-05,0.0140699300726072,0.0138831186145265,-2220.126302419242,1.1078097086226355,-0.0008060605805901,2.5296802831892653,-104.2737287215304,-1798.897567775879,-0.0028820966040531,0.0,0.7347502652765626,1.112498495210383,0.0,0.0001297893653003,0.0726473094713347,-0.0342946734853903
4564.02857616528,-0.0005795112867283,0.8699310682224604,0.0253509538995032,-0.0519285965138934,-99.81743862108895,-0.0250677896423777,-0.0575666962638915,0.0,0.0,0.0,-0.0007661378548899,1777.0301535961448,-4850.897390365341,2463.867300181816,-0.0297724410875883,-0.0002950159449187,0.0299654919795698,1974.0031416277727,0.8046288963383627,0.2446230376183042,0.0131159974943249,1963.326409870216,2.0509675376024982e-05,0.0179746651175139,0.0128731730878991,-2499.530060152238,1.1517060408538615,-0.0007729812763417,2.358111096476917,-99.18445009054534,-1816.279197919612,-0.003418802037624,0.0,0.8041674095070296,1.1453461342594091,0.0,0.0011949651358102,0.0813810858949727,-0.0342942607079047
