FyFL,FxFR,FxRR,longslipFL,steeringangel,signal,sideslipFR,RR,sideslipFL,longslipRL,pitchrate,x,vx,FxRL,RL,slip1,vy,ax,longslipRR,longslipFR,roll,FyRL,rollrate,FxFL,FL,slip,sideslipRL,sideslipRR,ay,yawrate,pitch,FyRR,FR,y,brake,az,gas,yaw,FyFR,signal
0.0,0.0466599402084195,0.0466828417996951,2.808349639999672e-07,0.0,0.0,0.0,1e-05,0.0,2.808349639999672e-07,-2.3775753347015152e-08,9975.981220894291,0.0,0.0466828441670547,1e-05,0.0,0.0,-0.3431306652622907,2.808349639999672e-07,2.808349639999672e-07,-1.2512815238071413e-07,0.0,-0.0001080008855989,0.0466599392730695,1e-05,0.0,0.0,0.0,-0.1072571782351647,-3.1788466794521145e-07,-3.921815721326774e-05,0.0,1e-05,-138.6472273329127,0.0,1.4877731725295706,25.034722222222225,-0.0130201565377619,0.0,0.0
19.28667828772842,-45.75854227491614,1547.7810389653669,-0.0006030460266187,8.315864276690332e-12,0.0,-0.0002758147553805,1.0821492871471718,-0.0008659353392535,0.0125048836359712,-0.0071726978455913,9975.981249645403,0.0084803266415314,1538.6319078758793,1.0843085102226775,0.0,0.0002429550209704,1.849650456251019,0.0126572462534902,-0.0005803651754477,-2.829531021062481e-05,5.691582182708809,-0.0049169062123139,-47.794902615775214,0.0139595587173891,0.0,-0.0002269429029785,-0.0007722125224862,0.0512574088933185,-2.501495390054726e-06,-7.268270544982817e-05,17.23445923968894,0.0135077245638275,-138.6472266153935,0.0,-0.0662155617865713,9.656160060638385,-0.013020216233568,6.898529018625194,0.0
141.68886754824734,-143.0097267377067,2188.9042315080733,-0.0007883273215758,-7.556367305484527e-08,0.0,-0.00018987288258,1.6178782395776128,-0.0038202863058845,0.0151775111913369,-0.0177176579778921,9975.981447413158,0.0299484315939139,2160.194654011575,1.6597031338777015,0.0,0.0013421037123822,2.506872249945797,0.0155116228959405,-0.0008115126378487,-9.870033572941896e-05,22.92514364574704,-0.0084076170302595,-142.67254486668344,0.0903487500213525,0.0,-0.0003460449907474,-0.0035728716879911,0.2262384761736892,8.652055991586223e-05,-0.0002007637183987,130.0402713417425,0.0875826872970673,-138.6472219980998,0.0,-0.0529532388447757,3.9759577932409984,-0.0130198178159173,22.340638009453773,0.0
325.5984335580948,-133.71604421716137,2866.258429106189,-0.0009892976355168,-4.0598920562991953e-07,0.0,0.004539873623637,2.227991660958341,-0.0061654380239162,0.0212438014128299,-0.0303478707367062,9975.981897713153,0.0585818406946271,2852.73437131276,2.3213083152545844,0.0,0.0040595531143336,3.3655742192379297,0.0215050281980636,-0.0009771129991156,-0.0001896500543841,-66.09191975655382,-0.0094237943665125,-135.04524636774855,0.1919924822090661,0.0,0.003284417866587,-0.0060462945127431,0.3036920225900856,9.938814077122172e-05,-0.0004456339607162,316.05942907372986,0.190230272153429,-138.64720040534385,0.0,-0.0621409049365074,1.872920430456396,-0.0130186647044879,-105.17067768146,0.0
564.7974043562868,-150.21951631865193,3757.215973166128,-0.0009905613417022,-1.0865396895121087e-07,0.0,0.0126884809694882,2.8116610850352077,-0.0116396474733788,0.031472221025398,-0.0450726336811087,9975.982686137351,0.0969583087880346,3755.62831677272,2.913807040424216,0.0,0.0061987694703599,4.45499846982819,0.0315159868992353,-0.0009944288692431,-0.0002914964377145,-444.1583899627471,-0.0111916416445016,-151.66794242135873,0.3347454136622581,0.0,0.0113929369828039,-0.0102461530673105,0.0762113832027341,-0.0001333862050289,-0.0008284836781348,531.915952595467,0.3312386492155473,-138.64715657928463,0.0,-0.0571598961065557,1.0811081843653394,-0.0130189206524596,-515.9087844380061,0.0
1129.05112336385,-163.24267925871715,4327.820747724523,-0.0011939739748901,-4.498498554767486e-07,0.0,0.0218595075174239,3.3710648964936976,-0.0236156244750753,0.0459637192545705,-0.0608587377430285,9975.98391592235,0.1452840523078271,4384.695268678362,3.432328729217576,0.0,0.0069475747758866,5.172905017784794,0.0462689651730544,-0.0011807713530611,-0.0004172035436195,-989.2098942175426,-0.0132419377207343,-163.89541863369834,0.5035174434820876,0.0,0.0206900244846931,-0.0216675352640216,0.1014442950819866,-0.0001352281619465,-0.00136621442407,1031.5077939177793,0.4999995967396631,-138.64710642340268,0.0,0.0057525193144192,0.7706449451039826,-0.0130205045835012,-1035.955148574824,0.0
1756.5189062511483,-154.9428572280422,4414.334701133962,-0.0013414566386721,-6.239930309191982e-06,0.0,0.0362384392779644,4.064169750399572,-0.0335775305807928,0.0653720889549457,-0.074916345364254,9975.985659084334,0.1981578019144677,4468.495651037223,4.001647057318918,0.0,0.007497875712481,5.291945512164431,0.0677165112941961,-0.0014203362838722,-0.0005505530351746,-1663.4206664124763,-0.0134271482571037,-158.43871930302635,0.6856337991653843,0.0,0.0348941129150806,-0.0343661907482036,-0.0106179596161069,-2.72437864116033e-05,-0.0020546062727029,1634.2957433591553,0.6798378845419424,-138.64705577086957,0.0,0.0363468780708057,0.6460541365733713,-0.0130212110471858,-1749.0835056595424,0.0
2133.2884078644684,-155.62078904290902,4286.424873357805,-0.0013831809265196,-1.9114541782226247e-05,0.0,0.0339963202489472,4.932637593804587,-0.0339429453951282,0.0913230201602607,-0.0855006792900276,9975.987931031965,0.2505712380157929,4373.469806486242,4.722352042342442,0.0,0.0071547733115152,5.1839839799396215,0.0974944652132171,-0.0014054598035936,-0.0006862746392432,-2123.0869175216303,-0.0135932427754875,-155.39160141044374,0.863358525866778,0.0,0.0435161674754108,-0.0445986228708425,-0.050625096040242,4.3529800041071656e-05,-0.0028647267538591,2045.7546958215853,0.8594710731527173,-138.647012030281,0.0,-0.0089118489603991,0.5984570000665914,-0.0130212625594785,-2122.680691346239,0.0
2181.6814648966238,-148.22578317224722,4460.611479515619,-0.0014303093551263,-4.445564916844651e-05,0.0,0.0349864739232992,5.741664215907885,-0.0331853988551026,0.1187155309045947,-0.0937556467093716,9975.990726791017,0.3035268922577334,4557.900768167106,5.341019252450312,0.0,0.0067447535751156,5.432918643576711,0.1312675986643341,-0.0015118243008549,-0.0008203185208886,-2031.572834555798,-0.0132069308313286,-151.2258658112739,1.0363655151313071,0.0,0.0418450934725474,-0.0457061990489429,-0.0432926085355221,0.0003238626521078,-0.0037664093669791,1948.5271625726973,1.032174875686117,-138.6469791282696,0.0,-0.0889589165221386,0.5776122306625676,-0.0130192331679132,-2173.262055920602,0.0
2175.528981441641,-151.7649592112849,4622.360378720573,-0.0014716421064048,-8.222573639918258e-05,0.0,0.0356807877678384,6.350302971229651,-0.0338206126848091,0.1431701023472967,-0.1007453715007146,9975.99406590797,0.3589459821944658,4729.16315614474,5.7329856083958735,0.0,0.0061414588958443,5.643561576472816,0.1643510349201412,-0.0015527508655445,-0.0009497904311123,-1777.413393689086,-0.0127183690321908,-153.31921402907312,1.2148756986399094,0.0,0.0421289591395128,-0.0479076333934554,-0.0644661186917668,0.000498566888396,-0.0047433573882035,1684.7042747404105,1.2115713317634569,-138.64695830902946,0.0,-0.1511409886569194,0.5631734491170869,-0.01301497125109,-2188.724033373936,0.0
2155.0441134509715,-151.95784780380848,4718.307463955415,-0.0015059523579019,-0.0001265190401564,0.0,0.0354492087717087,6.856312976124348,-0.0336711789103884,0.1661533494786233,-0.1065697258435855,9975.997969314943,0.4160708749236982,4831.116326290088,6.005315706348063,0.0,0.0054589480813039,5.771420724076335,0.1981974747499898,-0.0015964722783463,-0.0010725819824889,-1514.848714442866,-0.0118399333796421,-153.90244061265432,1.3973133533734243,0.0,0.0415989470603812,-0.0483691072841038,-0.0680794785751789,0.0006132990529261,-0.0057838118130797,1424.556505508737,1.394534900442287,-138.64695150547016,0.0,-0.1883102642521681,0.5522534892102553,-0.0130093365636752,-2169.124646136881,0.0
2100.490316344469,-153.46056408238076,4787.272232649276,-0.0015194651894673,-0.000173472489968,0.0,0.0346036907662563,7.31626061930572,-0.0325887794518219,0.1886600277817677,-0.1112014357697365,9976.002450281609,0.4742738855996967,4905.590792431168,6.22068798222071,0.0,0.0047306252239709,5.863099530546948,0.2341144924412798,-0.0016164340142416,-0.0011842322877573,-1279.9565133154597,-0.0105649016288498,-155.33505668550458,1.58336957339613,0.0,0.039607576394572,-0.0466432156177101,-0.0726713093620571,0.0007300423222144,-0.0068759745443599,1184.9825334413677,1.581636425328381,-138.64695924350357,0.0,-0.2076351752096672,0.5436482455743865,-0.013002545199588,-2118.87169000247,0.0
2015.2038601116144,-151.7516478675357,4850.67791668303,-0.0014773782557603,-0.0002160265400549,0.0,0.0332922999293281,7.741727224767216,-0.0310864737782331,0.2108500763213071,-0.1146557380393409,9976.00751828581,0.5333603167505823,4976.389077910189,6.38736358945012,0.0,0.0039473044802734,5.952484597163635,0.2729344481584127,-0.0015760082633983,-0.0012814795873405,-1070.225024058337,-0.008999819310346,-153.83764779029798,1.7721739166063737,0.0,0.0368837585463429,-0.0435015745335351,-0.079249768060499,0.0007955781810588,-0.0080079343953103,975.8431567057512,1.771513412179636,-138.6469822284791,0.0,-0.2126199941845418,0.5361928187740638,-0.0129948335328509,-2040.8720220458,0.0
