az,ax,FxFL,FyRR,FxRL,slip1,FyRL,longslipFL,signal,y,FxRR,roll,sideslipFR,vy,sideslipFL,vx,steeringangel,yaw,slip,signal,pitchrate,sideslipRR,FR,longslipRR,longslipFR,FyFR,FL,rollrate,x,RR,brake,ay,longslipRL,RL,yawrate,gas,pitch,FyFL,FxFR,sideslipRL
1.4877731725295706,-0.3431306652622907,0.0466599392730695,0.0,0.0466828441670547,0.0,0.0,2.808349639999672e-07,0.0,-138.6472273329127,0.0466828417996951,-1.2512815238071413e-07,0.0,0.0,0.0,0.0,0.0,-0.0130201565377619,0.0,0.0,-2.3775753347015152e-08,0.0,1e-05,2.808349639999672e-07,2.808349639999672e-07,0.0,1e-05,-0.0001080008855989,9975.981220894291,1e-05,0.0,-0.1072571782351647,2.808349639999672e-07,1e-05,-3.1788466794521145e-07,100.1388888888889,-3.921815721326774e-05,0.0,0.0466599402084195,0.0
-0.0662155617865713,1.849650456251019,-47.794902615775214,17.23445923968894,1538.6319078758793,0.0,5.691582182708809,-0.0006030460266187,0.0,-138.6472266153935,1547.7810389653669,-2.829531021062481e-05,-0.0002758147553805,0.0002429550209704,-0.0008659353392535,0.0084803266415314,8.315864276690332e-12,-0.013020216233568,0.0,0.0,-0.0071726978455913,-0.0007722125224862,0.0135077245638275,0.0126572462534902,-0.0005803651754477,6.898529018625194,0.0139595587173891,-0.0049169062123139,9975.981249645403,1.0821492871471718,0.0,0.0512574088933185,0.0125048836359712,1.0843085102226775,-2.501495390054726e-06,38.66820272563517,-7.268270544982817e-05,19.28667828772842,-45.75854227491614,-0.0002269429029785
-0.0529532388447757,2.506872249945797,-142.67254486668344,130.0402713417425,2160.194654011575,0.0,22.92514364574704,-0.0007883273215758,0.0,-138.6472219980998,2188.9042315080733,-9.870033572941896e-05,-0.00018987288258,0.0013421037123822,-0.0038202863058845,0.0299484315939139,-7.556367305484527e-08,-0.0130198178159173,0.0,0.0,-0.0177176579778921,-0.0035728716879911,0.0875826872970673,0.0155116228959405,-0.0008115126378487,22.340638009453773,0.0903487500213525,-0.0084076170302595,9975.981447413158,1.6178782395776128,0.0,0.2262384761736892,0.0151775111913369,1.6597031338777015,8.652055991586223e-05,16.031655590951242,-0.0002007637183987,141.68886754824734,-143.0097267377067,-0.0003460449907474
-0.0621409049365074,3.3655742192379297,-135.04524636774855,316.05942907372986,2852.73437131276,0.0,-66.09191975655382,-0.0009892976355168,0.0,-138.64720040534385,2866.258429106189,-0.0001896500543841,0.004539873623637,0.0040595531143336,-0.0061654380239162,0.0585818406946271,-4.0598920562991953e-07,-0.0130186647044879,0.0,0.0,-0.0303478707367062,-0.0060462945127431,0.190230272153429,0.0215050281980636,-0.0009771129991156,-105.17067768146,0.1919924822090661,-0.0094237943665125,9975.981897713153,2.227991660958341,0.0,0.3036920225900856,0.0212438014128299,2.3213083152545844,9.938814077122172e-05,7.690727533578268,-0.0004456339607162,325.5984335580948,-133.71604421716137,0.003284417866587
-0.0571598961065557,4.45499846982819,-151.66794242135873,531.915952595467,3755.62831677272,0.0,-444.1583899627471,-0.0009905613417022,0.0,-138.64715657928463,3757.215973166128,-0.0002914964377145,0.0126884809694882,0.0061987694703599,-0.0116396474733788,0.0969583087880346,-1.0865396895121087e-07,-0.0130189206524596,0.0,0.0,-0.0450726336811087,-0.0102461530673105,0.3312386492155473,0.0315159868992353,-0.0009944288692431,-515.9087844380061,0.3347454136622581,-0.0111916416445016,9975.982686137351,2.8116610850352077,0.0,0.0762113832027341,0.031472221025398,2.913807040424216,-0.0001333862050289,4.60412353713167,-0.0008284836781348,564.7974043562868,-150.21951631865193,0.0113929369828039
-0.0131889753621849,5.178920855760084,-163.8401621211159,1039.485967856971,4393.398963770239,0.0,-980.8407558639474,-0.0012015926696697,0.0,-138.6471063093849,4324.111914461011,-0.0004190908600789,0.0213688068501837,0.0069977214846822,-0.0242041801457266,0.1452857371659729,-4.364647493180969e-07,-0.0130205246211511,0.0,0.0,-0.0609672970424611,-0.0221796530149318,0.5000697922561507,0.0467536467566296,-0.0011798263049943,-1027.391518008704,0.5034956156301291,-0.0138022902986999,9975.9839159263,3.405921455042486,0.0,0.126655439512974,0.0463311179342785,3.4632710642462494,-0.0001434581404718,3.4494518031688464,-0.0013664992261251,1139.003557655221,-163.49805101356296,0.0202644260696753
0.0130110158704578,5.289151223092759,-159.34542792497746,1637.214001724438,4485.223320329903,0.0,-1621.390254340486,-0.0013820641373885,0.0,-138.64705253378014,4394.547800056927,-0.0005639068421509,0.0361496195830397,0.0081129530104173,-0.0347297621727033,0.1981898696396046,-5.942649878528655e-06,-0.0130214940815451,0.0,0.0,-0.0757845207097204,-0.0353264647808426,0.6810192588943584,0.073598136462015,-0.0014153316342721,-1726.9007240589426,0.6861687806459417,-0.0150457103488882,9975.985659357846,4.387171105327329,0.0,0.0569852744470667,0.0697849406250405,4.26132515806052,-6.085770743127659e-05,3.01423273632514,-0.0020595363288376,1803.5485140169524,-155.31934630567457,0.0348862352283812
-0.0562966226374056,5.220165036072419,-156.53904455598973,1937.0924306516272,4406.746814703194,0.0,-1988.0099305596027,-0.0014280321676771,0.0,-138.64699891469948,4317.482132274622,-0.0007230139617613,0.0344890363487856,0.0084118809466003,-0.0352229182362407,0.2506266921110768,-1.965058398175989e-05,-0.0130215634033754,0.0,0.0,-0.0878689505677188,-0.0472288934112345,0.8617919196487653,0.1171326384066341,-0.0014497510571764,-2125.7210385620638,0.8663828132477687,-0.0165870198094776,9975.987931699585,5.801181106365515,0.0,0.0035606422738924,0.1074538798830295,5.47465942834679,7.965884002461782e-05,2.852406883178398,-0.0028859609537433,2187.9997948158866,-157.21285781363468,0.0443563008412813
-0.1478258773381731,5.513129983976596,-154.36704716892365,1717.0024469037023,4640.5109108377455,0.0,-1759.1219797040158,-0.0015157806478198,0.0,-138.6469503906241,4521.765673010038,-0.0008949272860345,0.035922458039206,0.0085817466692658,-0.0349881511219949,0.3042071043928437,-4.978639936233801e-05,-0.0130186701850314,0.0,0.0,-0.098242659549924,-0.0504153875598933,1.0398958170623145,0.1721026325723781,-0.0015647309190047,-2191.620705556388,1.043821078382458,-0.0175900134875945,9975.99073126515,7.25441723398198,0.0,0.0317094073315057,0.1538386602843796,6.71042235813858,0.0004401236104797,2.7884904491803324,-0.0038226437559706,2259.059200155527,-150.7487125792617,0.0434690938545753
-0.2055774794899239,5.710508852554615,-156.09518893972984,1384.2527704342424,4802.867587115677,0.0,-1416.012327339072,-0.0015568528622683,0.0,-138.64690752339334,4676.785491073432,-0.0010740370837567,0.0374842347424543,0.0086768007748039,-0.0357991444503478,0.3603820943593168,-9.53100975219464e-05,-0.0130135227426037,0.0,0.0,-0.1075432693411787,-0.0527522932645973,1.2243926181446654,0.2339113511188001,-0.0016437340170572,-2235.1679339453203,1.2290724510913769,-0.0181213623318112,9975.994081758334,8.571940759815345,0.0,0.0078153546500013,0.2040986860779094,7.766037912443696,0.0005389881602233,2.7579306136791937,-0.0048571886840818,2264.397751623528,-153.82391973147824,0.0456899453086544
