brake,slip1,gas,sideslipFR,FxRR,az,RR,pitch,sideslipFL,longslipRR,FyFL,slip,longslipFL,FL,pitchrate,FR,FxRL,x,rollrate,longslipRL,RL,signal,FyRL,FxFR,FyFR,yaw,steeringangel,longslipFR,vy,yawrate,FxFL,ay,y,ax,roll,sideslipRL,sideslipRR,FyRR,signal,vx
0.0,0.0,32.1875,0.0,0.0466828417996951,1.4877731725295706,1e-05,-3.921815721326774e-05,0.0,2.808349639999672e-07,0.0,0.0,2.808349639999672e-07,1e-05,-2.3775753347015152e-08,1e-05,0.0466828441670547,9975.981220894291,-0.0001080008855989,2.808349639999672e-07,1e-05,0.0,0.0,0.0466599402084195,0.0,-0.0130201565377619,0.0,2.808349639999672e-07,0.0,-3.1788466794521145e-07,0.0466599392730695,-0.1072571782351647,-138.6472273329127,-0.3431306652622907,-1.2512815238071413e-07,0.0,0.0,0.0,0.0,0.0
0.0,0.0,12.419211743367446,-0.0002758147553805,1547.7810389653669,-0.0662155617865713,1.0821492871471718,-7.268270544982817e-05,-0.0008659353392535,0.0126572462534902,19.28667828772842,0.0,-0.0006030460266187,0.0139595587173891,-0.0071726978455913,0.0135077245638275,1538.6319078758793,9975.981249645403,-0.0049169062123139,0.0125048836359712,1.0843085102226775,0.0,5.691582182708809,-45.75854227491614,6.898529018625194,-0.013020216233568,8.315864276690332e-12,-0.0005803651754477,0.0002429550209704,-2.501495390054726e-06,-47.794902615775214,0.0512574088933185,-138.6472266153935,1.849650456251019,-2.829531021062481e-05,-0.0002269429029785,-0.0007722125224862,17.23445923968894,0.0,0.0084803266415314
0.0,0.0,5.124119488389193,-0.00018987288258,2188.9042315080733,-0.0529532388447757,1.6178782395776128,-0.0002007637183987,-0.0038202863058845,0.0155116228959405,141.68886754824734,0.0,-0.0007883273215758,0.0903487500213525,-0.0177176579778921,0.0875826872970673,2160.194654011575,9975.981447413158,-0.0084076170302595,0.0151775111913369,1.6597031338777015,0.0,22.92514364574704,-143.0097267377067,22.340638009453773,-0.0130198178159173,-7.556367305484527e-08,-0.0008115126378487,0.0013421037123822,8.652055991586223e-05,-142.67254486668344,0.2262384761736892,-138.6472219980998,2.506872249945797,-9.870033572941896e-05,-0.0003460449907474,-0.0035728716879911,130.0402713417425,0.0,0.0299484315939139
0.0,0.0,2.4269972974675404,0.004539873623637,2866.258429106189,-0.0621409049365074,2.227991660958341,-0.0004456339607162,-0.0061654380239162,0.0215050281980636,325.5984335580948,0.0,-0.0009892976355168,0.1919924822090661,-0.0303478707367062,0.190230272153429,2852.73437131276,9975.981897713153,-0.0094237943665125,0.0212438014128299,2.3213083152545844,0.0,-66.09191975655382,-133.71604421716137,-105.17067768146,-0.0130186647044879,-4.0598920562991953e-07,-0.0009771129991156,0.0040595531143336,9.938814077122172e-05,-135.04524636774855,0.3036920225900856,-138.64720040534385,3.3655742192379297,-0.0001896500543841,0.003284417866587,-0.0060462945127431,316.05942907372986,0.0,0.0585818406946271
0.0,0.0,1.416633456074726,0.0126884809694882,3757.215973166128,-0.0571598961065557,2.8116610850352077,-0.0008284836781348,-0.0116396474733788,0.0315159868992353,564.7974043562868,0.0,-0.0009905613417022,0.3347454136622581,-0.0450726336811087,0.3312386492155473,3755.62831677272,9975.982686137351,-0.0111916416445016,0.031472221025398,2.913807040424216,0.0,-444.1583899627471,-150.21951631865193,-515.9087844380061,-0.0130189206524596,-1.0865396895121087e-07,-0.0009944288692431,0.0061987694703599,-0.0001333862050289,-151.66794242135873,0.0762113832027341,-138.64715657928463,4.45499846982819,-0.0002914964377145,0.0113929369828039,-0.0102461530673105,531.915952595467,0.0,0.0969583087880346
0.0,0.0,1.0257677926010005,0.0213688068501837,4324.111914461011,-0.0131889753621849,3.405921455042486,-0.0013664992261251,-0.0242041801457266,0.0467536467566296,1139.003557655221,0.0,-0.0012015926696697,0.5034956156301291,-0.0609672970424611,0.5000697922561507,4393.398963770239,9975.9839159263,-0.0138022902986999,0.0463311179342785,3.4632710642462494,0.0,-980.8407558639474,-163.49805101356296,-1027.391518008704,-0.0130205246211511,-4.364647493180969e-07,-0.0011798263049943,0.0069977214846822,-0.0001434581404718,-163.8401621211159,0.126655439512974,-138.6471063093849,5.178920855760084,-0.0004190908600789,0.0202644260696753,-0.0221796530149318,1039.485967856971,0.0,0.1452857371659729
0.0,0.0,0.8715336803550662,0.0365161534262558,4399.510289940629,0.0237105938393789,4.36136108246325,-0.0020593222052538,-0.0342739351693441,0.0731175819246563,1796.011301082477,0.0,-0.0013740879121754,0.6862646924193495,-0.0757092715057427,0.6808925054840768,4480.374079145346,9975.985659362192,-0.0147114373500608,0.069429795143734,4.239703731181559,0.0,-1627.851251928852,-155.01268693846205,-1732.9911641907222,-0.013021477719112,-5.960304618191481e-06,-0.0014187859476179,0.0080747269806307,-5.5098220548529045e-05,-159.55471252631503,0.0403400107082967,-138.64705262694395,5.287715905137378,-0.000562668747422,0.0352027923434385,-0.0349320669724264,1633.2763455312183,0.0,0.1981923301476346
0.0,0.0,0.8130800285695051,0.034510592316431,4313.793721281703,-0.039957551631142,5.611599606496073,-0.0028829000769762,-0.0347683659645029,0.1128081385593256,2166.7309786799865,0.0,-0.0014043013897215,0.8661134554630324,-0.0873464827786158,0.8611883011972324,4393.019911785123,9975.98793173182,-0.0156708037450807,0.1041135913656396,5.317140909329223,0.0,-2018.1284816509012,-157.19310563675742,-2136.3078292565724,-0.0130214758301181,-1.9751708233447425e-05,-0.0014488945833269,0.0080761323618982,7.918394949847284e-05,-155.69591554676762,-0.0284007040270456,-138.64700085450923,5.209747363374556,-0.000715299435921,0.0443362799685907,-0.0465536092839164,1947.704665611686,0.0,0.2506250392551918
0.0,0.0,0.7874134560271192,0.0356905469325326,4508.157228846433,-0.1293455990479332,6.793150232537065,-0.0038100523296267,-0.0343115089510432,0.1595801120520004,2232.16834470069,0.0,-0.0014887674766668,1.0418314761728735,-0.0968933216077625,1.03800536468717,4620.142955204001,9975.990730571317,-0.0159416652053511,0.1433102713032821,6.297359820892337,0.0,-1828.61418161033,-149.65611487694477,-2191.43671202358,-0.0130187895418453,-4.881727189571413e-05,-0.001546018644974,0.0079309737498856,0.0004084793802232,-153.657091629311,-0.0037269965516056,-138.64695744106356,5.495178063150904,-0.0008740763903851,0.0432028128220575,-0.0489532068264625,1765.355622485649,0.0,0.3040756364168871
0.0,0.0,0.7710071707809798,0.0369877343207535,4662.788978449553,-0.1971687219906121,7.768088049702793,-0.0048255383566086,-0.0348899009390785,0.2086385229747046,2227.5170256954825,0.0,-0.001518517451277,1.2249585758619417,-0.1051695073155676,1.2205172571266951,4781.408555987866,9975.99407868706,-0.0158043075591253,0.1820023089116454,7.025069191026894,0.0,-1517.861801875435,-153.05143886657572,-2225.2935499783152,-0.0130139626238003,-9.180341351651912e-05,-0.0016157653837143,0.0076870657395393,0.000512691056474,-154.9408003541691,-0.0337574756642905,-138.646922883446,5.695592872569017,-0.0010329074759868,0.0448887860269217,-0.0508753873033482,1456.0692938443804,0.0,0.3600786912430107
