slip1,brake,roll,az,signal,FyRL,pitchrate,pitch,sideslipFL,y,x,FxFL,vy,FR,FL,FyRR,RR,gas,sideslipFR,RL,steeringangel,longslipFL,vx,FxRL,FxFR,sideslipRL,slip,FyFR,longslipFR,sideslipRR,ay,FyFL,longslipRL,ax,rollrate,signal,yaw,longslipRR,yawrate,FxRR
0.0,0.0,-1.2512815238071413e-07,1.4877731725295706,0.0,0.0,-2.3775753347015152e-08,-3.921815721326774e-05,0.0,-138.6472273329127,9975.981220894291,0.0466599392730695,0.0,1e-05,1e-05,0.0,1e-05,85.83333333333334,0.0,1e-05,0.0,2.808349639999672e-07,0.0,0.0466828441670547,0.0466599402084195,0.0,0.0,0.0,2.808349639999672e-07,0.0,-0.1072571782351647,0.0,2.808349639999672e-07,-0.3431306652622907,-0.0001080008855989,0.0,-0.0130201565377619,2.808349639999672e-07,-3.1788466794521145e-07,0.0466828417996951
0.0,0.0,-2.829531021062481e-05,-0.0662155617865713,0.0,5.691582182708809,-0.0071726978455913,-7.268270544982817e-05,-0.0008659353392535,-138.6472266153935,9975.981249645403,-47.794902615775214,0.0002429550209704,0.0135077245638275,0.0139595587173891,17.23445923968894,1.0821492871471718,33.14209936064273,-0.0002758147553805,1.0843085102226775,8.315864276690332e-12,-0.0006030460266187,0.0084803266415314,1538.6319078758793,-45.75854227491614,-0.0002269429029785,0.0,6.898529018625194,-0.0005803651754477,-0.0007722125224862,0.0512574088933185,19.28667828772842,0.0125048836359712,1.849650456251019,-0.0049169062123139,0.0,-0.013020216233568,0.0126572462534902,-2.501495390054726e-06,1547.7810389653669
0.0,0.0,-9.870033572941896e-05,-0.0529532388447757,0.0,22.92514364574704,-0.0177176579778921,-0.0002007637183987,-0.0038202863058845,-138.6472219980998,9975.981447413158,-142.67254486668344,0.0013421037123822,0.0875826872970673,0.0903487500213525,130.0402713417425,1.6178782395776128,13.735332200826155,-0.00018987288258,1.6597031338777015,-7.556367305484527e-08,-0.0007883273215758,0.0299484315939139,2160.194654011575,-143.0097267377067,-0.0003460449907474,0.0,22.340638009453773,-0.0008115126378487,-0.0035728716879911,0.2262384761736892,141.68886754824734,0.0151775111913369,2.506872249945797,-0.0084076170302595,0.0,-0.0130198178159173,0.0155116228959405,8.652055991586223e-05,2188.9042315080733
0.0,0.0,-0.0001896500543841,-0.0621409049365074,0.0,-66.09191975655382,-0.0303478707367062,-0.0004456339607162,-0.0061654380239162,-138.64720040534385,9975.981897713153,-135.04524636774855,0.0040595531143336,0.190230272153429,0.1919924822090661,316.05942907372986,2.227991660958341,6.582573799619006,0.004539873623637,2.3213083152545844,-4.0598920562991953e-07,-0.0009892976355168,0.0585818406946271,2852.73437131276,-133.71604421716137,0.003284417866587,0.0,-105.17067768146,-0.0009771129991156,-0.0060462945127431,0.3036920225900856,325.5984335580948,0.0212438014128299,3.3655742192379297,-0.0094237943665125,0.0,-0.0130186647044879,0.0215050281980636,9.938814077122172e-05,2866.258429106189
0.0,0.0,-0.0002914964377145,-0.0571598961065557,0.0,-444.1583899627471,-0.0450726336811087,-0.0008284836781348,-0.0116396474733788,-138.64715657928463,9975.982686137351,-151.66794242135873,0.0061987694703599,0.3312386492155473,0.3347454136622581,531.915952595467,2.8116610850352077,3.9330729937361006,0.0126884809694882,2.913807040424216,-1.0865396895121087e-07,-0.0009905613417022,0.0969583087880346,3755.62831677272,-150.21951631865193,0.0113929369828039,0.0,-515.9087844380061,-0.0009944288692431,-0.0102461530673105,0.0762113832027341,564.7974043562868,0.031472221025398,4.45499846982819,-0.0111916416445016,0.0,-0.0130189206524596,0.0315159868992353,-0.0001333862050289,3757.215973166128
0.0,0.0,-0.0004190908600789,-0.0131889753621849,0.0,-980.8407558639474,-0.0609672970424611,-0.0013664992261251,-0.0242041801457266,-138.6471063093849,9975.9839159263,-163.8401621211159,0.0069977214846822,0.5000697922561507,0.5034956156301291,1039.485967856971,3.405921455042486,2.93920253778056,0.0213688068501837,3.4632710642462494,-4.364647493180969e-07,-0.0012015926696697,0.1452857371659729,4393.398963770239,-163.49805101356296,0.0202644260696753,0.0,-1027.391518008704,-0.0011798263049943,-0.0221796530149318,0.126655439512974,1139.003557655221,0.0463311179342785,5.178920855760084,-0.0138022902986999,0.0,-0.0130205246211511,0.0467536467566296,-0.0001434581404718,4324.111914461011
0.0,0.0,-0.0005639068421509,0.0130110158704578,0.0,-1621.390254340486,-0.0757845207097204,-0.0020595363288376,-0.0347297621727033,-138.64705253378014,9975.985659357846,-159.34542792497746,0.0081129530104173,0.6810192588943584,0.6861687806459417,1637.214001724438,4.387171105327329,2.5631389554242587,0.0361496195830397,4.26132515806052,-5.942649878528655e-06,-0.0013820641373885,0.1981898696396046,4485.223320329903,-155.31934630567457,0.0348862352283812,0.0,-1726.9007240589426,-0.0014153316342721,-0.0353264647808426,0.0569852744470667,1803.5485140169524,0.0697849406250405,5.289151223092759,-0.0150457103488882,0.0,-0.0130214940815451,0.073598136462015,-6.085770743127659e-05,4394.547800056927
0.0,0.0,-0.0007230139617613,-0.0562966226374056,0.0,-1988.0099305596027,-0.0878689505677188,-0.0028859609537433,-0.0352229182362407,-138.64699891469948,9975.987931699585,-156.53904455598973,0.0084118809466003,0.8617919196487653,0.8663828132477687,1937.0924306516272,5.801181106365515,2.4230751889244764,0.0344890363487856,5.47465942834679,-1.965058398175989e-05,-0.0014280321676771,0.2506266921110768,4406.746814703194,-157.21285781363468,0.0443563008412813,0.0,-2125.7210385620638,-0.0014497510571764,-0.0472288934112345,0.0035606422738924,2187.9997948158866,0.1074538798830295,5.220165036072419,-0.0165870198094776,0.0,-0.0130215634033754,0.1171326384066341,7.965884002461782e-05,4317.482132274622
0.0,0.0,-0.0008949272860345,-0.1478258773381731,0.0,-1759.1219797040158,-0.098242659549924,-0.0038226437559706,-0.0349881511219949,-138.6469503906241,9975.99073126515,-154.36704716892365,0.0085817466692658,1.0398958170623145,1.043821078382458,1717.0024469037023,7.25441723398198,2.367164579227116,0.035922458039206,6.71042235813858,-4.978639936233801e-05,-0.0015157806478198,0.3042071043928437,4640.5109108377455,-150.7487125792617,0.0434690938545753,0.0,-2191.620705556388,-0.0015647309190047,-0.0504153875598933,0.0317094073315057,2259.059200155527,0.1538386602843796,5.513129983976596,-0.0175900134875945,0.0,-0.0130186701850314,0.1721026325723781,0.0004401236104797,4521.765673010038
0.0,0.0,-0.0010740370837567,-0.2055774794899239,0.0,-1416.012327339072,-0.1075432693411787,-0.0048571886840818,-0.0357991444503478,-138.64690752339334,9975.994081758334,-156.09518893972984,0.0086768007748039,1.2243926181446654,1.2290724510913769,1384.2527704342424,8.571940759815345,2.3395499219055464,0.0374842347424543,7.766037912443696,-9.53100975219464e-05,-0.0015568528622683,0.3603820943593168,4802.867587115677,-153.82391973147824,0.0456899453086544,0.0,-2235.1679339453203,-0.0016437340170572,-0.0527522932645973,0.0078153546500013,2264.397751623528,0.2040986860779094,5.710508852554615,-0.0181213623318112,0.0,-0.0130135227426037,0.2339113511188001,0.0005389881602233,4676.785491073432
0.0,0.0,-0.0012558043231214,-0.2497814668994529,0.0,-1135.3656306879252,-0.1153599099638234,-0.005976958709513,-0.0361087281319746,-138.64687206770466,9975.998003641957,-156.0447864691658,0.0086276473830085,1.4126003251504815,1.417298255855776,1097.799926310288,9.749654722874796,2.323942564952462,0.0375335091686949,8.67256925136723,-0.0001491400543692,-0.0016023662525557,0.4181489773323497,4892.452178867844,-153.24062840217582,0.0463541896149329,0.0,-2233.731175939097,-0.0016866074197968,-0.0524210161869807,-0.0079293091759126,2257.7632714487504,0.2582881803079349,5.827300126117897,-0.0181315828082872,0.0,-0.0130082800566142,0.3018200088119294,0.000514709388841,4761.851804771867
0.0,0.0,-0.0014345844752811,-0.2705707012953874,0.0,-911.6100341454284,-0.1215865198632172,-0.0071660855527689,-0.035122292915816,-138.64684523950086,9976.00250903622,-157.28868571521255,0.0084798202937198,1.6040749652727009,1.608922631957224,858.8266411417485,10.84088572673045,2.313778081884079,0.0370874707883511,9.475074949771653,-0.0002157056192121,-0.0016101940876671,0.4768818292241005,4961.583628564039,-154.37844022333914,0.0448098197573978,0.0,-2193.370789591312,-0.0017217071666945,-0.0497890384775853,-0.0199839711211406,2213.8199107263868,0.3167300060650838,5.909987583309103,-0.0176021532422286,0.0,-0.0130030605131671,0.3770193405087348,0.0005313293294885,4818.153519346452
0.0,0.0,-0.0016058863820555,-0.2685659315341504,0.0,-729.144390971088,-0.1262394619147527,-0.0084089144481393,-0.0336675943235689,-138.6468284701023,9976.007606544312,-155.06921945976435,0.0081749122663957,1.797310487247015,1.801775524932812,664.5405224521086,11.86712321551362,2.3058292464477392,0.0360810044379803,10.178883848546285,-0.0002955522346189,-0.001570826466367,0.5364383675594,5034.150409598704,-151.91367340908425,0.0421383259162801,0.0,-2125.1215572864457,-0.0016935761067274,-0.0460121987992899,-0.0362605147560454,2132.6115393361783,0.3789230937380606,5.996758657804745,-0.0167009263227438,0.0,-0.0129977325776875,0.4604892009957994,0.0005257415205539,4872.258435454582
0.0,0.0,-0.0017665477779229,-0.2573941792483971,0.0,-585.7571188624001,-0.1293396077493043,-0.0096895364398228,-0.032117619620917,-138.64682346931409,9976.013304855423,-154.4205696678938,0.0077228101279703,1.989740938785556,1.9940552814444328,512.9000123864615,12.808898871186342,2.29853067691412,0.034676490554725,10.75695556793186,-0.0003795029888315,-0.0015406897920547,0.596893018303999,5116.188304971062,-151.03289464695783,0.0392823125274202,0.0,-2034.1757544367383,-0.0016733650014683,-0.0418860283099781,-0.0483457398915765,2032.9368692304824,0.4415941607214183,6.093163454403051,-0.0154972282951094,0.0,-0.0129927752182933,0.5494336585133517,0.0004632731593928,4934.265613035885
0.0,0.0,-0.0019133298477406,-0.2296460218641815,0.0,-477.2576711257264,-0.1310823261525183,-0.0109935927067362,-0.030472220379135,-138.64683158236548,9976.019613499264,-153.9821841444271,0.0071673187497806,2.1822011520606197,2.1864983941372254,397.48917839475473,13.711435161525513,2.291264999724427,0.0331873901064935,11.254535364408651,-0.0004557718070176,-0.0015189860981432,0.6583399739891681,5205.219644520203,-150.23076572324595,0.0367236039917767,0.0,-1932.2736139315,-0.0016578519777834,-0.0378267743485146,-0.0579201989779793,1925.1802074999944,0.5045037124493812,6.197798842290678,-0.0139590162516225,0.0,-0.0129887027239111,0.6445319542183575,0.000355216419888,5004.8588013358285
0.0,0.0,-0.0020430420627515,-0.1908064509057276,0.0,-396.0639952189741,-0.1315556153746518,-0.0123080415192414,-0.0288015734370694,-138.64685389758327,9976.02654284764,-153.59671651676663,0.0065195299630186,2.3753247010126826,2.379690623373915,310.19944245709354,14.587307464145994,2.283841878321476,0.0316232446903113,11.689015941585067,-0.0005104320773834,-0.0014963303656129,0.7208492646527312,5297.019825167554,-149.64394847415363,0.0344893716114248,0.0,-1827.330145226348,-0.0016364396006679,-0.0339908004589983,-0.0675819065689389,1813.3436472973908,0.5674051032106036,6.307216031609897,-0.0121224396593007,0.0,-0.0129859498454628,0.7459189842335475,0.0002032356745926,5081.141357203067
0.0,0.0,-0.0021529739854051,-0.1443718027768371,0.0,-334.6332831458352,-0.1308161019306183,-0.0136205084005193,-0.0271425465458424,-138.64689145125473,9976.03410374679,-153.38496307212185,0.0057885459061977,2.569257502923126,2.573803010791255,243.855982387086,15.439093248424529,2.276248881886065,0.0299718816918307,12.06975913684587,-0.0005242021102388,-0.0014763860710185,0.7844558393590476,5388.932469272646,-149.2933516931758,0.0324750000104615,0.0,-1721.0355144194234,-0.001614956624058,-0.0303826601407443,-0.0752538319088189,1701.9542327377617,0.6299691780484111,6.418329986179394,-0.0100340177655054,0.0,-0.0129849401708284,0.8534892954630434,1.2269495610794006e-05,5160.478227261474
