gas,brake,FyFR,slip1,az,signal,y,FxFR,FR,pitch,sideslipFL,FxRL,roll,pitchrate,sideslipRR,longslipFL,vy,FL,FyFL,ay,steeringangel,longslipRL,FxFL,x,yaw,longslipRR,vx,sideslipRL,RR,FxRR,FyRL,ax,yawrate,slip,rollrate,RL,longslipFR,sideslipFR,signal,FyRR
17.881944444444446,0.0,0.0,0.0,1.4877731725295662,0.0,-4850.897164652041,0.0466599402084196,1e-05,-3.9218157213248485e-05,0.0,0.0466828441670549,-1.2512815238127624e-07,-2.3775753347224906e-08,0.0,2.808349639999672e-07,0.0,1e-05,0.0,-0.1072571782351639,0.0,2.808349639999672e-07,0.0466599392730696,4564.018298359632,-0.0342957201195726,2.808349639999672e-07,0.0,0.0,1e-05,0.0466828417996954,0.0,-0.3431306652622903,-3.1788466794528535e-07,0.0,-0.0001080008855989,1e-05,2.808349639999672e-07,0.0,0.0,0.0
6.893108378077063,0.0,6.898517053658372,0.0,-0.0662153214831475,0.0,-4850.897164546333,-45.75853934436751,0.0135077235372194,-7.268271119580988e-05,-0.0008659359744629,1538.6319089146716,-2.8295318894235186e-05,-0.0071726992989191,-0.0007722126776018,-0.0006030459982721,0.0002429550595765,0.013959558540463,19.28668992787782,0.0512574097733815,0.0,0.0125048836592421,-47.79490148057706,4564.0183271195,-0.0342957798154886,0.0126572463008556,0.0084803266374004,-0.0002269429815789,1.0821492862600806,1547.781042113167,5.691584911514616,1.8496504524269235,-2.501513631808599e-06,0.0,-0.0049169070171574,1.0843085104833043,-0.0005803651418275,-0.0002758141952947,0.0943217684027206,17.234463926003237
2.827796098125428,0.0,22.3406198275947,0.0,-0.0529532694205198,0.0,-4850.8971641373855,-143.0097308411693,0.0875826896486228,-0.0002007637381622,-0.0038202869473151,2160.194660847929,-9.870035038110624e-05,-0.0177176592202564,-0.0035728718253729,-0.0007883273147062,0.0013421038778943,0.0903487521819541,141.68891405228186,0.226238497566293,0.0,0.0151775112400291,-142.67254785076796,4564.018524940726,-0.0342953813980694,0.0155116229479329,0.029948431608553,-0.0003460450087117,1.6178782327934649,2188.904238464928,22.925147714078676,2.5068722554189065,8.652054617366271e-05,0.0,-0.0084076174639042,1.6597031312282764,-0.0008115126330158,-0.000189873102941,0.1887289920967281,130.04028188356273
1.318843563357175,0.0,-105.17060895902068,0.0,-0.0621409015719837,0.0,-4850.897152129177,-133.7160448131883,0.1902302754082313,-0.0004456339924699,-0.0061654399758784,2852.7343781518143,-0.0001896500698494,-0.0303478719267782,-0.0060462942861637,-0.0009892976383768,0.0040595536858499,0.1919924840802111,325.59850928723023,0.3036920741805654,0.0,0.0212438014522375,-135.0452454907042,4564.018975598172,-0.0342942282855102,0.021505028245282,0.0585818407665621,0.0032844182443548,2.22799165023222,2866.258436408024,-66.09192863373893,3.365574223914715,9.938846600590508e-05,0.0,-0.0094237940251302,2.3213083074582053,-0.0009771130165446,0.0045398710449359,0.283127172025676,316.0594297066287
0.7455834938470991,0.0,-519.1555627498512,0.0,-0.0368283221478734,0.0,-4850.897125116358,-150.17896496418996,0.3312348650291082,-0.0008283837225108,-0.0113591847820563,3752.1654024531103,-0.0002904935934713,-0.0450209882307372,-0.0099916849042346,-0.0009878178403816,0.0061814498074644,0.3347360258252048,561.1818485748834,0.0745265102260067,0.0,0.0313669654645053,-151.6003368492619,4564.019764773972,-0.0342944804297905,0.0313727188634734,0.0969572441704344,0.0116187943477184,2.797116455521747,3755.945514431152,-447.22519762523314,4.448311970752907,-0.0001315330488066,0.0,-0.0107616553063725,2.8995449255018606,-0.0009945298415308,0.0129409253281787,0.3774209278070616,528.6111851371196
0.5158083791784259,0.0,-1063.674606696087,0.0,0.0210970156994636,0.0,-4850.8971034313545,-162.10111813696167,0.498904936747293,-0.0013622910042373,-0.022600127688751,4333.440755414991,-0.0004048197562549,-0.0600838489401101,-0.0208808414093436,-0.0011627006267104,0.0064097477137972,0.5025106479325748,1082.682254678016,0.0137170742950593,0.0,0.0432298014075718,-162.52026344231513,4564.020994637624,-0.0342958813819349,0.0428165131503575,0.1451099784665042,0.0208448715301204,3.116967851766735,4303.973251445716,-1020.268184098712,5.128497411170493,-9.993888588489354e-05,0.0,-0.0117650081020554,3.213743320906501,-0.0011734189338503,0.0220941657861137,0.4715140908180685,999.6332701312832
0.4216704330128521,0.0,-1718.3785008809905,0.0,0.0471566504290566,0.0,-4850.897098854512,-153.39659989913844,0.6763538913078737,-0.0020363926579172,-0.0326132638884148,4422.299539756335,-0.0005203234882915,-0.072921593800422,-0.0330565886518726,-0.0013149034502351,0.0063937108030407,0.6805650508701301,1713.0517417044605,-0.0323830648474427,0.0,0.0552195364752625,-156.80726719787236,4564.022733356619,-0.0342964322999714,0.0561980182035473,0.1973856299084977,0.0337752257865446,3.431041126648274,4370.597530644909,-1705.7344524780283,5.242896476285592,-3.1063907069177416e-05,0.0,-0.0112714226442219,3.41877150088303,-0.0013593840388617,0.0347726159726763,0.5653097996990915,1667.7705355526994
0.3850217803537313,0.0,-2098.400255628449,0.0,0.0343618976043716,0.0,-4850.897115260277,-154.16602982298153,0.8512138595232144,-0.0028194635734309,-0.0324530833647125,4303.942875253243,-0.0006300557097402,-0.082180597573471,-0.0417837150414452,-0.0013144782458413,0.0058143075567128,0.8557196785097938,2068.660619514821,-0.0809167795567759,0.0,0.0695199947420759,-153.6584904585684,4564.024995358698,-0.0342964138545461,0.0728813407134896,0.2493629927515989,0.0417295429717431,3.842804698193128,4255.307884679054,-2320.3180978628225,5.126278638934604,5.094577957415124e-05,0.0,-0.0107277006447012,3.725276488568368,-0.0013852237682256,0.0334717433315499,0.6587105982030211,2230.331178758151
0.3683505748918981,0.0,-2131.7406922752057,0.0,-0.0129111252030991,0.0,-4850.897156451447,-146.75509500367968,1.0208813261857408,-0.0036797174788067,-0.0320501642020913,4510.229427989207,-0.000732544049847,-0.0889222515663791,-0.0412284689529147,-0.0013913453929466,0.0051165458591376,1.0238637369943868,2117.482921229644,-0.06666408531638,0.0,0.0816486064685573,-149.72685621099373,4564.027775737589,-0.0342949962030224,0.0899167173924752,0.3017990355498758,0.0389324547240626,4.1991374112842985,4393.111473055474,-2393.2220209114807,5.365816174227774,0.0001931060226723,0.0,-0.0097855764623105,3.914178342768198,-0.0014386117777793,0.033488044384854,0.7516185353137337,2306.679539468129
0.3561703317273392,0.0,-2124.421769035401,0.0,-0.0555208788474311,0.0,-4850.897223268141,-149.35719403709504,1.1949929181894647,-0.0045990635937731,-0.032428180455798,4645.31739883702,-0.0008252073038688,-0.094208256805823,-0.0423648364280852,-0.0013899188503927,0.004299967580203,1.197685213769054,2112.481225445825,-0.1079580172697677,0.0,0.0871831790122518,-150.08844618223125,4564.03109197915,-0.0342923487325788,0.1052789839983526,0.3562921332648794,0.0382191924519167,4.447726110609687,4506.103472424356,-2321.7508152311684,5.526784778073525,0.0003630534880879,0.0,-0.0088885596704034,3.878853312514778,-0.0014583791414593,0.0336964785154236,0.843935267552581,2180.380951186701
0.3466231820542287,0.0,-2092.1811098356525,0.0,-0.0782899794174401,0.0,-4850.897318671732,-149.88488698171528,1.3717590612133337,-0.0055645827097856,-0.0319734085239109,4746.301502844439,-0.0009097615739979,-0.0983006674814061,-0.0444041165509213,-0.0014238375893507,0.003251687597289,1.3726955556389984,2082.627695092857,-0.1067134750140281,0.0,0.0886886619304621,-150.77917360760787,4564.034960691037,-0.0342866685913549,0.1194261324144685,0.4122103222252298,0.0353363364200912,4.634049505001189,4599.486059174472,-2204.822461287127,5.652470766442265,0.0007452613453158,0.0,-0.0080716535281735,3.769788083663781,-0.0014991002554966,0.0332952936796885,0.935562163387038,2045.244592210508
0.3383826568838822,0.0,-2031.5996347854723,0.0,-0.0903511692352045,0.0,-4850.897444387421,-151.47359213865272,1.552706310372789,-0.0065650849394496,-0.031005826124292,4856.9973354807,-0.0009850737892728,-0.101332758730769,-0.0446441622896934,-0.001448046890715,0.002118967937475,1.5509849003568874,2025.2465675763665,-0.1251509379997485,0.0,0.0855310949242231,-151.98487154157309,4564.039394624181,-0.0342770063232947,0.1332402736102014,0.4693269260373887,0.0314757416054444,4.797700893835093,4677.756306831196,-2070.190806398853,5.772654728412993,0.0011561071074612,0.0,-0.0070795510216079,3.597729644896248,-0.0015159595903217,0.0321339738745043,1.0264004096510335,1887.1175810089
0.3304801877000994,0.0,-1941.713061786848,0.0,-0.0963114948925994,0.0,-4850.89760218381,-151.70775961550575,1.7386596904241736,-0.0075907769666472,-0.0297622057268592,4999.096057381257,-0.0010507064691587,-0.1034597902373527,-0.0443340187532855,-0.0014132646291966,0.000784469176458,1.7338194899442847,1947.012428331316,-0.1528881574099936,0.0,0.0760164774085208,-151.7855521444786,4564.044405847868,-0.0342626359517848,0.1483928585456212,0.5276975792755025,0.0263877245763155,4.96538751897828,4754.002272740513,-1940.9455017598368,5.912196122708741,0.0016925665889732,0.0,-0.0061693453945852,3.334415758861742,-0.0014773418053833,0.0304672398390218,1.116351119881859,1702.5510012238285
0.3219252960441469,0.0,-1828.96234819887,0.0,-0.0946544680372053,0.0,-4850.897795023879,-153.78112174770715,1.9273161351092785,-0.0086337880587169,-0.0286652213081674,5261.798248859842,-0.0011082676899419,-0.1049106614050037,-0.0441097203855263,-0.0014392995149348,-0.0008190959319644,1.9187652773146244,1861.274530659024,-0.1826818577649104,0.0,0.0539181505031146,-153.97176215398463,4564.050008656739,-0.034242313437876,0.1671112371499523,0.5877457265497665,0.0206840530222819,5.189227317070946,4830.086521597701,-1825.9187614284708,6.123203136228678,0.0023025944735626,0.0,-0.0054467296231077,2.886828069238725,-0.0014812171693904,0.0284476596088122,1.2053154444739722,1516.5858482722722
