yawrate,brake,FxRL,FyRL,signal,slip,ax,FL,FyFL,FyRR,FyFR,az,sideslipRL,steeringangel,sideslipFR,y,longslipFR,longslipFL,RR,ay,gas,pitchrate,pitch,roll,FxFL,slip1,vy,yaw,RL,signal,FxFR,x,FxRR,longslipRR,sideslipRR,vx,sideslipFL,FR,longslipRL,rollrate
-3.1788466794528535e-07,0.0,0.0466828441670549,0.0,0.0,0.0,-0.3431306652622903,1e-05,0.0,0.0,0.0,1.4877731725295662,0.0,0.0,0.0,-4850.897164652041,2.808349639999672e-07,2.808349639999672e-07,1e-05,-0.1072571782351639,3.576388888888889,-2.3775753347224906e-08,-3.9218157213248485e-05,-1.2512815238127624e-07,0.0466599392730696,0.0,0.0,-0.0342957201195726,1e-05,0.0,0.0466599402084196,4564.018298359632,0.0466828417996954,2.808349639999672e-07,0.0,0.0,0.0,1e-05,2.808349639999672e-07,-0.0001080008855989
-2.501513631808599e-06,0.0,1538.6319089146716,5.691584911514616,0.1572029473378677,0.0,1.8496504524269235,0.013959558540463,19.28668992787782,17.234463926003237,6.898517053658372,-0.0662153214831475,-0.0002269429815789,0.0,-0.0002758141952947,-4850.897164546333,-0.0005803651418275,-0.0006030459982721,1.0821492862600806,0.0512574097733815,1.3670050133153122,-0.0071726992989191,-7.268271119580988e-05,-2.8295318894235186e-05,-47.79490148057706,0.0,0.0002429550595765,-0.0342957798154886,1.0843085104833043,0.0,-45.75853934436751,4564.0183271195,1547.781042113167,0.0126572463008556,-0.0007722126776018,0.0084803266374004,-0.0008659359744629,0.0135077235372194,0.0125048836592421,-0.0049169070171574
8.742368217882826e-05,0.0,2158.1509867246878,20.38933730949111,0.3145483201612135,0.0,2.498051453887633,0.0903021806296868,138.2051963453168,126.70201565764566,19.20207446683152,-0.0239392356238429,-0.0001768232328196,0.0,1.932067899840497e-05,-4850.897164208818,-0.0008113798908903,-0.0007838605914179,1.589645833154604,0.2303522388363268,0.5314724806326185,-0.0176198917911128,-0.0002005502548176,-9.62255593102594e-05,-142.44805906443096,0.0,0.0013086920699657,-0.0342953774320616,1.63106476894772,0.0,-143.03048298784827,4564.018524938184,2184.9768321120123,0.0154120108718102,-0.0033493033520496,0.0299478053567387,-0.0035866426963555,0.0875958778534132,0.0151258711012553,-0.0074778944125795
7.072998953231146e-05,0.0,2729.5789109887955,-112.42609780516716,0.4718786200427933,0.0,3.200499228212849,0.1896048644377099,261.1396845067096,253.73058540965448,-153.66793017016596,0.002616540932296,0.004603952377121,0.0,0.005846366056782,-4850.897155044225,-0.0009428756266896,-0.0009501188770949,1.830275157219134,0.1431204609265671,0.2113235994730247,-0.0289384436564551,-0.000438850562439,-0.0001598771701851,-131.95154403345092,0.0,0.0033705135095564,-0.0342943399189491,1.9068674293068375,0.0,-130.91727580519554,4564.018974275529,2728.9671491680524,0.0191700832231293,-0.0041343982079912,0.0581758215718996,-0.0042046559909915,0.1887598253301484,0.0192457047586491,-0.0051817533916041
-0.0001295046926596,0.0,3119.7764105928923,-499.2182774369924,0.6290348796784361,0.0,3.670268955642787,0.3176489118747162,413.29215382683054,384.45386600885206,-542.7965856041166,0.0286686912035353,0.0108496524786666,0.0,0.0114646292572641,-4850.8971450829295,-0.0008565089442766,-0.0008423229910335,1.6379329401224028,-0.1694566620604796,0.0812839536360797,-0.0398189893002446,-0.0007889469760072,-0.0002050869456896,-137.63997306877877,0.0,0.0033551362383525,-0.0342948377368608,1.697895282107124,0.0,-137.0922131250006,4564.019742362128,3107.8998407841086,0.0206891941409943,-0.0074671011935742,0.092667907599686,-0.00878113123374,0.3157574747585941,0.021071077867294,-0.0044862241191752
-3.184912002292429e-05,0.0,3055.5120779489257,-871.1489976972368,0.7858568180301141,0.0,3.5710097797571723,0.444568614001236,851.25239133977,817.8992687414263,-847.4831697446995,0.0659269082144774,0.0146830275933072,0.0,0.0153376750766534,-4850.897158025347,-0.0008824220953401,-0.0008883874185681,1.290219385003447,-0.0211186012578666,0.0274612491777555,-0.0488249115115891,-0.0012389202673627,-0.0002500497610983,-136.30467940021575,0.0,0.002129079582812,-0.0342957886175636,1.2859260320356791,0.0,-136.00898170004297,4564.020872737577,3007.7200732341157,0.0186992875240467,-0.0157938201527427,0.1295611785747761,-0.0169474513527753,0.443672401116255,0.0186322748389156,-0.0040766283035638
9.394085235375328e-05,0.0,2625.025473408106,-1360.6373126548012,0.9421829994984856,0.0,3.119168250114007,0.5601196619175554,1188.3310313972731,1295.0440950909729,-1272.4683730314437,0.0796439437335038,0.0216167183340387,0.0,0.0232017045106627,-4850.897189474287,-0.0008652334728754,-0.000825315952984,1.10054899164557,-0.099125186561631,0.0108661515458221,-0.0545006248542969,-0.0017614800706046,-0.0002799858324876,-122.61225093822952,0.0,0.0017173782030555,-0.0342952964204262,1.076337111736755,0.0,-121.669643484508,4564.022358729441,2663.389389330128,0.0161125855111167,-0.0203354861786384,0.1635247333966751,-0.0196305084289651,0.5587399985987592,0.0157861904564235,-0.0022826761109543
-2.935290351441756e-05,0.0,2354.547807443184,-1815.0148445804527,1.0978509970050352,0.0,2.7794669588925283,0.6542834820660616,1519.3655927373911,1773.625444467941,-1569.10875641028,0.0728221809564354,0.025511207193691,0.0,0.0250002314104357,-4850.897239879152,-0.000823621462097,-0.0008378043631893,1.0777767834981242,-0.0699426324383835,0.0105642618955003,-0.0565275822739413,-0.0023204513939653,-0.0002976537857705,-112.18453846073994,0.0,0.0007159059709689,-0.0342949625691303,1.0767312734208512,0.0,-111.66440028028155,4564.024159615223,2336.00903841854,0.0148884061976009,-0.0254746676460979,0.1932234846009095,-0.0257258148509173,0.6542854015156837,0.0148965575194246,-0.0012379688398962
8.39099071738823e-05,0.0,2122.8260758734195,-2220.126302419242,1.2526975588562228,0.0,2.5296802831892653,0.7347502652765626,1740.822576684962,2160.5511083876586,-1798.897567775879,0.0726473094713347,0.0289455763199735,0.0,0.0289431376950489,-4850.897307292719,-0.000850917146339,-0.0008060605805901,1.1078097086226355,-0.0658882397623853,0.0140699300726072,-0.0554398213308006,-0.0028820966040531,-0.0003019721070752,-104.84541141701628,0.0,0.0001106872482954,-0.0342946734853903,1.112498495210383,0.0,-104.2737287215304,4564.026240456124,2124.329935210814,0.0137023697344891,-0.0286529668462454,0.220039636174364,-0.0267388446375349,0.7337155341877379,0.0138831186145265,0.0001297893653003
2.0509675376024982e-05,0.0,1963.326409870216,-2499.530060152238,1.4065587792543015,0.0,2.358111096476917,0.8041674095070296,1777.0301535961448,2463.867300181816,-1816.279197919612,0.0813810858949727,0.0299654919795698,0.0,0.0253509538995032,-4850.897390365341,-0.0007661378548899,-0.0007729812763417,1.1517060408538615,-0.0575666962638915,0.0179746651175139,-0.0519285965138934,-0.003418802037624,-0.0002950159449187,-99.81743862108895,0.0,-0.0005795112867283,-0.0342942607079047,1.1453461342594091,0.0,-99.18445009054534,4564.02857616528,1974.0031416277727,0.0131159974943249,-0.0297724410875883,0.2446230376183042,-0.0250677896423777,0.8046288963383627,0.0128731730878991,0.0011949651358102
3.8422789853040577e-05,0.0,1847.289074730237,-2523.105900383817,1.5592702723117302,0.0,2.215167106580308,0.8660185916270275,1697.5714493139055,2484.533042889721,-1740.0670377511883,0.07974794661591,0.0268682126983211,0.0,0.0237905320480977,-4850.897487218907,-0.0007543069471877,-0.0007377030948047,1.153533310345822,-0.054538445801811,0.0207933062580364,-0.046925667762734,-0.0039114943500079,-0.0002771276737881,-96.3360739533003,0.0,-0.0010939393576375,-0.0342938844124563,1.155611790660029,0.0,-96.37023572865724,4564.031148895404,1843.2341200325425,0.0112530921725208,-0.0266146655148832,0.2677362307381611,-0.0229161691558544,0.8661844588306769,0.0112478834566858,0.0022229384888734
2.726192229612939e-05,0.0,1701.958199503394,-2395.9303261309165,1.7106673494183895,0.0,2.046467509166946,0.9213407917583072,1588.0800075895163,2368.952081439491,-1619.413233430542,0.0712022032392927,0.0243076638751021,0.0,0.0212460377681721,-4850.897596800804,-0.0007021759969983,-0.0006984121460398,1.171520484684103,-0.0401542663569688,0.023738773640627,-0.0409918611788648,-0.0043486984361694,-0.000250224788684,-92.96308518032389,0.0,-0.0015734505507852,-0.0342935757902918,1.1745430561276626,0.0,-92.58829373630527,4564.0339431953535,1704.0929505798304,0.0101139379734229,-0.0241815306510916,0.2891152180026386,-0.0208008221762278,0.9220550927563116,0.0100922750218477,0.0030684037451325
2.432777368062516e-05,0.0,1593.878485927289,-2207.2155657569288,1.8605851998030984,0.0,1.913953225957452,0.9712561607407496,1439.298309483466,2181.322615477194,-1466.5581051557735,0.0667316925901753,0.0215562027309003,0.0,0.0183877120035257,-4850.897717549044,-0.0006719600984488,-0.0006679972897047,1.192704021162902,-0.036417517303795,0.0263928761057235,-0.0345928975143535,-0.0047236286952776,-0.0002154496921707,-91.32182026292402,0.0,-0.0019519689364154,-0.0342933300804317,1.197142647639603,0.0,-91.29515449823649,4564.036942464956,1594.7028768973437,0.0091592680947084,-0.0213906027392302,0.3090064447325649,-0.0180006898072922,0.9721558719088816,0.0091437627360997,0.0037795849395187
