yaw,FxFR,x,RL,yawrate,FyFL,signal,FxFL,ay,FyFR,RR,signal,FxRL,FyRR,longslipFL,sideslipRR,gas,steeringangel,vx,ax,pitch,longslipRL,longslipFR,az,vy,y,FL,FxRR,sideslipFR,FR,longslipRR,sideslipRL,slip1,rollrate,brake,FyRL,roll,sideslipFL,slip,pitchrate
-0.0130201565377619,0.0466599402084195,9975.981220894291,1e-05,-3.1788466794521145e-07,0.0,0.0,0.0466599392730695,-0.1072571782351647,0.0,1e-05,0.0,0.0466828441670547,0.0,2.808349639999672e-07,0.0,32.1875,0.0,0.0,-0.3431306652622907,-3.921815721326774e-05,2.808349639999672e-07,2.808349639999672e-07,1.4877731725295706,0.0,-138.6472273329127,1e-05,0.0466828417996951,0.0,1e-05,2.808349639999672e-07,0.0,0.0,-0.0001080008855989,0.0,0.0,-1.2512815238071413e-07,0.0,0.0,-2.3775753347015152e-08
-0.013020216233568,-45.75854227491614,9975.981249645403,1.0843085102226775,-2.501495390054726e-06,19.28667828772842,0.0,-47.794902615775214,0.0512574088933185,6.898529018625194,1.0821492871471718,0.0,1538.6319078758793,17.23445923968894,-0.0006030460266187,-0.0007722125224862,12.419211743367446,8.315864276690332e-12,0.0084803266415314,1.849650456251019,-7.268270544982817e-05,0.0125048836359712,-0.0005803651754477,-0.0662155617865713,0.0002429550209704,-138.6472266153935,0.0139595587173891,1547.7810389653669,-0.0002758147553805,0.0135077245638275,0.0126572462534902,-0.0002269429029785,0.0,-0.0049169062123139,0.0,5.691582182708809,-2.829531021062481e-05,-0.0008659353392535,0.0,-0.0071726978455913
-0.0130198178159173,-143.0097267377067,9975.981447413158,1.6597031338777015,8.652055991586223e-05,141.68886754824734,0.0,-142.67254486668344,0.2262384761736892,22.340638009453773,1.6178782395776128,0.0,2160.194654011575,130.0402713417425,-0.0007883273215758,-0.0035728716879911,5.124119488389193,-7.556367305484527e-08,0.0299484315939139,2.506872249945797,-0.0002007637183987,0.0151775111913369,-0.0008115126378487,-0.0529532388447757,0.0013421037123822,-138.6472219980998,0.0903487500213525,2188.9042315080733,-0.00018987288258,0.0875826872970673,0.0155116228959405,-0.0003460449907474,0.0,-0.0084076170302595,0.0,22.92514364574704,-9.870033572941896e-05,-0.0038202863058845,0.0,-0.0177176579778921
-0.0130186647044879,-133.71604421716137,9975.981897713153,2.3213083152545844,9.938814077122172e-05,325.5984335580948,0.0,-135.04524636774855,0.3036920225900856,-105.17067768146,2.227991660958341,0.0,2852.73437131276,316.05942907372986,-0.0009892976355168,-0.0060462945127431,2.4269972974675404,-4.0598920562991953e-07,0.0585818406946271,3.3655742192379297,-0.0004456339607162,0.0212438014128299,-0.0009771129991156,-0.0621409049365074,0.0040595531143336,-138.64720040534385,0.1919924822090661,2866.258429106189,0.004539873623637,0.190230272153429,0.0215050281980636,0.003284417866587,0.0,-0.0094237943665125,0.0,-66.09191975655382,-0.0001896500543841,-0.0061654380239162,0.0,-0.0303478707367062
-0.0130189206524596,-150.21951631865193,9975.982686137351,2.913807040424216,-0.0001333862050289,564.7974043562868,0.0,-151.66794242135873,0.0762113832027341,-515.9087844380061,2.8116610850352077,0.0,3755.62831677272,531.915952595467,-0.0009905613417022,-0.0102461530673105,1.416633456074726,-1.0865396895121087e-07,0.0969583087880346,4.45499846982819,-0.0008284836781348,0.031472221025398,-0.0009944288692431,-0.0571598961065557,0.0061987694703599,-138.64715657928463,0.3347454136622581,3757.215973166128,0.0126884809694882,0.3312386492155473,0.0315159868992353,0.0113929369828039,0.0,-0.0111916416445016,0.0,-444.1583899627471,-0.0002914964377145,-0.0116396474733788,0.0,-0.0450726336811087
-0.0130205246211511,-163.49805101356296,9975.9839159263,3.4632710642462494,-0.0001434581404718,1139.003557655221,0.0,-163.8401621211159,0.126655439512974,-1027.391518008704,3.405921455042486,0.0,4393.398963770239,1039.485967856971,-0.0012015926696697,-0.0221796530149318,1.0257677926010005,-4.364647493180969e-07,0.1452857371659729,5.178920855760084,-0.0013664992261251,0.0463311179342785,-0.0011798263049943,-0.0131889753621849,0.0069977214846822,-138.6471063093849,0.5034956156301291,4324.111914461011,0.0213688068501837,0.5000697922561507,0.0467536467566296,0.0202644260696753,0.0,-0.0138022902986999,0.0,-980.8407558639474,-0.0004190908600789,-0.0242041801457266,0.0,-0.0609672970424611
-0.013021477719112,-155.01268693846205,9975.985659362192,4.239703731181559,-5.5098220548529045e-05,1796.011301082477,0.0,-159.55471252631503,0.0403400107082967,-1732.9911641907222,4.36136108246325,0.0,4480.374079145346,1633.2763455312183,-0.0013740879121754,-0.0349320669724264,0.8715336803550662,-5.960304618191481e-06,0.1981923301476346,5.287715905137378,-0.0020593222052538,0.069429795143734,-0.0014187859476179,0.0237105938393789,0.0080747269806307,-138.64705262694395,0.6862646924193495,4399.510289940629,0.0365161534262558,0.6808925054840768,0.0731175819246563,0.0352027923434385,0.0,-0.0147114373500608,0.0,-1627.851251928852,-0.000562668747422,-0.0342739351693441,0.0,-0.0757092715057427
-0.0130214758301181,-157.19310563675742,9975.98793173182,5.317140909329223,7.918394949847284e-05,2166.7309786799865,0.0,-155.69591554676762,-0.0284007040270456,-2136.3078292565724,5.611599606496073,0.0,4393.019911785123,1947.704665611686,-0.0014043013897215,-0.0465536092839164,0.8130800285695051,-1.9751708233447425e-05,0.2506250392551918,5.209747363374556,-0.0028829000769762,0.1041135913656396,-0.0014488945833269,-0.039957551631142,0.0080761323618982,-138.64700085450923,0.8661134554630324,4313.793721281703,0.034510592316431,0.8611883011972324,0.1128081385593256,0.0443362799685907,0.0,-0.0156708037450807,0.0,-2018.1284816509012,-0.000715299435921,-0.0347683659645029,0.0,-0.0873464827786158
-0.0130187895418453,-149.65611487694477,9975.990730571317,6.297359820892337,0.0004084793802232,2232.16834470069,0.0,-153.657091629311,-0.0037269965516056,-2191.43671202358,6.793150232537065,0.0,4620.142955204001,1765.355622485649,-0.0014887674766668,-0.0489532068264625,0.7874134560271192,-4.881727189571413e-05,0.3040756364168871,5.495178063150904,-0.0038100523296267,0.1433102713032821,-0.001546018644974,-0.1293455990479332,0.0079309737498856,-138.64695744106356,1.0418314761728735,4508.157228846433,0.0356905469325326,1.03800536468717,0.1595801120520004,0.0432028128220575,0.0,-0.0159416652053511,0.0,-1828.61418161033,-0.0008740763903851,-0.0343115089510432,0.0,-0.0968933216077625
-0.0130139626238003,-153.05143886657572,9975.99407868706,7.025069191026894,0.000512691056474,2227.5170256954825,0.0,-154.9408003541691,-0.0337574756642905,-2225.2935499783152,7.768088049702793,0.0,4781.408555987866,1456.0692938443804,-0.001518517451277,-0.0508753873033482,0.7710071707809798,-9.180341351651912e-05,0.3600786912430107,5.695592872569017,-0.0048255383566086,0.1820023089116454,-0.0016157653837143,-0.1971687219906121,0.0076870657395393,-138.646922883446,1.2249585758619417,4662.788978449553,0.0369877343207535,1.2205172571266951,0.2086385229747046,0.0448887860269217,0.0,-0.0158043075591253,0.0,-1517.861801875435,-0.0010329074759868,-0.0348899009390785,0.0,-0.1051695073155676
