yaw,vx,FyRL,yawrate,sideslipRL,roll,FxFR,pitchrate,x,ax,FyFR,pitch,gas,y,RL,FL,steeringangel,FyFL,signal,longslipFR,az,rollrate,FyRR,sideslipFR,signal,brake,sideslipRR,RR,FxRL,longslipFL,slip1,longslipRL,ay,FxFL,FxRR,FR,sideslipFL,longslipRR,slip,vy
-0.0342957201195726,0.0,0.0,-3.1788466794528535e-07,0.0,-1.2512815238127624e-07,0.0466599402084196,-2.3775753347224906e-08,4564.018298359632,-0.3431306652622903,0.0,-3.9218157213248485e-05,39.340277777777786,-4850.897164652041,1e-05,1e-05,0.0,0.0,0.0,2.808349639999672e-07,1.4877731725295662,-0.0001080008855989,0.0,0.0,0.0,0.0,0.0,1e-05,0.0466828441670549,2.808349639999672e-07,0.0,2.808349639999672e-07,-0.1072571782351639,0.0466599392730696,0.0466828417996954,1e-05,0.0,2.808349639999672e-07,0.0,0.0
-0.0342957798154886,0.0084803266374004,5.691584911514616,-2.501513631808599e-06,-0.0002269429815789,-2.8295318894235186e-05,-45.75853934436751,-0.0071726992989191,4564.0183271195,1.8496504524269235,6.898517053658372,-7.268271119580988e-05,15.182263426219505,-4850.897164546333,1.0843085104833043,0.013959558540463,0.0,19.28668992787782,0.0,-0.0005803651418275,-0.0662153214831475,-0.0049169070171574,17.234463926003237,-0.0002758141952947,0.0799986666733333,0.0,-0.0007722126776018,1.0821492862600806,1538.6319089146716,-0.0006030459982721,0.0,0.0125048836592421,0.0512574097733815,-47.79490148057706,1547.781042113167,0.0135077235372194,-0.0008659359744629,0.0126572463008556,0.0,0.0002429550595765
-0.0342953813980694,0.029948431608553,22.925147714078676,8.652054617366271e-05,-0.0003460450087117,-9.870035038110624e-05,-143.0097308411693,-0.0177176592202564,4564.018524940726,2.5068722554189065,22.3406198275947,-0.0002007637381622,6.272281183553568,-4850.8971641373855,1.6597031312282764,0.0903487521819541,0.0,141.68891405228186,0.0,-0.0008115126330158,-0.0529532694205198,-0.0084076174639042,130.04028188356273,-0.000189873102941,0.1599893335466646,0.0,-0.0035728718253729,1.6178782327934649,2160.194660847929,-0.0007883273147062,0.0,0.0151775112400291,0.226238497566293,-142.67254785076796,2188.904238464928,0.0875826896486228,-0.0038202869473151,0.0155116229479329,0.0,0.0013421038778943
-0.0342942282855102,0.0585818407665621,-66.09192863373893,9.938846600590508e-05,0.0032844182443548,-0.0001896500698494,-133.7160448131883,-0.0303478719267782,4564.018975598172,3.365574223914715,-105.17060895902068,-0.0004456339924699,2.981074164384533,-4850.897152129177,2.3213083074582053,0.1919924840802111,0.0,325.59850928723023,0.0,-0.0009771130165446,-0.0621409015719837,-0.0094237940251302,316.0594297066287,0.0045398710449359,0.2399640016199652,0.0,-0.0060462942861637,2.22799165023222,2852.7343781518143,-0.0009892976383768,0.0,0.0212438014522375,0.3036920741805654,-135.0452454907042,2866.258436408024,0.1902302754082313,-0.0061654399758784,0.021505028245282,0.0,0.0040595536858499
-0.0342944842242507,0.0969583089040398,-444.1584232271037,-0.0001333848364594,0.0113929374904914,-0.0002914964417351,-150.21951475229534,-0.0450726348741584,4564.019764776292,4.45499847458934,-515.9087609877957,-0.000828483721826,1.7521587276685076,-4850.8971250859295,2.9138070389199364,0.3347454140030965,0.0,564.7974085227373,0.0,-0.0009944288494215,-0.0571598930855985,-0.0111916400883152,531.9159332351235,0.0126884860808265,0.3199146734930733,0.0,-0.0102461527971049,2.81166106631985,3755.628312343691,-0.000990561343961,0.0,0.0314722210419008,0.0762114284338026,-151.66794221286358,3757.2159839564847,0.3312386550137135,-0.011639642195456,0.0315159869383478,0.0,0.0061987708933125
-0.0342960881859726,0.1452857373913867,-980.840723581199,-0.0001434581480277,0.0202644246861872,-0.0004190908637137,-163.4980920660197,-0.0609672993093753,4564.020995356358,5.178920820751954,-1027.3916377865942,-0.001366499290462,1.2808924250103706,-4850.89710098988,3.46327104875588,0.503495608713931,0.0,1139.003829387609,0.0,-0.0011798270208603,-0.0131890766471641,-0.0138022911314341,1039.486036217684,0.0213687864665752,0.3998333541654266,0.0,-0.0221796552554078,3.405921460542518,4393.39900034095,-0.0012015930279786,0.0,0.0463311179332331,0.1266553319044624,-163.84016655637785,4324.111866946578,0.5000697709348905,-0.0242042113844486,0.0467536471596229,0.0,0.0069977213080826
-0.0342970575648906,0.1981898695824135,-1621.3906166854097,-6.083429364514564e-05,0.0348862568164247,-0.0005639067169827,-155.31949486756545,-0.0757845222746017,4564.02273953736,5.289151197040251,-1726.8962934186875,-0.0020595364115576,1.0970841678581504,-4850.897084316071,4.261325267536617,0.6861686570138249,0.0,1803.553339320423,0.0,-0.001415329121164,0.0130109794452453,-0.0150456744798396,1637.213674024706,0.0361494056212147,0.4797120518355567,0.0,-0.035326442737789,4.387170998807951,4485.222985782345,-0.0013820665370675,0.0,0.0697849413618393,0.0569885053924851,-159.34526711001055,4394.548107186161,0.6810193940389563,-0.0347299776339619,0.0735981361711798,0.0,0.0081129720963427
-0.0342971261723923,0.2506266915809633,-1988.0111473083837,7.978380119403962e-05,0.0443563595626502,-0.0007230128323127,-157.2131348006164,-0.0878689512354917,4564.025012505535,5.22016495810103,-2125.7090765958715,-0.0028859610482278,1.027747183547561,-4850.897079050247,5.474660706748972,0.8663823099023078,0.0,2188.012077424933,0.0,-0.0014497446508742,-0.0562965161287765,-0.0165868489527141,1937.0912567608336,0.0344885797809724,0.5595427787002621,0.0,-0.0472288314642452,5.801179865333233,4406.746061088123,-0.0014280380966343,0.0,0.1074538951086181,0.0035704827526915,-156.5387629415766,4317.482839834702,0.8617924392507458,-0.0352233758915762,0.1171326250971855,0.0,0.0084119816345176
-0.0342942305434392,0.3042071031899576,-1759.124073102417,0.0004404922017803,0.0434692232028009,-0.0008949228924171,-150.74967652383538,-0.0982426585895953,4564.027812469872,5.513129852495052,-2191.5909707853643,-0.0038226438477648,0.9978555033757156,-4850.897090093038,6.710425226649892,1.0438195914631307,0.0,2259.08988533986,0.0,-0.0015647153725511,-0.1478258910720301,-0.0175895119391139,1717.000447209092,0.0359212647704343,0.6393175517533816,0.0,-0.0504152496472653,7.254414356270356,4640.510043550532,-0.0015157968566283,0.0,0.1538386841884503,0.0317356138517409,-154.36612063637256,4521.766624111161,1.0398972897147305,-0.0349893442000525,0.1721026131838714,0.0,0.0085820477049069
-0.0342890790431027,0.360382427052287,-1416.6901207675294,0.0005389757603771,0.045746328792232,-0.0010737379377231,-153.78446453200328,-0.1075258822424136,4564.031163117379,5.710123114243622,-2235.8772017978185,-0.0048571301542138,0.9798121108228884,-4850.897118527541,7.760606513624928,1.2290820017065072,0.0,2263.486902574612,0.0,-0.0016442377829971,-0.2034815250611622,-0.0180540569574122,1384.0430267412764,0.0375246533847722,0.7190283935840883,0.0,-0.0526846229877727,8.566319179448858,4802.63091638495,-0.0015552358204425,0.0,0.203942851541476,0.0062831504234607,-156.10186023321762,4676.863110016474,1.2243696676382918,-0.035746368620374,0.2337280630240693,0.0,0.0086713117904619
