RL,FxRR,yaw,vx,FxFL,sideslipFL,roll,az,pitch,FyRL,sideslipRL,FyFR,FR,FyRR,pitchrate,brake,sideslipRR,x,RR,longslipRL,slip1,sideslipFR,FxFR,longslipFL,ay,longslipFR,yawrate,signal,vy,steeringangel,FyFL,rollrate,signal,FL,gas,slip,longslipRR,ax,y,FxRL
1e-05,0.0466828417996951,-0.0130201565377619,0.0,0.0466599392730695,0.0,-1.2512815238071413e-07,1.4877731725295706,-3.921815721326774e-05,0.0,0.0,0.0,1e-05,0.0,-2.3775753347015152e-08,0.0,0.0,9975.981220894291,1e-05,2.808349639999672e-07,0.0,0.0,0.0466599402084195,2.808349639999672e-07,-0.1072571782351647,2.808349639999672e-07,-3.1788466794521145e-07,0.0,0.0,0.0,0.0,-0.0001080008855989,0.0,1e-05,21.458333333333336,0.0,2.808349639999672e-07,-0.3431306652622907,-138.6472273329127,0.0466828441670547
1.0843085102226775,1547.7810389653669,-0.013020216233568,0.0084803266415314,-47.794902615775214,-0.0008659353392535,-2.829531021062481e-05,-0.0662155617865713,-7.268270544982817e-05,5.691582182708809,-0.0002269429029785,6.898529018625194,0.0135077245638275,17.23445923968894,-0.0071726978455913,0.0,-0.0007722125224862,9975.981249645403,1.0821492871471718,0.0125048836359712,0.0,-0.0002758147553805,-45.75854227491614,-0.0006030460266187,0.0512574088933185,-0.0005803651754477,-2.501495390054726e-06,0.0,0.0002429550209704,8.315864276690332e-12,19.28667828772842,-0.0049169062123139,0.0,0.0139595587173891,8.274634219330158,0.0,0.0126572462534902,1.849650456251019,-138.6472266153935,1538.6319078758793
1.6597031338777015,2188.9042315080733,-0.0130198178159173,0.0299484315939139,-142.67254486668344,-0.0038202863058845,-9.870033572941896e-05,-0.0529532388447757,-0.0002007637183987,22.92514364574704,-0.0003460449907474,22.340638009453773,0.0875826872970673,130.0402713417425,-0.0177176579778921,0.0,-0.0035728716879911,9975.981447413158,1.6178782395776128,0.0151775111913369,0.0,-0.00018987288258,-143.0097267377067,-0.0007883273215758,0.2262384761736892,-0.0008115126378487,8.652055991586223e-05,0.0,0.0013421037123822,-7.556367305484527e-08,141.68886754824734,-0.0084076170302595,0.0,0.0903487500213525,3.401876945687613,0.0,0.0155116228959405,2.506872249945797,-138.6472219980998,2160.194654011575
2.3213083152545844,2866.258429106189,-0.0130186647044879,0.0585818406946271,-135.04524636774855,-0.0061654380239162,-0.0001896500543841,-0.0621409049365074,-0.0004456339607162,-66.09191975655382,0.003284417866587,-105.17067768146,0.190230272153429,316.05942907372986,-0.0303478707367062,0.0,-0.0060462945127431,9975.981897713153,2.227991660958341,0.0212438014128299,0.0,0.004539873623637,-133.71604421716137,-0.0009892976355168,0.3036920225900856,-0.0009771129991156,9.938814077122172e-05,0.0,0.0040595531143336,-4.0598920562991953e-07,325.5984335580948,-0.0094237943665125,0.0,0.1919924822090661,1.595881996958448,0.0,0.0215050281980636,3.3655742192379297,-138.64720040534385,2852.73437131276
2.913558450517909,3757.1926324962433,-0.0130189205633678,0.0969583087880346,-151.66794242135873,-0.0116396474733788,-0.0002914658887421,-0.0534503922431321,-0.0008284822606692,-444.15896499013536,0.0113929369828039,-515.9087844380061,0.3312386492155473,531.9165118127221,-0.0450712162155852,0.0,-0.0102461530673105,9975.982686137351,2.8114124951289003,0.0314701342990018,0.0,0.0126884809694882,-150.21951631865193,-0.0009905613417022,0.0932431434095733,-0.0009944288692431,-0.0001332971132142,0.0,0.0061987694703599,-1.0865396895121087e-07,564.7974043562868,-0.0111610926721397,0.0,0.3347454136622581,0.913345548513455,0.0,0.0315137816803517,4.454168666775993,-138.64715657928463,3755.605537652528
3.3567929343411853,4326.343109429282,-0.0130204363418948,0.1452540625704964,-163.52159905409664,-0.0230164411982737,-0.0004128637519322,0.0141123656269643,-0.0013651295785765,-1004.2800577560812,0.0209525175517029,-1050.7478182852212,0.4997059735736839,1016.734724998916,-0.0605955507457163,0.0,-0.0211934253184955,9975.983915832152,3.2814918155147668,0.0450330250461506,0.0,0.0221967342516221,-162.81125960879564,-0.0011798593397427,0.0563553532948398,-0.0011802033873788,-0.0001181558533413,0.0,0.0067743103326544,-5.008090111029685e-07,1108.8286080067244,-0.0125846694798206,0.0,0.503357994972621,0.6431306947518838,0.0,0.0450485723464759,5.1606435570967655,-138.6471070153036,4365.8564242178245
3.75931862428414,4407.477904195997,-0.0130210248197293,0.1979655099771314,-157.6848113428568,-0.0332988744077623,-0.0005383834858638,0.0412420497986062,-0.002048008115408,-1683.4226399035024,0.0343666295463825,-1740.198643255228,0.6788047177902454,1649.8514353590251,-0.0741123605909765,0.0,-0.0339446342734121,9975.985657781726,3.788850892514074,0.0611762646298713,0.0,0.0355450268234035,-154.61589307384415,-0.0013337446480071,-0.0208557563142258,-0.001396914808863,-2.738251380784351e-05,0.0,0.0069981129086364,-6.307917651544274e-06,1737.3200957839715,-0.0124852948198171,0.0,0.6838506467709906,0.5335898780241699,0.0,0.0627157150906776,5.28533270510177,-138.64706014506243,4460.060014832798
4.273875640981515,4287.276925228891,-0.0130211085506117,0.2502815003120808,-154.852313136422,-0.033188386627614,-0.0006622197301144,0.0100677398021374,-0.0028467796939377,-2213.6113192794683,0.0428310378199943,-2112.461975366899,0.856672081812093,2128.5395359257222,-0.0840743478191449,0.0,-0.0431972867041478,9975.987927306502,4.434045008599438,0.081565950697385,0.0,0.0338242649529221,-154.75973812937758,-0.0013507990254629,-0.0642088725801341,-0.0013955735138009,4.450315016037608e-05,0.0,0.0065537879980446,-1.836424182635196e-05,2105.2945396566297,-0.0122480828854766,0.0,0.8608644427797942,0.4914337586796296,0.0,0.0862511976274487,5.175645829663175,-138.64702187240678,4354.95827920748
4.680042635384463,4415.637316974135,-0.0130194378914028,0.302990336439777,-150.07706070515357,-0.0327140178044092,-0.0007814297028991,-0.0523134339060751,-0.0037302697393991,-2187.962373740201,0.0405352602923469,-2154.4377139564167,1.0281343187035532,2099.842442076195,-0.0915980709243321,0.0,-0.0436895208161708,9975.990719137624,5.036717256280595,0.1016101804445658,0.0,0.0342578086884576,-147.44023443457755,-0.0014044303215841,-0.0583399084818198,-0.0014684857227086,0.0002607286749171,0.0,0.005974438048923,-4.138835071856648e-05,2152.76422011274,-0.0116050439274707,0.0,1.0317564804771642,0.4728303624809388,0.0,0.1123607648023537,5.37885692100888,-138.64699590661124,4512.8839640920405
4.900953773040098,4579.911676855158,-0.0130157063105928,0.3578362414407919,-151.8353798538221,-0.0330040942530254,-0.0008933923890017,-0.1125635973293078,-0.0046810698982791,-2001.6963278695664,0.0403942933848347,-2162.8302004465704,1.2041963803460445,1894.121954716134,-0.0977598536984068,0.0,-0.0454773501663729,9975.994049645087,5.457044757926634,0.1180617467976599,0.0,0.0349442041154144,-150.43330759838088,-0.0014329330685118,-0.0833002942233637,-0.0015178657936677,0.0004687270092306,0.0,0.0052823513465607,-7.499779709487733e-05,2142.998102142868,-0.0108714451436681,0.0,1.2072793926528205,0.4597947385686052,0.0,0.1365536193391686,5.58621260835116,-138.6469831516208,4672.678178566374
