sideslipFR,signal,steeringangel,FyRR,roll,FxRL,sideslipRL,slip1,longslipRL,pitchrate,sideslipFL,brake,pitch,sideslipRR,slip,vy,ax,FyFR,FyFL,longslipFR,y,FxFL,gas,FL,longslipRR,FyRL,ay,RR,longslipFL,FxFR,FR,vx,signal,x,FxRR,rollrate,yawrate,yaw,az,RL
0.0366951009911475,0.0,-0.0002077785870396,891.0601589866453,-0.0013919363084915,4953.297938471052,0.0443413460549974,0.0,0.2920610756438808,-0.1197367354375288,-0.034543445727282,0.0,-0.0071298285469446,-0.0488409378954788,0.0,0.0076836185947945,5.905263897218495,-2184.7920958623736,2189.4204723995786,-0.001702851662613,-138.6468619751905,-156.8030806637784,0.8547709779814991,1.6055371633937716,0.3498002078040927,-957.3066613972552,-0.0402713086111395,10.172388790404746,-0.0015881069643182,-154.07167211398252,1.6010328787728816,0.4767175846888146,0.0,9976.00250595678,4815.231099436095,-0.0158137606346562,0.0005177616076678,-0.0130034270926768,-0.2607045599257405,8.843555042319807
0.0355640855945085,0.0,-0.0002783234901396,698.9936053179558,-0.0015434434820131,5025.139857188342,0.0415393928295237,0.0,0.3432050092738382,-0.1239620249861703,-0.0330328402093424,0.0,-0.0083516153801808,-0.0450935014414104,0.0,0.007183477112306,5.992362326387774,-2112.242340365851,2104.795829464425,-0.0016718295463759,-138.64685420819512,-154.73920046871413,0.8473404716142088,1.7973403499534386,0.4211890634740128,-777.3901801444083,-0.0557210527440088,11.005799994165852,-0.0015490461685387,-151.81668917018567,1.7934099897656934,0.5362250924929415,0.0,9976.007601405245,4870.6041435741545,-0.0145631648265096,0.0005202324982071,-0.0129981992072172,-0.2617936321251397,9.367741581172476
0.0340733756933816,0.0,-0.000347202691851,546.3082410032013,-0.0016808544298723,5105.589503886206,0.038585853322011,0.0,0.3939993734037439,-0.1267345408146512,-0.03144291483487,0.0,-0.0096077136174951,-0.0410585034925965,0.0,0.0065398948072888,6.087019111865796,-2018.660965657096,2002.98941893414,-0.0016459380904741,-138.64686012780413,-154.09466838335723,0.8402471843553609,1.9888061235266048,0.4969340753294155,-632.8373143054471,-0.0676541048659133,11.772176052728762,-0.0015158980914507,-151.02232927832688,1.985238862696123,0.59662355154008,0.0,9976.013297078922,4933.31898093408,-0.0130289398815496,0.0004738224578214,-0.0129932139638607,-0.2451812702534256,9.788140701284505
0.0324742215346278,0.0,-0.0004009073646662,428.89967381621136,-0.0018014164041558,5191.87408148743,0.0358809991240122,0.0,0.4420333312791105,-0.1281319312568832,-0.0297604248112806,0.0,-0.010883804002011,-0.0371203459446804,0.0,0.005801100828378,6.190052683292951,-1913.5486228483103,1892.967375743352,-0.001627432393401,-138.64688101367324,-153.6597288854669,0.8330766313180653,2.180288233040979,0.5754081723522607,-522.2363874439334,-0.0763287107765815,12.470330383999087,-0.0014947870973894,-150.2907949467507,2.1769848137448644,0.6580043630380827,0.0,9976.01960243079,5003.812899640638,-0.0112197748933954,0.0003911081821207,-0.0129889046516896,-0.2186706789303546,10.104292480875952
0.0308161220606765,0.0,-0.0004250196491185,339.4367733820055,-0.0019025017601293,5280.100402158963,0.0334753307273779,0.0,0.4877114448904672,-0.1282912358074855,-0.0280679425577608,0.0,-0.012166989635173,-0.0334384040685118,0.0,0.0049789686875069,6.296684548321319,-1805.7245499588932,1779.708338117914,-0.0016029426144848,-138.64691786071575,-153.27275557818862,0.825731801545288,2.372477310191503,0.6572999994467852,-438.8785569328911,-0.0849499383185605,13.129797214718131,-0.0014726679649428,-149.7563030475081,2.3693853304507084,0.7204240738062834,0.0,9976.026527650123,5079.4347183589225,-0.009166507355741,0.0002765007847042,-0.0129855991770988,-0.1803736193357895,10.351231314712557
0.0290983875827868,0.0,-0.0004009633764734,270.93893471401486,-0.0019819243355335,5367.661512615471,0.0312738793339394,0.0,0.5308485175781733,-0.1272794051050748,-0.0263901680532662,0.0,-0.0134452794500245,-0.0300146978810188,0.0,0.0040843133592253,6.4042743344873765,-1696.884448647649,1666.8598447843406,-0.0015789110067523,-138.64697159306115,-153.0198244999845,0.8182264539372781,2.5655347562573083,0.7425177003282778,-375.34062577914966,-0.0916689595535398,13.75696280159672,-0.0014530876659953,-149.46934277171115,2.562584743204932,0.7839094088459689,0.0,9976.034083299117,5157.789691652078,-0.0069139029116294,0.0001377712895694,-0.0129835804974113,-0.1344943280673872,10.542859134948742
0.0273414943659537,0.0,-0.0003068712773249,217.75219908433348,-0.0020379329533283,5452.780304439242,0.0291878036646881,0.0,0.5710814844789556,-0.1251528144889054,-0.024732604808996,0.0,-0.0147072738210411,-0.0267953285512837,0.0,0.0031353505250467,6.510032554909736,-1588.8323037703817,1556.142903043629,-0.0015566623616561,-138.6470429727731,-152.88868523045647,0.8106124369528367,2.7595440876508848,0.8308214331269964,-325.66874348539875,-0.0965339605830324,14.35351333699053,-0.0014377892048193,-149.3109740868433,2.7566932021599038,0.8484592449865311,0.0,9976.042280024383,5235.9249902171205,-0.0045068274553249,-1.9088981449107905e-05,-0.0129830527689035,-0.0837799983659822,10.68648737266276
0.0255669519621982,0.0,-0.0001229709451665,175.71021446632716,-0.0020692344135116,5533.58895176638,0.0271606864951651,0.0,0.6080485415261506,-0.121970610144577,-0.0230938061080867,0.0,-0.015942144010798,-0.0237358161799147,0.0,0.0021528793565063,6.612011035051734,-1482.0586556646588,1447.9792605530313,-0.0015360922050224,-138.6471325639825,-152.7868411416959,0.8029553094860931,2.9545484735099548,0.9219124434774127,-285.6163645098149,-0.0993639780145031,14.920130212628186,-0.0014255835715516,-149.24834346736844,2.951756059420234,0.9140458123194226,0.0,9976.05112828119,5312.420574872377,-0.0019914818598548,-0.000187982980792,-0.0129841641115156,-0.0304630664353166,10.788025625702808
0.0237797460466367,0.0,0.0001662716971984,142.1368769652482,-0.0020750393368935,5609.283374538134,0.0251619261011653,0.0,0.6414403222350774,-0.1178007662373187,-0.0214884015966564,0.0,-0.0171397001302458,-0.0208199258860368,0.0,0.0011536837167314,6.709641339006122,-1377.6128311088023,1343.0237287171933,-0.0015181815254637,-138.64724073618487,-152.7395047891129,0.7953040924072011,3.1505441749660146,1.01535492323055,-252.3409330616092,-0.1003094327084655,15.456195734305425,-0.0014168696727722,-149.27497513013452,3.147771253604603,0.9806280419190112,0.0,9976.060638135272,5387.262105540335,0.0005784614322219,-0.0003650297841596,-0.0129870138634582,0.0235960016184166,10.853091011765908
0.021992704754288,0.0,0.0006014465164965,118.83462866418084,-0.0020550038242095,5679.401031655187,0.0232098205470058,8.911768489595231e-05,0.6710506671558195,-0.1127200059330893,-0.0199186684264712,0.0,-0.0182904817425018,-0.0180168380841094,8.911768489595231e-05,0.000167254257673,6.8021918516325925,-1275.3889775024345,1241.4885044661096,-0.0015018078958284,-138.6473676417976,-152.78025829072433,0.7876860093514497,3.347562406705744,1.1105524121625008,-224.0304624347147,-0.0966812292776918,15.95996373957582,-0.001410843300158,-149.37586377300792,3.344744944549416,1.0481605850821936,0.0,9976.070819195167,5459.853716962465,0.003171971708074,-0.0005526701848458,-0.0129916808347737,0.0773530444540002,10.887475289365195
0.0202186928697649,0.0,0.001291561841982,101.290658310233,-0.0020090256475975,5743.309039484107,0.0213438473025803,6.282428735008118,0.6967547233460446,-0.1068126019082133,-0.0183876075120154,0.0,-0.0193858358911934,-0.0152961476921689,-0.0007565721714682,-0.0007723967618845,6.888835139113161,-1175.8164775659793,1143.776961331317,-0.0014884769557197,-138.64751307186356,-152.81703133618984,0.7801289756445061,3.5456263523510057,1.2068499096935894,-199.6850472584219,-0.0919435008833989,16.430142736221352,-0.0014059347923766,-149.58080124509252,3.542636947063933,1.1165890420088185,0.0,9976.08168054906,5529.500778241755,0.0057597032687199,-0.0007569942332811,-0.0129983220078101,0.1291326490778189,10.896730512253963
0.0184833041351109,0.0,0.0021614570662521,86.07141787347022,-0.0019374776491137,5800.418503340246,0.0195426994215413,6.2817323833476175,0.7185335552533333,-0.1001710814646023,-0.0168847568138142,0.0,-0.0204179995928832,-0.0127020259764963,-0.0014529238319684,-0.0016539903495567,6.968629447452924,-1079.3347939540035,1049.512490960952,-0.0014766311249168,-138.64767660026348,-152.88166681435817,0.772660358441436,3.744672875897552,1.303530107606318,-178.5024590872973,-0.0872646307106138,16.8655062914061,-0.0014028997530344,-149.8770193661013,3.741481031288074,1.1858505552310543,0.0,9976.093230679033,5595.43553761581,0.0082804411459577,-0.0009652805170136,-0.0130070395860678,0.1778061749586869,10.886457035419124
0.0167794748052737,0.0,0.0031295233925257,72.06338829518106,-0.0018414460563915,5850.198973674241,0.0177722340883553,6.281159080908777,0.7364728283657035,-0.0928922713878375,-0.0154332521403552,0.0,-0.0213801621752849,-0.0102869059877929,-0.0020262262708091,-0.0024808832462083,7.040645460760272,-986.1158493678328,958.8438610234848,-0.0014662774221903,-138.6478577798448,-152.9707067602617,0.7653095103440142,3.944647503561538,1.399875236547871,-159.69392236369518,-0.0828411231282642,17.26528317461267,-0.0014011716904848,-150.2307825847516,3.9412601599914265,1.255872868555796,0.0,9976.105477374676,5656.765733834246,0.0106591706400219,-0.0011642376874483,-0.0130178010938529,0.2224252534024007,10.862063069162494
0.0151222716831829,0.0,0.0041260650668222,59.01209574600231,-0.0017226954556499,5892.186964997803,0.0160119730711539,6.280691436492187,0.7507540686418894,-0.0850754753076188,-0.014033216482277,0.0,-0.0222664927142498,-0.0080823423643529,-0.0024938706873984,-0.0032510714670293,7.104321361897648,-895.9685907406047,872.2853161589475,-0.0014566194058448,-138.6480561722188,-153.05271153329892,0.758106294507675,4.145470940913009,1.495181621859943,-142.5863957867789,-0.0784459209088964,17.629159356424363,-0.0013997686343831,-150.65312531370353,4.141946912781206,1.3265746774211244,0.0,9976.118427646106,5712.611724252385,0.0128341049798078,-0.0013378919219527,-0.013030424810273,0.2615184282567288,10.8286171932321
0.0135829782113349,0.0,0.0051203874424797,46.96987265015554,-0.001583883259986,5925.849470933006,0.0142388542708241,6.280314925561796,0.761646566166081,-0.0768527665210547,-0.0127333756257619,0.0,-0.0230722938769507,-0.0061250809225835,-0.0028703816177905,-0.0039627754178457,7.1586597135311205,-810.8399130342068,790.3287026629577,-0.0014462264118228,-138.64827130334783,-153.18000601315038,0.7510812120625876,4.347089401548187,1.5887794762433776,-126.6310219006286,-0.0745701100532263,17.95721248967406,-0.0014008536983424,-151.13090673988077,4.343441171087846,1.3978656364128157,0.0,9976.132087638563,5762.264973481882,0.0146740702452997,-0.0014784049227693,-0.0130446052600402,0.2940704152839428,10.790838793192176
0.0119714443110998,0.0,0.0065785169934347,36.21924409045395,-0.0014295705562549,5946.168863574818,0.0125203097887743,6.280028126755461,0.7696969979735544,-0.0684031308424895,-0.0116479658534281,0.0,-0.0237944865615674,-0.0044897319452086,-0.0031571804241256,-0.0045982786358029,7.198645792294158,-728.603368019349,716.9944018756739,-0.0014366539553338,-138.6485026249947,-153.2963031325079,0.7442833349935278,4.5496029743074935,1.679864462030268,-111.5590081514816,-0.0652851172203587,18.2486926643339,-0.0014008460793898,-151.79303641032527,4.545738482152143,1.4696353905422053,0.0,9976.14646251637,5805.216847393871,0.0159659972171225,-0.0015645582098046,-0.0130599332368024,0.3145036726402833,10.755329488473937
0.0104677409405476,0.0,0.0084747037295758,27.09732854990865,-0.0012648425695105,5949.481855007965,0.0108026843697956,6.27985091099081,0.7769552231442552,-0.0598777516389876,-0.0105639895211151,0.0,-0.0244315962156861,-0.0032105133080119,-0.0033343961887768,-0.0051068738876352,7.22229015629677,-647.7748102070616,650.5732891759994,-0.0014272193407291,-138.6487491720087,-153.20248907467604,0.7378104719629908,4.752549165741764,1.76696810423897,-97.05379316904369,-0.0496341359682305,18.50049293120593,-0.0013992984979919,-152.5599444994984,4.748985330665331,1.5417305214974666,0.0,9976.161556145478,5838.818830513627,0.016852854850876,-0.0015394975828012,-0.0130755443318835,0.3165538841605895,10.737418297425036
0.0091688297500259,0.0,0.0103334292705456,19.68364745961773,-0.0010925759125687,5940.351890330817,0.0090993282103004,6.279773833954705,0.7851513739374607,-0.0514201416679012,-0.0094833563320477,0.0,-0.0249837836431322,-0.0022061437324413,-0.0034114732248815,-0.0054793063485306,7.226901496889542,-573.1747680061006,587.2474457863415,-0.001415712736926,-138.6490096319541,-153.0672383993116,0.7317561406774629,4.955584195757334,1.8499082789736128,-82.85110108146766,-0.0362229607444473,18.718217678753007,-0.0013963601469847,-153.08086464831757,4.952980699323758,1.6139693902372745,0.0,9976.177370715515,5856.597695503554,0.0174891858610856,-0.0014044570136156,-0.0130902708237574,0.3177630358507959,10.7475494120615
0.0079934056566881,0.0,0.0118364283426825,13.582820947723272,-0.0009156581552488,5922.850230050214,0.0074218905942821,6.279770303864753,0.7942494236450919,-0.0430806858692398,-0.0084069406605771,0.0,-0.0254519935417103,-0.0013582364243997,-0.0034150033148332,-0.0057380283614377,7.217948771412272,-505.671875022208,525.9687545594887,-0.0014042377836792,-138.64928276500106,-152.94936292226333,0.7261323146008888,5.158513587093971,1.9291868322037595,-68.95821943777206,-0.0253301873291359,18.908248376779845,-0.0013922132527973,-153.38839988278707,5.157184046351063,1.6861891047443924,0.0,9976.193906681612,5861.2084824401945,0.0178061938437009,-0.0012020717471376,-0.0131032407316407,0.3106097390472387,10.782121488809546
