vy,slip,RL,FyFR,gas,RR,sideslipFL,steeringangel,FxRR,longslipRL,ax,pitchrate,slip1,FyFL,longslipRR,FyRR,longslipFL,x,FR,yaw,ay,y,sideslipRL,FxRL,FxFL,FxFR,rollrate,FL,signal,roll,sideslipFR,yawrate,longslipFR,FyRL,vx,az,sideslipRR,brake,signal,pitch
0.0,0.0,1e-05,0.0,7.152777777777778,1e-05,0.0,0.0,0.0466828417996954,2.808349639999672e-07,-0.3431306652622903,-2.3775753347224906e-08,0.0,0.0,2.808349639999672e-07,0.0,2.808349639999672e-07,4564.018298359632,1e-05,-0.0342957201195726,-0.1072571782351639,-4850.897164652041,0.0,0.0466828441670549,0.0466599392730696,0.0466599402084196,-0.0001080008855989,1e-05,0.0,-1.2512815238127624e-07,0.0,-3.1788466794528535e-07,2.808349639999672e-07,0.0,0.0,1.4877731725295662,0.0,0.0,0.0,-3.9218157213248485e-05
0.0002429550595765,0.0,1.0843085104833043,6.898517053658372,2.748530854658887,1.0821492862600806,-0.0008659359744629,0.0,1547.781042113167,0.0125048836592421,1.8496504524269235,-0.0071726992989191,0.0,19.28668992787782,0.0126572463008556,17.234463926003237,-0.0006030459982721,4564.0183271195,0.0135077235372194,-0.0342957798154886,0.0512574097733815,-4850.897164546333,-0.0002269429815789,1538.6319089146716,-47.79490148057706,-45.75853934436751,-0.0049169070171574,0.013959558540463,0.2399640016199652,-2.8295318894235186e-05,-0.0002758141952947,-2.501513631808599e-06,-0.0005803651418275,5.691584911514616,0.0084803266374004,-0.0662153214831475,-0.0007722126776018,0.0,0.0,-7.268271119580988e-05
0.0013421038778943,0.0,1.6597031312282764,22.3406198275947,1.1055535556516056,1.6178782327934649,-0.0038202869473151,0.0,2188.904238464928,0.0151775112400291,2.5068722554189065,-0.0177176592202564,0.0,141.68891405228186,0.0155116229479329,130.04028188356273,-0.0007883273147062,4564.018524940726,0.0875826896486228,-0.0342953813980694,0.226238497566293,-4850.8971641373855,-0.0003460450087117,2160.194660847929,-142.67254785076796,-143.0097308411693,-0.0084076174639042,0.0903487521819541,0.4797120518355567,-9.870035038110624e-05,-0.000189873102941,8.652054617366271e-05,-0.0008115126330158,22.925147714078676,0.029948431608553,-0.0529532694205198,-0.0035728718253729,0.0,0.0,-0.0002007637381622
0.0039662509830516,0.0,2.250066099024933,-117.06923647785544,0.4877486023617426,2.157885369693608,-0.0054601308854074,0.0,2849.8566247347967,0.0209323139527982,3.340915253444775,-0.0301083421599323,0.0,312.0743955226285,0.0210747539289199,303.3364024683278,-0.0009794937320261,4564.01897555998,0.1902180956703407,-0.0342942247861489,0.2716247426077414,-4850.897152367285,0.0038223271198102,2838.9674581560403,-134.50686238418183,-133.51510516846903,-0.0079598212857709,0.1918149492483029,0.7190283935840883,-0.0001844605694737,0.0051454441389515,9.884998950959505e-05,-0.0009733305477367,-76.73127569898436,0.0585643115327732,-0.0229598647757208,-0.0053885113731141,0.0,0.0,-0.000444975061282
0.0050106313333378,0.0,2.37339043298024,-569.6635828292422,0.2438372832443334,2.2711455865053827,-0.0093767644745596,0.0,3548.3425007452283,0.0269443356201007,4.191628973472565,-0.0430446937477439,0.0,471.5450687324311,0.0264575261948247,444.5998933779423,-0.0009262808871987,4564.019761007998,0.3276653150723205,-0.0342945015369993,-0.1247194295570272,-4850.897130833759,0.0123397140144736,3538.7428406591416,-146.68411714795477,-145.55835501815454,-0.007105089120449,0.3304096874756947,0.9576976583113548,-0.0002565416141497,0.0134423158896151,-0.0001272188013689,-0.0009451235484675,-504.9617436123148,0.0960022367797851,0.0060867249934828,-0.0081004363502627,0.0,0.0,-0.0008173656731703
0.0038355323616076,0.0,2.067137339544589,-981.7500456400412,0.1408486084889249,2.0062132132352617,-0.0207128457182103,0.0,3756.466778763765,0.0283554482226319,4.500103877848026,-0.0548612357450207,0.0,977.2845921732212,0.0277904748209049,926.5799183828224,-0.0010437176631292,4564.020960750855,0.4799672538202501,-0.034295729943624,-0.0231457844300917,-4850.897128657386,0.0177396907264471,3838.041175525937,-151.22221703406672,-151.3145147418413,-0.007333192591266,0.481653620176749,1.195505059788794,-0.0003309533858485,0.0183322728031301,-8.842408502727028e-05,-0.0010334249011437,-990.3652658214594,0.1399690898761664,0.0498719612318825,-0.0189994763964325,0.0,0.0,-0.0013145422606821
0.0035366229451417,0.0,1.7514722685299873,-1517.96591465467,0.0999010719864882,1.806047396375116,-0.025448448352202,0.0,3596.21858557729,0.0261191641764454,4.254340881643273,-0.0636851170819331,0.0,1464.730447757717,0.0270684594580937,1562.7601364028162,-0.0010305735124823,4564.022606980441,0.6301043745120944,-0.0342958373563444,-0.0935921536748753,-4850.897148176452,0.0279745858877376,3565.119701042397,-141.70224280468906,-138.69563308184584,-0.0055565817113814,0.633272958496508,1.4322365874065934,-0.0003940575521499,0.0297073660684594,8.196631854949698e-05,-0.0010986533041273,-1639.0104625180893,0.1843896792468857,0.0845439578494793,-0.0263918197419919,0.0,0.0,-0.001914791442123
0.0024992052626518,0.0,1.7275951965376766,-1933.8892171403825,0.0884878397225624,1.7509764082102512,-0.0309753154394188,0.0,3248.3365910247835,0.0261745117295319,3.891009714275809,-0.068474803772196,0.0,1864.7182044270205,0.0266383766884949,2259.277774026298,-0.0011000028362659,4564.024679715234,0.7641231142844247,-0.0342951457455123,-0.0760652421047694,-4850.897189685291,0.0347166679988433,3273.108487640869,-129.88442042933562,-130.98880031461755,-0.0045113287759754,0.7654171225925938,1.6676791987687969,-0.0004444476375229,0.0307728210672148,-1.743978757952142e-05,-0.0011073020945303,-2296.4110941448457,0.2254599598353298,0.0951080727726482,-0.0352296757402756,0.0,0.0,-0.0025813473389002
0.0017981494850683,0.0,1.754664144061775,-1994.7051766169127,0.0868502978245062,1.757366460203339,-0.0278473610050544,0.0,3223.5618843458133,0.0264022653593924,3.870721457287176,-0.0699061580086912,0.0,1940.4428945906143,0.0264305987677027,2674.9181165720465,-0.0010045787765636,4564.0271459392325,0.8849234983128597,-0.0342947409446553,-0.0653881069000291,-4850.897253017336,0.0338909014897127,3210.6421363425857,-123.90998812565886,-122.12518584543687,-0.0029757027789184,0.8871711817034916,1.9016210114170768,-0.0004807563894395,0.0303477406536787,0.0001428962539916,-0.0010748654550314,-2747.1078064425665,0.2639941535399646,0.0840222968858284,-0.0338664903105863,0.0,0.0,-0.0032759210648176
0.0009866711444431,0.0,1.6184294597550866,-1975.0656408731277,0.084136463564547,1.6475812019091274,-0.02807050064041,0.0,3125.6160473133623,0.0218696309594281,3.758938223052156,-0.0693932163693282,0.0,1914.601632563156,0.0225722140064541,2788.536554173181,-0.0010191433851203,4564.029998207016,1.0020859598237353,-0.0342937354111665,-0.0855743890914353,-4850.897337448369,0.0321823091365148,3118.7110739688183,-122.81589606006396,-121.88174408633182,-0.0016164801918138,1.002664844832802,2.133851493510649,-0.000503151980422,0.0291045289738632,5.4906024822797205e-05,-0.0010303639929921,-2836.8084984899515,0.3026694883502865,0.0991200485882708,-0.0318768184416453,0.0,0.0,-0.0039737251806753
0.0002748945095011,0.0,1.6013148893022775,-1915.4410256102265,0.0852774106748842,1.6041388562506498,-0.0265205590583269,0.0,2881.708329953937,0.0195031626313831,3.479811039519736,-0.0669030514620623,0.0,1860.6490684517107,0.0195444697384591,2788.1489930135654,-0.0009384185673607,4564.033225639782,1.1096302733868524,-0.0342929005777812,-0.0660150052401466,-4850.897442251608,0.0305577913984055,2884.90115116426,-114.71281036108216,-114.17590836814853,-0.0002365859163484,1.1103302956335366,2.364161653290717,-0.0005116353481414,0.0280149479867712,9.59301431614595e-05,-0.0009745775137657,-2836.697820788179,0.3390247601732515,0.0955784119826794,-0.0304403482767669,0.0,0.0,-0.0046555347635849
-0.0004090171005621,0.0,1.621217153112089,-1816.557402675155,0.087794040102766,1.6288626739820986,-0.024672577797752,0.0,2757.907117744327,0.017789427511207,3.330273194728926,-0.0628489347847178,0.0,1766.222567668867,0.0180368155388881,2704.770063888959,-0.0009015409507527,4564.036802931375,1.2077516434538649,-0.0342920920599048,-0.0654327168747867,-4850.897566027388,0.0283327053798143,2751.4500680404367,-111.76237398856786,-110.94882304313896,0.0009997616216884,1.207785375082104,2.592344227158947,-0.0005070983187812,0.0257515130504374,7.817091958012878e-05,-0.0009218002865719,-2750.3062107525016,0.3731899237121805,0.0880300298785267,-0.0281969634703246,0.0,0.0,-0.0053032806138664
-0.0010133206580469,0.0,1.650950637305216,-1686.691446933404,0.0898003780669368,1.6529632958618328,-0.0223158969435036,0.0,2608.879200732782,0.0158949103458952,3.154768952246166,-0.0577696310143943,0.0,1641.539954179497,0.016048130607559,2546.591384630745,-0.0008520959235173,4564.040713058044,1.299559505187332,-0.034291321991207,-0.0577452435779507,-4850.89770765201,0.0255452536354001,2606.9734050169327,-108.2991304838596,-107.65196989997786,0.002146519814008,1.299127221394591,2.8181938662007195,-0.0004907091695226,0.0232870670772377,7.198534878416816e-05,-0.0008659996498326,-2585.148733083688,0.4057937713860321,0.0829935231171326,-0.0253892909979857,0.0,0.0,-0.005904545049788
-0.0015567816448734,0.0,1.6998564301376236,-1538.240973347688,0.0919229988649069,1.6991326015659645,-0.0198669784121656,0.0,2491.09876978,0.0146415326819219,3.01343016006819,-0.0520292269286504,0.0,1497.9423297388369,0.0147533909218486,2328.786022085758,-0.0008183472706127,4564.044939207839,1.3846094472195758,-0.0342906516452494,-0.0516733248852648,-4850.897865799532,0.0225184157080826,2489.627488302551,-105.6543472199235,-105.14748891946046,0.0031523982232919,1.383866528596089,3.0415073209852914,-0.0004635862550864,0.0206321996630004,6.350547235506643e-05,-0.0008296402311035,-2364.2204427065394,0.4367095127051698,0.0714692041668573,-0.0223717712508353,0.0,0.0,-0.0064510421472197
-0.0020293656790377,0.0,1.7503150681566524,-1379.4715816995115,0.0936512910074874,1.7476325418134535,-0.0173846156740858,0.0,2378.5150141487647,0.0134913631789055,2.875396617265733,-0.0459752317797936,0.0,1345.518313460354,0.0135840797293078,2079.213191917018,-0.0007824270780433,4564.049466434703,1.4649743935564452,-0.034290056047157,-0.0436275534246089,-4850.898039343107,0.0194958700819139,2376.6824587001524,-103.55414646605432,-103.11154297473786,0.004029198184409,1.463924790627233,3.2620836244765616,-0.0004271414103558,0.0179813957081488,5.669923976959167e-05,-0.0007900552418903,-2108.8654686088403,0.4662340064398645,0.0611547830027355,-0.0193660996426701,0.0,0.0,-0.0069381959509429
