ax,FxRR,roll,FyRR,sideslipRL,longslipFL,longslipRL,signal,vy,FyFL,signal,rollrate,FxFR,FyFR,x,az,ay,longslipRR,steeringangel,pitchrate,sideslipRR,RR,brake,slip1,sideslipFR,slip,FyRL,vx,FxRL,FxFL,gas,FL,pitch,yaw,yawrate,y,longslipFR,RL,sideslipFL,FR
4.460032600221759,3661.5678408157423,-0.000468411641124,1192.3337206556453,0.0101866704789544,-0.0009711498942525,0.0194918841704128,0.0,-0.0042932511677112,855.9934309906519,0.0,0.0085124846254924,-119.7403239476547,-874.1363643338348,9976.07516276148,0.0621164974891046,-0.0223881919801626,0.0196011173615877,0.0011326308670015,-0.0507790821852544,-0.0101465557976928,3.1846033853504907,0.0,0.0,0.0122285897279409,0.0,-1205.3260820029536,0.971615073282913,3660.032825645617,-119.98491438232146,0.2234512840281295,3.00655130443087,-0.0143345633054202,-0.0129749640653712,0.0001186951839698,-138.64824189484403,-0.0009761521256244,3.1940107000166997,-0.0120075264892241,3.0092427439904674
4.353657516514283,3574.942452951063,-0.0003815060973227,1018.1842153505252,0.0084760724607101,-0.0009499889025534,0.0188793857184103,0.0,-0.0044617742838038,751.9840507365236,0.0,0.0088118443358988,-118.54924359612768,-762.2054956981546,9976.085120624846,0.0567817680522523,-0.0126080452144434,0.0189439681065333,0.0013771793554071,-0.0432837767519172,-0.0084904637321197,3.298249789251368,0.0,6.278790752643192,0.0103633225268883,-0.0043945545363941,-1025.3528905133498,1.0157332351302335,3573.989063863924,-118.6094241747676,0.2231202624800614,3.1277094094623323,-0.0148011153578717,-0.0129738375357291,0.0001086308492261,-138.64841505731806,-0.0009524397520724,3.309337069633414,-0.0102934819479716,3.1304961375253777
4.2528282562667785,3493.4810754323858,-0.0002925042333939,853.102677005804,0.0068982874215078,-0.0009315097023231,0.0183629337288714,0.0,-0.0045428556823044,648.9641066256983,0.0,0.0089473376256805,-117.59156837740557,-653.1581585854361,9976.095513698405,0.0516062767151426,-0.0047517799824462,0.0183892077341153,0.0015790729174468,-0.0358693152377233,-0.0069408813860713,3.41223729323673,0.0,6.278893304184131,0.0085952608427649,-0.0042920029954553,-854.6461234649705,1.058806336541115,3493.0209032491234,-117.50083852661908,0.2227177174958888,3.245734839694524,-0.0151930572145872,-0.0129727993215828,9.975295005386384e-05,-138.64859504497213,-0.000931736638148,3.424454986964915,-0.008625293336552,3.2485804150934823
4.157332597495373,3416.962652677581,-0.0002030674088921,698.9713607494172,0.0054515409197374,-0.0009155105664981,0.0179214674298243,0.0,-0.004551173638306,548.9253644801809,0.0,0.0089164608713772,-116.86741609347852,-547.7492463201912,9976.106331839386,0.0464427135205195,0.0020522916438185,0.0179161646368823,0.0017217171270412,-0.0286464383731032,-0.0055259007217307,3.525976197648244,0.0,6.279050142506815,0.0069222200697268,-0.0041351646727715,-695.8943399092708,1.1008884223944992,3416.814774902104,-116.63581815682522,0.2222450844880471,3.3610102933187638,-0.0155118260203999,-0.012971852641796,9.070703470519215e-05,-138.64878093397044,-0.0009139823284883,3.538822750097983,-0.0070528271167633,3.363855675442044
4.068280123836197,3345.928418532977,-0.0001147877308454,557.7721053542598,0.0041365556903071,-0.0009016415275572,0.0175802570259156,0.0,-0.0044918493474367,453.15426301659306,0.0,0.0087346190000974,-116.31496807918488,-446.7064898658668,9976.11756542802,0.0402683285474504,0.0089269594570268,0.0175439351565333,0.0017969765228616,-0.0217054016600165,-0.0042528283864095,3.639414223249564,0.0,6.279251349867212,0.0053679167383822,-0.0039339573123745,-550.0773897382118,1.1420298449557016,3346.0775847824466,-115.95746954139084,0.2217075305629705,3.473854122492227,-0.0157598446343907,-0.0129709891519965,8.288834708263776e-05,-138.64897190877986,-0.0008987968734469,3.652536848008344,-0.0055824897451604,3.476655675314077
3.9878284244293023,3282.511273654239,-2.9055779862590093e-05,430.0565855245198,0.0029604827227177,-0.0008896047297904,0.0172727287928433,0.0,-0.0043675919576767,362.4762155693933,0.0,0.0084227678328053,-116.01332803473892,-351.32480782591483,9976.129205573015,0.034734740293779,0.0151619879060766,0.0172084106983141,0.0017979223408582,-0.0151360882767231,-0.0031148990559214,3.751850754816122,0.0,6.279490784117235,0.0039492656072061,-0.0036945230623514,-417.95953987158686,1.1823296737829727,3282.9287097771635,-115.53310914261957,0.2210184482486619,3.584737088093338,-0.0159404359526413,-0.012970203101657,7.499614248505872e-05,-138.64916718971438,-0.0008859331096294,3.764956000922881,-0.004221957445691,3.587452309169969
3.910247140610923,3221.5878464010666,5.290458235111194e-05,315.9607483178651,0.0019184893770471,-0.0008794747764325,0.0170077744779784,0.0,-0.0041857741375721,277.40227123505565,0.0,0.0079936776818064,-115.80693427049664,-262.3140725845345,9976.141244170343,0.0281520812236008,0.0204704993503248,0.0169163673166742,0.0017220698891184,-0.0089885527320046,-0.0021083406018639,3.8632673256451,0.0,6.279759241195213,0.0026650288577682,-0.0034260659843727,-300.00850108922,1.2218318679835911,3222.2555466841304,-115.21518970930232,0.2202360308067745,3.6938951934473816,-0.0160576219057578,-0.0129695012815412,6.602061139672319e-05,-138.6493660607968,-0.0008750638925019,3.876138021307391,-0.0029786503509241,3.6964859329852646
3.835597110760967,3163.0546121444854,0.0001296646470116,216.2085294794028,0.001036835409015,-0.0008707831901046,0.0167832861448845,0.0,-0.0039514381799831,198.99246156763604,0.0,0.0073842991679031,-115.70615716468592,-179.70933634061183,9976.153673431923,0.013681767047364,0.0253551943133647,0.0166486096002275,0.0015690961973209,-0.0033300357967048,-0.0012584490667573,3.973420136706912,0.0,6.280050580724536,0.0014933476124916,-0.0031347264550504,-196.97153467293575,1.2605673395438737,3164.436875967423,-115.03495888802507,0.2194036532060618,3.801556893815953,-0.0161159555777979,-0.0129688966932703,5.623621749014568e-05,-138.6495678817627,-0.0008657392483658,3.985282365607961,-0.0018785934861481,3.803968146468037
3.76312420797068,3106.9660523559555,0.0001995545821702,132.90358993118352,0.000294239771094,-0.000863244986414,0.0165860796053775,0.0,-0.0036601487111649,127.82893212357952,0.0,0.006665227816469,-115.67742121003316,-103.608435515298,9976.166485867723,-0.005073332253618,0.0326674138093621,0.0164173689586987,0.0013363821784067,0.0017860294505701,-0.0005869989364973,4.0818584502020245,0.0,6.280366752213623,0.0004637874948074,-0.0028185549659633,-109.37004829809229,1.2985622229515057,3108.2312676630413,-114.9197532559989,0.2185439477044857,3.907896658286448,-0.0161206449466942,-0.0129683646869451,5.109092586135966e-05,-138.64977201150384,-0.0008573329705859,4.092578103211189,-0.0008896015764371,3.9101182637261584
3.692040055150125,3052.2267374699463,0.0002621891406512,65.03667653924909,-0.0003132676058164,-0.000856107298033,0.0163998064128352,0.0,-0.0033133788640924,62.23357621744568,0.0,0.0059297609343576,-115.60378055276156,-35.97991369514995,9976.179674229888,-0.0218937296599234,0.0371600838341701,0.016215137224543,0.001025582839194,0.0063424325466596,-2.5701883313889623e-05,4.1883666640615465,0.0,6.280705133155836,-0.0004086663984901,-0.0024801740237499,-36.47684383344395,1.33583808116195,3053.4142509101503,-114.82641521384674,0.2176716867741844,4.013046374646601,-0.0160772715065542,-0.0129679145222554,3.755250967488834e-05,-138.6499777799663,-0.0008494443545888,4.198626708628738,1.3487984135805846e-05,4.01504324086533
