ax,sideslipRR,rollrate,steeringangel,yaw,FR,pitchrate,RL,FyRL,slip,az,FxRL,sideslipRL,FyRR,vy,vx,sideslipFL,FL,FxFL,slip1,RR,signal,yawrate,gas,y,x,signal,roll,longslipFR,FyFR,pitch,sideslipFR,longslipRR,FxRR,FxFR,FyFL,brake,longslipFL,ay,longslipRL
-0.3431306652622907,0.0,-0.0001080008855989,0.0,-0.0130201565377619,1e-05,-2.3775753347015152e-08,1e-05,0.0,0.0,1.4877731725295706,0.0466828441670547,0.0,0.0,0.0,0.0,0.0,1e-05,0.0466599392730695,0.0,1e-05,0.0,-3.1788466794521145e-07,25.034722222222225,-138.6472273329127,9975.981220894291,0.0,-1.2512815238071413e-07,2.808349639999672e-07,0.0,-3.921815721326774e-05,0.0,2.808349639999672e-07,0.0466828417996951,0.0466599402084195,0.0,0.0,2.808349639999672e-07,-0.1072571782351647,2.808349639999672e-07
1.849650456251019,-0.0007722125224862,-0.0049169062123139,8.315864276690332e-12,-0.013020216233568,0.0135077245638275,-0.0071726978455913,1.0843085102226775,5.691582182708809,0.0,-0.0662155617865713,1538.6319078758793,-0.0002269429029785,17.23445923968894,0.0002429550209704,0.0084803266415314,-0.0008659353392535,0.0139595587173891,-47.794902615775214,0.0,1.0821492871471718,0.0,-2.501495390054726e-06,9.656160060638385,-138.6472266153935,9975.981249645403,0.0,-2.829531021062481e-05,-0.0005803651754477,6.898529018625194,-7.268270544982817e-05,-0.0002758147553805,0.0126572462534902,1547.7810389653669,-45.75854227491614,19.28667828772842,0.0,-0.0006030460266187,0.0512574088933185,0.0125048836359712
2.506872249945797,-0.0035728716879911,-0.0084076170302595,-7.556367305484527e-08,-0.0130198178159173,0.0875826872970673,-0.0177176579778921,1.6597031338777015,22.92514364574704,0.0,-0.0529532388447757,2160.194654011575,-0.0003460449907474,130.0402713417425,0.0013421037123822,0.0299484315939139,-0.0038202863058845,0.0903487500213525,-142.67254486668344,0.0,1.6178782395776128,0.0,8.652055991586223e-05,3.9759577932409984,-138.6472219980998,9975.981447413158,0.0,-9.870033572941896e-05,-0.0008115126378487,22.340638009453773,-0.0002007637183987,-0.00018987288258,0.0155116228959405,2188.9042315080733,-143.0097267377067,141.68886754824734,0.0,-0.0007883273215758,0.2262384761736892,0.0151775111913369
3.3655742192379297,-0.0060462945127431,-0.0094237943665125,-4.0598920562991953e-07,-0.0130186647044879,0.190230272153429,-0.0303478707367062,2.3213083152545844,-66.09191975655382,0.0,-0.0621409049365074,2852.73437131276,0.003284417866587,316.05942907372986,0.0040595531143336,0.0585818406946271,-0.0061654380239162,0.1919924822090661,-135.04524636774855,0.0,2.227991660958341,0.0,9.938814077122172e-05,1.872920430456396,-138.64720040534385,9975.981897713153,0.0,-0.0001896500543841,-0.0009771129991156,-105.17067768146,-0.0004456339607162,0.004539873623637,0.0215050281980636,2866.258429106189,-133.71604421716137,325.5984335580948,0.0,-0.0009892976355168,0.3036920225900856,0.0212438014128299
4.45499846982819,-0.0102461530673105,-0.0111916416445016,-1.0865396895121087e-07,-0.0130189206524596,0.3312386492155473,-0.0450726336811087,2.913807040424216,-444.1583899627471,0.0,-0.0571598961065557,3755.62831677272,0.0113929369828039,531.915952595467,0.0061987694703599,0.0969583087880346,-0.0116396474733788,0.3347454136622581,-151.66794242135873,0.0,2.8116610850352077,0.0,-0.0001333862050289,1.0811081843653394,-138.64715657928463,9975.982686137351,0.0,-0.0002914964377145,-0.0009944288692431,-515.9087844380061,-0.0008284836781348,0.0126884809694882,0.0315159868992353,3757.215973166128,-150.21951631865193,564.7974043562868,0.0,-0.0009905613417022,0.0762113832027341,0.031472221025398
5.172905017784794,-0.0216675352640216,-0.0132419377207343,-4.498498554767486e-07,-0.0130205045835012,0.4999995967396631,-0.0608587377430285,3.432328729217576,-989.2098942175426,0.0,0.0057525193144192,4384.695268678362,0.0206900244846931,1031.5077939177793,0.0069475747758866,0.1452840523078271,-0.0236156244750753,0.5035174434820876,-163.89541863369834,0.0,3.3710648964936976,0.0,-0.0001352281619465,0.7706449451039826,-138.64710642340268,9975.98391592235,0.0,-0.0004172035436195,-0.0011807713530611,-1035.955148574824,-0.00136621442407,0.0218595075174239,0.0462689651730544,4327.820747724523,-163.24267925871715,1129.05112336385,0.0,-0.0011939739748901,0.1014442950819866,0.0459637192545705
5.291945512164431,-0.0343661907482036,-0.0134271482571037,-6.239930309191982e-06,-0.0130212110471858,0.6798378845419424,-0.074916345364254,4.001647057318918,-1663.4206664124763,0.0,0.0363468780708057,4468.495651037223,0.0348941129150806,1634.2957433591553,0.007497875712481,0.1981578019144677,-0.0335775305807928,0.6856337991653843,-158.43871930302635,0.0,4.064169750399572,0.0,-2.72437864116033e-05,0.6460541365733713,-138.64705577086957,9975.985659084334,0.0,-0.0005505530351746,-0.0014203362838722,-1749.0835056595424,-0.0020546062727029,0.0362384392779644,0.0677165112941961,4414.334701133962,-154.9428572280422,1756.5189062511483,0.0,-0.0013414566386721,-0.0106179596161069,0.0653720889549457
5.1839839799396215,-0.0445986228708425,-0.0135932427754875,-1.9114541782226247e-05,-0.0130212625594785,0.8594710731527173,-0.0855006792900276,4.722352042342442,-2123.0869175216303,0.0,-0.0089118489603991,4373.469806486242,0.0435161674754108,2045.7546958215853,0.0071547733115152,0.2505712380157929,-0.0339429453951282,0.863358525866778,-155.39160141044374,0.0,4.932637593804587,0.0,4.3529800041071656e-05,0.5984570000665914,-138.647012030281,9975.987931031965,0.0,-0.0006862746392432,-0.0014054598035936,-2122.680691346239,-0.0028647267538591,0.0339963202489472,0.0974944652132171,4286.424873357805,-155.62078904290902,2133.2884078644684,0.0,-0.0013831809265196,-0.050625096040242,0.0913230201602607
5.432918643576711,-0.0457061990489429,-0.0132069308313286,-4.445564916844651e-05,-0.0130192331679132,1.032174875686117,-0.0937556467093716,5.341019252450312,-2031.572834555798,0.0,-0.0889589165221386,4557.900768167106,0.0418450934725474,1948.5271625726973,0.0067447535751156,0.3035268922577334,-0.0331853988551026,1.0363655151313071,-151.2258658112739,0.0,5.741664215907885,0.0,0.0003238626521078,0.5776122306625676,-138.6469791282696,9975.990726791017,0.0,-0.0008203185208886,-0.0015118243008549,-2173.262055920602,-0.0037664093669791,0.0349864739232992,0.1312675986643341,4460.611479515619,-148.22578317224722,2181.6814648966238,0.0,-0.0014303093551263,-0.0432926085355221,0.1187155309045947
5.643561576472816,-0.0479076333934554,-0.0127183690321908,-8.222573639918258e-05,-0.01301497125109,1.2115713317634569,-0.1007453715007146,5.7329856083958735,-1777.413393689086,0.0,-0.1511409886569194,4729.16315614474,0.0421289591395128,1684.7042747404105,0.0061414588958443,0.3589459821944658,-0.0338206126848091,1.2148756986399094,-153.31921402907312,0.0,6.350302971229651,0.0,0.000498566888396,0.5631734491170869,-138.64695830902946,9975.99406590797,0.0,-0.0009497904311123,-0.0015527508655445,-2188.724033373936,-0.0047433573882035,0.0356807877678384,0.1643510349201412,4622.360378720573,-151.7649592112849,2175.528981441641,0.0,-0.0014716421064048,-0.0644661186917668,0.1431701023472967
5.771420724076335,-0.0483691072841038,-0.0118399333796421,-0.0001265190401564,-0.0130093365636752,1.394534900442287,-0.1065697258435855,6.005315706348063,-1514.848714442866,0.0,-0.1883102642521681,4831.116326290088,0.0415989470603812,1424.556505508737,0.0054589480813039,0.4160708749236982,-0.0336711789103884,1.3973133533734243,-153.90244061265432,0.0,6.856312976124348,0.0,0.0006132990529261,0.5522534892102553,-138.64695150547016,9975.997969314943,0.0,-0.0010725819824889,-0.0015964722783463,-2169.124646136881,-0.0057838118130797,0.0354492087717087,0.1981974747499898,4718.307463955415,-151.95784780380848,2155.0441134509715,0.0,-0.0015059523579019,-0.0680794785751789,0.1661533494786233
5.863099530546948,-0.0466432156177101,-0.0105649016288498,-0.000173472489968,-0.013002545199588,1.581636425328381,-0.1112014357697365,6.22068798222071,-1279.9565133154597,0.0,-0.2076351752096672,4905.590792431168,0.039607576394572,1184.9825334413677,0.0047306252239709,0.4742738855996967,-0.0325887794518219,1.58336957339613,-155.33505668550458,0.0,7.31626061930572,0.0,0.0007300423222144,0.5436482455743865,-138.64695924350357,9976.002450281609,0.0,-0.0011842322877573,-0.0016164340142416,-2118.87169000247,-0.0068759745443599,0.0346036907662563,0.2341144924412798,4787.272232649276,-153.46056408238076,2100.490316344469,0.0,-0.0015194651894673,-0.0726713093620571,0.1886600277817677
5.952484597163635,-0.0435015745335351,-0.008999819310346,-0.0002160265400549,-0.0129948335328509,1.771513412179636,-0.1146557380393409,6.38736358945012,-1070.225024058337,0.0,-0.2126199941845418,4976.389077910189,0.0368837585463429,975.8431567057512,0.0039473044802734,0.5333603167505823,-0.0310864737782331,1.7721739166063737,-153.83764779029798,0.0,7.741727224767216,0.0,0.0007955781810588,0.5361928187740638,-138.6469822284791,9976.00751828581,0.0,-0.0012814795873405,-0.0015760082633983,-2040.8720220458,-0.0080079343953103,0.0332922999293281,0.2729344481584127,4850.67791668303,-151.7516478675357,2015.2038601116144,0.0,-0.0014773782557603,-0.079249768060499,0.2108500763213071
6.043459729941799,-0.0399638441269037,-0.007264833624907,-0.0002420470554738,-0.0129866879909472,1.961124311982333,-0.1169824782920447,6.501465820883524,-900.0809874418687,0.0,-0.2033815838032951,5050.559215366093,0.0339632725540099,796.1171032310176,0.0030878767918191,0.5933375962842418,-0.0295022995044975,1.960985284586872,-153.55163258438654,0.0,8.131174625309985,0.0,0.0008295284693901,0.5291083783177525,-138.64702117260032,9976.013182222006,0.0,-0.0013620172501294,-0.0015547506316318,-1944.6279412871295,-0.0091682031918921,0.0317566837211944,0.313422614192995,4916.595538389591,-151.4304958071781,1912.7818905542797,0.0,-0.0014515731636345,-0.0913591766698907,0.2313772378777202
6.138947226382825,-0.0366953738674415,-0.0054485345711665,-0.0002420430408323,-0.0129781643579919,2.151221165279797,-0.1182176776281106,6.56040839950513,-765.5600339642918,0.0,-0.1826046415590738,5128.550212129926,0.031004147672937,650.554274756032,0.002128178807998,0.6542435258906631,-0.0279369802710654,2.150163637674227,-153.13194539832028,0.0,8.483702999832088,0.0,0.0008743167602581,0.5220526137597593,-138.64707713830046,9976.019451209151,0.0,-0.0014247384409512,-0.0015348341547424,-1839.415459439156,-0.0103457098565301,0.0301232351956391,0.3543883136025638,4985.866475006783,-150.92358428498926,1805.503436018897,0.0,-0.0014346051690472,-0.100140833036785,0.2484700185086215
6.23664453661275,-0.0337867724339571,-0.003564190624683,-0.0002052126986302,-0.0129690763993456,2.3421178245552965,-0.1183875756863058,6.5648958943982,-660.1391653892429,0.0,-0.1515042143064559,5207.83652006959,0.0281773670330494,536.7884802242003,0.001097025571946,0.716111751239838,-0.0263670865606895,2.3400398136426777,-152.70536699769065,0.0,8.799270498648587,0.0,0.0009394120186273,0.5149046380709393,-138.64715108689282,9976.026334756712,0.0,-0.0014689027529916,-0.0015121278347357,-1731.69229432544,-0.0115296974886627,0.0284779729502838,0.3951767132578017,5057.766496176851,-150.54937821081748,1697.0124083411347,0.0,-0.0014175123472375,-0.1060123597034462,0.2611892801820544
6.3350181718973815,-0.0311839920570772,-0.0016453796028093,-0.0001178514961622,-0.0129592522867415,2.533831496669572,-0.117504110948587,6.513556611712775,-578.38843220712,0.0,-0.1154993167673684,5285.745062702131,0.0254988767265105,448.9044493303461,1.423262703705453e-05,0.7789578166335682,-0.0248214408572332,2.53066109790472,-152.41418133292277,0.0,9.071582188858414,0.0,0.0010204371211437,0.5076493975660463,-138.64724372390887,9976.033842594336,0.0,-0.0014940111890819,-0.0014913832502881,-1624.4501315104328,-0.0127095592302698,0.0268005708794747,0.4347845852498185,5131.523222777338,-150.3493575352362,1589.8649346067273,0.0,-0.0014037478279425,-0.1101708952773601,0.2685181046378925
6.431340601007721,-0.0288222024485749,0.0002847721565735,3.4181702818187576e-05,-0.0129485018631027,2.72645875064109,-0.1156284495460402,6.42151310908067,-514.6964404441185,0.0,-0.0738600864334919,5361.147656851482,0.0229302598243651,380.5595337735316,-0.0010995729649971,0.8427732437440112,-0.023291916637471,2.722120353133281,-152.21593753324294,0.0,9.30943598865747,0.0,0.001122817996306,0.5003223826938623,-138.64735554955658,9976.041984454208,0.0,-0.0014998435231717,-0.0014739932709961,-1518.6589298991953,-0.0138750778599325,0.0251266621462741,0.4731549654376612,5205.014504564617,-150.2639441673668,1485.0406796651932,0.0,-0.0013930650506977,-0.1125396260633792,0.2705581474438465
