roll,vy,brake,pitch,gas,signal,FyRR,FxFR,rollrate,FL,sideslipFL,vx,RR,FxRL,sideslipRR,RL,longslipFR,steeringangel,signal,longslipFL,FyFL,FxFL,FyRL,FyFR,slip,yaw,slip1,FR,ay,az,sideslipFR,sideslipRL,FxRR,longslipRR,y,x,longslipRL,pitchrate,yawrate,ax
-1.2512815238127624e-07,0.0,0.0,-3.9218157213248485e-05,32.1875,0.0,0.0,0.0466599402084196,-0.0001080008855989,1e-05,0.0,0.0,1e-05,0.0466828441670549,0.0,1e-05,2.808349639999672e-07,0.0,0.0,2.808349639999672e-07,0.0,0.0466599392730696,0.0,0.0,0.0,-0.0342957201195726,0.0,1e-05,-0.1072571782351639,1.4877731725295662,0.0,0.0,0.0466828417996954,2.808349639999672e-07,-4850.897164652041,4564.018298359632,2.808349639999672e-07,-2.3775753347224906e-08,-3.1788466794528535e-07,-0.3431306652622903
-2.8295318894235186e-05,0.0002429550595765,0.0,-7.268271119580988e-05,12.419211743377245,0.0,17.234463926003237,-45.75853934436751,-0.0049169070171574,0.013959558540463,-0.0008659359744629,0.0084803266374004,1.0821492862600806,1538.6319089146716,-0.0007722126776018,1.0843085104833043,-0.0005803651418275,0.0,0.0999583385413566,-0.0006030459982721,19.28668992787782,-47.79490148057706,5.691584911514616,6.898517053658372,0.0,-0.0342957798154886,0.0,0.0135077235372194,0.0512574097733815,-0.0662153214831475,-0.0002758141952947,-0.0002269429815789,1547.781042113167,0.0126572463008556,-4850.897164546333,4564.0183271195,0.0125048836592421,-0.0071726992989191,-2.501513631808599e-06,1.8496504524269235
-9.870035038110624e-05,0.0013421038778943,0.0,-0.0002007637381622,5.12411948836373,0.0,130.04028188356273,-143.0097308411693,-0.0084076174639042,0.0903487521819541,-0.0038202869473151,0.029948431608553,1.6178782327934649,2160.194660847929,-0.0035728718253729,1.6597031312282764,-0.0008115126330158,0.0,0.1996668332936563,-0.0007883273147062,141.68891405228186,-142.67254785076796,22.925147714078676,22.3406198275947,0.0,-0.0342953813980694,0.0,0.0875826896486228,0.226238497566293,-0.0529532694205198,-0.000189873102941,-0.0003460450087117,2188.904238464928,0.0155116229479329,-4850.8971641373855,4564.018524940726,0.0151775112400291,-0.0177176592202564,8.652054617366271e-05,2.5068722554189065
-0.0001896500698494,0.0040595536858499,0.0,-0.0004456339924699,2.4269972973580844,0.0,316.0594297066287,-133.7160448131883,-0.0094237940251302,0.1919924840802111,-0.0061654399758784,0.0585818407665621,2.22799165023222,2852.7343781518143,-0.0060462942861637,2.3213083074582053,-0.0009771130165446,0.0,0.2988762649471984,-0.0009892976383768,325.59850928723023,-135.0452454907042,-66.09192863373893,-105.17060895902068,0.0,-0.0342942282855102,0.0,0.1902302754082313,0.3036920741805654,-0.0621409015719837,0.0045398710449359,0.0032844182443548,2866.258436408024,0.021505028245282,-4850.897152129177,4564.018975598172,0.0212438014522375,-0.0303478719267782,9.938846600590508e-05,3.365574223914715
-0.0002914964417351,0.0061987708933125,0.0,-0.000828483721826,1.4166334559534974,0.0,531.9159332351235,-150.21951475229534,-0.0111916400883152,0.3347454140030965,-0.011639642195456,0.0969583089040398,2.81166106631985,3755.628312343691,-0.0102461527971049,2.9138070389199364,-0.0009944288494215,0.0,0.3973386615901224,-0.000990561343961,564.7974085227373,-151.66794221286358,-444.1584232271037,-515.9087609877957,0.0,-0.0342944842242507,0.0,0.3312386550137135,0.0762114284338026,-0.0571598930855985,0.0126884860808265,0.0113929374904914,3757.2159839564847,0.0315159869383478,-4850.8971250859295,4564.019764776292,0.0314722210419008,-0.0450726348741584,-0.0001333848364594,4.45499847458934
-0.0004190908637137,0.0069977213080826,0.0,-0.001366499290462,1.0257677923099044,0.0,1039.486036217684,-163.4980920660197,-0.0138022911314341,0.503495608713931,-0.0242042113844486,0.1452857373913867,3.405921460542518,4393.39900034095,-0.0221796552554078,3.46327104875588,-0.0011798270208603,0.0,0.4948079185090459,-0.0012015930279786,1139.003829387609,-163.84016655637785,-980.840723581199,-1027.3916377865942,0.0,-0.0342960881859726,0.0,0.5000697709348905,0.1266553319044624,-0.0131890766471641,0.0213687864665752,0.0202644246861872,4324.111866946578,0.0467536471596229,-4850.89710098988,4564.020995356358,0.0463311179332331,-0.0609672993093753,-0.0001434581480277,5.178920820751954
-0.0005626686220094,0.0080747461064401,0.0,-0.002059322287958,0.8715336807032795,0.0,1633.2760146046196,-155.01283425268127,-0.0147114013564416,0.6862645678654162,-0.0342741513157042,0.1981923300933296,4.361360975802891,4480.373738819036,-0.0349320448826907,4.239703841290336,-0.0014187834170761,0.0,0.5910404133226791,-0.001374090344639,1796.016199921621,-159.5545489142462,-1627.8516140853862,-1732.986727565296,0.0,-0.0342970412023023,0.0,0.6808926414421961,0.0403432367034828,0.0237105598035571,0.0365159386611807,0.0352028139784957,4399.510599841011,0.0731175816194859,-4850.897084409306,4564.022739539725,0.06942979589879,-0.0757092730628749,-5.5074726233161886e-05,5.287715881904382
-0.0007152983015186,0.0080762336733913,0.0,-0.0028829001716213,0.8130800294340524,0.0,1947.7034728201231,-157.1933805426281,-0.015670631941119,0.8661129587720946,-0.0347688227689981,0.2506250387867474,5.611598340884672,4393.019122207425,-0.0465535476955467,5.317142219350621,-0.0014488879001501,0.0,0.6857956149109028,-0.0014043070479337,2166.7433614975694,-155.69562685519364,-2018.1297065723995,-2136.295788039557,0.0,-0.0342970385948628,0.0,0.8611888310699705,-0.0283907608616401,-0.0399574565653571,0.0345101354579684,0.0443363390194442,4313.794447402129,0.1128081241294047,-4850.897080990302,4564.025012496504,0.1041136076627735,-0.0873464835077765,7.930977101116935e-05,5.209747313531379
-0.0008740719935147,0.0079312737985921,0.0,-0.0038100524214982,0.7874134566560411,0.0,1765.3535915005668,-149.65701873575597,-0.0159411673971778,1.041830019729264,-0.0343126194091963,0.3040756357721812,6.793147266410013,4620.142046992765,-0.0489530732031735,6.297362790892397,-0.0015460048206455,0.0,0.778836684617301,-0.0014887829224396,2232.198594590965,-153.6562200923184,-1828.6162726942664,-2191.4081840209487,0.0,-0.034294349889725,0.0,1.0380067862230886,-0.0037013542304934,-0.1293456807327324,0.035689431786906,0.0432029360904337,4508.158230606549,0.1595800860759663,-4850.897097127116,4564.02781162621,0.1433103025940716,-0.0968933204452175,0.0004088469008931,5.495178008109157
-0.0010328946824854,0.0076877967400043,0.0,-0.004825538423103,0.771007171976636,0.0,1456.0654627701624,-153.0524989624372,-0.0158031384891941,1.2249554230081303,-0.0348914098187404,0.3600786900695958,7.768082445812269,4781.406870494231,-0.0508751036017381,7.025074777175058,-0.0016157359749415,0.0,0.8699310682224604,-0.0015185424221381,2227.569412155163,-154.9397668010104,-1517.8660992513842,-2225.243384420512,0.0,-0.0342895167801781,0.0,1.2205205513580626,-0.0337082710488566,-0.1971691116789925,0.03698619898429,0.0448890639264161,4662.7906103665255,0.2086384934675292,-4850.897133799803,4564.031159719567,0.1820023514149491,-0.105169503667442,0.0005135574633103,5.695592941373424
