slip,RL,yaw,FxFR,x,sideslipRL,pitchrate,pitch,sideslipFL,az,FyFR,signal,roll,signal,RR,FxFL,longslipRL,sideslipRR,steeringangel,longslipFL,FyRR,FxRL,vy,FR,longslipRR,yawrate,y,gas,slip1,rollrate,FxRR,longslipFR,brake,ay,FL,sideslipFR,vx,FyRL,FyFL,ax
0.0,1e-05,-0.0130201565377619,0.0466599402084195,9975.981220894291,0.0,-2.3775753347015152e-08,-3.921815721326774e-05,0.0,1.4877731725295706,0.0,0.0,-1.2512815238071413e-07,0.0,1e-05,0.0466599392730695,2.808349639999672e-07,0.0,0.0,2.808349639999672e-07,0.0,0.0466828441670547,0.0,1e-05,2.808349639999672e-07,-3.1788466794521145e-07,-138.6472273329127,3.576388888888889,0.0,-0.0001080008855989,0.0466828417996951,2.808349639999672e-07,0.0,-0.1072571782351647,1e-05,0.0,0.0,0.0,0.0,-0.3431306652622907
0.0,1.0843085102226775,-0.013020216233568,-45.75854227491614,9975.981249645403,-0.0002269429029785,-0.0071726978455913,-7.268270544982817e-05,-0.0008659353392535,-0.0662155617865713,6.898529018625194,0.0,-2.829531021062481e-05,0.0,1.0821492871471718,-47.794902615775214,0.0125048836359712,-0.0007722125224862,8.315864276690332e-12,-0.0006030460266187,17.23445923968894,1538.6319078758793,0.0002429550209704,0.0135077245638275,0.0126572462534902,-2.501495390054726e-06,-138.6472266153935,1.367005013305512,0.0,-0.0049169062123139,1547.7810389653669,-0.0005803651754477,0.0,0.0512574088933185,0.0139595587173891,-0.0002758147553805,0.0084803266415314,5.691582182708809,19.28667828772842,1.849650456251019
0.0,1.631064771600836,-0.0130198138499095,-143.0304788790341,9975.981447412136,-0.0001768232173866,-0.0176198905487973,-0.0002005502350542,-0.0035866420571332,-0.0239392050554784,19.20209270650524,0.0,-9.6225544658128e-05,0.0,1.5896458399428448,-142.4480560671779,0.015125871054012,-0.0033493032188864,-7.631480346439737e-08,-0.0007838605982578,126.70200518499163,2158.1509799520145,0.0013086919046073,0.0875958755010758,0.0154120108214426,8.742369594008794e-05,-138.64722206957055,0.5314724806580229,0.0,-0.007477893978636,2184.9768252152007,-0.0008113798955957,0.0,0.230352217616975,0.09030217846561,1.932089811824652e-05,0.0299478053421744,20.38933328226924,138.20514991057286,2.498051448484095
0.0,1.9068674368057243,-0.013018776337903,-130.91727513239252,9975.98189645282,0.0046039519990223,-0.0289384424655548,-0.0004388505306846,-0.0042046544215393,0.0026165381918178,-153.6679930635558,0.0,-0.0001598771546323,0.0,1.8302751676881448,-131.95154460218518,0.0192457047379627,-0.0041343984333374,-3.629008549461025e-07,-0.0009501188726224,253.73058512052057,2729.578905636107,0.0033705129501551,0.1887598219899278,0.0191700831997513,7.072967572415143e-05,-138.647203347868,0.2113235995809723,0.0,-0.0051817537015279,2728.9671435627847,-0.0009428756111467,0.0,0.1431204123799002,0.1896048624113658,0.0058463682623108,0.0581758215008841,-112.42608860422024,261.13961452964713,3.20049922304395
0.0,1.6978952850319282,-0.0130192741634008,-137.0922234335695,9975.982664153673,0.0108496522124768,-0.0398189878312853,-0.0007889469320211,-0.0087811380821455,0.0286691141572148,-542.7965449695088,0.0,-0.0002050869386433,0.0,1.6379329538758247,-137.6399780246697,0.0210710778732101,-0.0074671012313142,1.0404166057582317e-07,-0.0008423231846333,384.4538797801722,3119.7764137980853,0.0033551351672987,0.3157574701235305,0.020689194180758,-0.000129505649135,-138.6471770485938,0.0812839537432411,0.0,-0.0044862249804964,3107.899839064445,-0.0008565092681738,0.0,-0.1694566387281866,0.3176489105501717,0.0114646233271795,0.0926679074929844,-499.2182496694396,413.29222069520216,3.670268781100524
0.0,1.2859260476588874,-0.0130202250437408,-136.00896028443262,9975.983794548632,0.0146830286890368,-0.0488249084834667,-0.001238920197663,-0.016947425226305,0.065926313313326,-847.4829411553137,0.0,-0.0002500497443242,0.0,1.2902193764623069,-136.30466777600523,0.018632274993857,-0.0157938181581241,-1.90923994530389e-07,-0.0008883870685639,817.8991897751156,3055.512064180106,0.0021290804314566,0.4436724216039545,0.0186992874020288,-3.184823417362068e-05,-138.6471659405219,0.0274612492874486,0.0,-0.0040766263267343,3007.720099219025,-0.0008824215117433,0.0,-0.0211185376125994,0.444568618785373,0.0153376855810107,0.1295611784311373,-871.1490354142529,851.2521052635158,3.571009977832704
0.0,1.0763370565238195,-0.0130197328829716,-121.66961984839216,9975.985280873236,0.0216167083132671,-0.0545006227141579,-0.0017614799764257,-0.0196304473323791,0.0796440058295193,-1272.4702636144586,0.0,-0.0002799858751041,0.0,1.1005490413692507,-122.61228940919486,0.0157861896268659,-0.0203354958457631,-3.1480091859116395e-06,-0.000825315994553,1295.0443201087369,2625.02558567774,0.0017173684850731,0.5587399594019689,0.0161125863131401,9.392946880790736e-05,-138.647165769447,0.0108661512594494,0.0,-0.0022826934276947,2663.3892923426483,-0.0008652337808397,0.0,-0.0991267192427713,0.5601196800722282,0.023201768039179,0.1635247334486878,-1360.6370417725034,1188.3287632765357,3.119168228639181
0.0,1.0767311734344127,-0.0130193992971998,-111.66437582910858,9975.987082423751,0.0255112091575014,-0.0565275803016609,-0.0023204512795114,-0.0257258345019159,0.0728221841676114,-1569.1100865377252,0.0,-0.0002976541783922,0.0,1.0777768723352634,-112.18456184419756,0.0148965552995518,-0.0254746652144577,-5.536412993449021e-06,-0.0008378045252684,1773.625752784272,2354.5476392103874,0.000715875728758,0.6542853031051522,0.0148884083344345,-2.9390565318401955e-05,-138.64717785115047,0.0105642621580377,0.0,-0.0012380155693726,2336.0092070914384,-0.0008236213104623,0.0,-0.0699444064274756,0.6542835708454217,0.0250002135873307,0.1932234844378105,-1815.0144930525069,1519.3642431271617,2.7794669444280222
0.0,1.1124986797650571,-0.0130191106283665,-104.27367204443895,9975.989164227873,0.0289455828394059,-0.0554398195475211,-0.0028820964707223,-0.0267387486295898,0.0726473307908266,-1798.8985154035518,0.0,-0.000301972997857,0.0,1.1078095215860662,-104.8454662016475,0.0138831228432102,-0.0286529598393514,-6.7868289985927294e-06,-0.0008060604779716,2160.550737995212,2122.826223160195,0.0001106520450865,0.7337154042151979,0.0137023656683836,8.386615512016263e-05,-138.6472009820718,0.0140699304756999,0.0,0.0001297361167526,2124.329803819394,-0.0008509172136431,0.0,-0.0658889181349482,0.734750386685051,0.0289432324804442,0.2200396358320396,-2220.1266260328,1740.8215633756429,2.5296802727485823
0.0,1.1453460252832022,-0.0130186984224201,-99.18449671211911,9975.991501175697,0.0299654805036755,-0.0519285950589873,-0.0034188018882505,-0.025067907720334,0.0813811180001819,-1816.2794609551013,0.0,-0.0002950175515969,0.0,1.1517061433157365,-99.81739761394896,0.0128731663641789,-0.0297724528316772,-7.086153879791057e-06,-0.0007729816657958,2463.867703638442,1963.326290900664,-0.0005795694765178,0.8046287199958081,0.0131160042456826,2.044194678402567e-05,-138.6472343466002,0.0179746656271556,0.0,0.0011948843188773,1974.0032496797623,-0.0007661374566578,0.0,-0.0575678069002738,0.8041675775505632,0.0253508337463932,0.2446230370762048,-2499.52961939292,1777.0297953357988,2.358111069793393
