longslipFR,FxRR,signal,sideslipFL,FxFL,rollrate,az,pitchrate,FL,roll,steeringangel,brake,pitch,RL,ay,longslipFL,sideslipFR,FxRL,y,x,RR,FxFR,FyFR,sideslipRR,slip,vx,gas,vy,FyRR,sideslipRL,longslipRL,ax,yawrate,signal,FyFL,FyRL,yaw,slip1,longslipRR,FR
2.808349639999672e-07,0.0466828417996951,0.0,0.0,0.0466599392730695,-0.0001080008855989,1.4877731725295706,-2.3775753347015152e-08,1e-05,-1.2512815238071413e-07,0.0,0.0,-3.921815721326774e-05,1e-05,-0.1072571782351647,2.808349639999672e-07,0.0,0.0466828441670547,-138.6472273329127,9975.981220894291,1e-05,0.0466599402084195,0.0,0.0,0.0,0.0,10.729166666666668,0.0,0.0,0.0,2.808349639999672e-07,-0.3431306652622907,-3.1788466794521145e-07,0.0,0.0,0.0,-0.0130201565377619,0.0,2.808349639999672e-07,1e-05
-0.0005803651754477,1547.7810389653669,0.0,-0.0008659353392535,-47.794902615775214,-0.0049169062123139,-0.0662155617865713,-0.0071726978455913,0.0139595587173891,-2.829531021062481e-05,8.315864276690332e-12,0.0,-7.268270544982817e-05,1.0843085102226775,0.0512574088933185,-0.0006030460266187,-0.0002758147553805,1538.6319078758793,-138.6472266153935,9975.981249645403,1.0821492871471718,-45.75854227491614,6.898529018625194,-0.0007722125224862,0.0,0.0084803266415314,4.130056695708689,0.0002429550209704,17.23445923968894,-0.0002269429029785,0.0125048836359712,1.849650456251019,-2.501495390054726e-06,0.0,19.28667828772842,5.691582182708809,-0.013020216233568,0.0,0.0126572462534902,0.0135077245638275
-0.0008115126378487,2188.9042315080733,0.0,-0.0038202863058845,-142.67254486668344,-0.0084076170302595,-0.0529532388447757,-0.0177176579778921,0.0903487500213525,-9.870033572941896e-05,-7.556367305484527e-08,0.0,-0.0002007637183987,1.6597031338777015,0.2262384761736892,-0.0007883273215758,-0.00018987288258,2160.194654011575,-138.6472219980998,9975.981447413158,1.6178782395776128,-143.0097267377067,22.340638009453773,-0.0035728716879911,0.0,0.0299484315939139,1.679634403138999,0.0013421037123822,130.0402713417425,-0.0003460449907474,0.0151775111913369,2.506872249945797,8.652055991586223e-05,0.0,141.68886754824734,22.92514364574704,-0.0130198178159173,0.0,0.0155116228959405,0.0875826872970673
-0.0009773627807388,2865.686398803343,0.0,-0.0060975542003154,-135.0250901723171,-0.0091940645822398,-0.0474474411885676,-0.0303316123661191,0.1919915835054567,-0.0001892787393589,-4.062286847537762e-07,0.0,-0.000445610500739,2.317251008180521,0.3224340902788006,-0.0009885059102955,0.004603620410744,2852.267345078515,-138.64720041116956,9975.981897713127,2.22394007505813,-133.72238655016884,-105.75826057944562,-0.0059832832638251,0.0,0.0585818710772347,0.7647666404224855,0.0040549567665231,315.47472565993183,0.0033392813580754,0.0212282431276627,3.3619438861980884,9.995885966635612e-05,0.0,324.97419931914544,-66.61009066957772,-0.0130186637390691,0.0,0.021478533825572,0.190230669689521
-0.0009777668715904,3696.053794676771,0.0,-0.0099716407829343,-149.89008526551092,-0.0087569007751757,-0.0093798336827046,-0.0442890673345225,0.3336851538287363,-0.0002773008911786,-1.2358236224027566e-07,0.0,-0.0008252880227217,2.6915540344666558,-0.0450374418079575,-0.000961208095108,0.0138009580957668,3680.2436710332254,-138.64715811912197,9975.982685568286,2.583381157050753,-148.6289621068441,-552.9383924703941,-0.0087206485289781,0.0,0.0967604221065145,0.4103647270782107,0.0057672430543485,486.814327120469,0.0124683412044953,0.0296705574868421,4.366674512257613,-0.0001231984671976,0.0,515.4333515448789,-481.3800766032389,-0.0130188852953943,0.0,0.0293621686845318,0.330509630179028
-0.0011127196059326,4088.220117611969,0.0,-0.0219784186655319,-157.5762070057713,-0.0093432638852457,0.0366547336315312,-0.0576784721668816,0.4947509685280676,-0.0003694561050472,-6.162976434747225e-07,0.0,-0.0013431984524941,2.615561164002102,-0.0253141223077016,-0.0011114531794534,0.0201773519455799,4149.057808871661,-138.64712020398522,9975.983905652149,2.5088306720033207,-157.87386440613676,-1042.066842098012,-0.0202224371499338,0.0,0.1434022041748524,0.2633681419575228,0.0049836668365232,963.8772438466692,0.0193211983142754,0.0354932151024564,4.88917002999851,-9.161496504043468e-05,0.0,1025.4029236260308,-1025.6394883403802,-0.0130201200404654,0.0,0.034554899050973,0.4922255869785066
-0.001235955720879,4062.332841344486,0.0,-0.0290571353865625,-151.32137703907483,-0.0078921132613869,0.0723198085349627,-0.0684211008824621,0.6622133266846629,-0.0004551522703141,-5.065318307788031e-06,0.0,-0.00198196096923,2.397616308630667,-0.0754474237677527,-0.0011819975119412,0.0325397570105313,4076.4279250767377,-138.64709389856296,9975.98561124646,2.4414794390800885,-147.078020686456,-1625.285036575715,-0.0295855436016878,0.0,0.1926538052337147,0.2023663415936779,0.004753458900654,1655.358017734248,0.0313054686116154,0.0372344577412698,4.84782163400378,1.6415057827526087e-05,0.0,1602.5718376762652,-1722.3379296153505,-0.0130206059521844,0.0,0.03822944163893,0.6586283161681359
-0.0012727619236395,3855.8132122765255,0.0,-0.0312370369640699,-143.47776750237836,-0.0069733822041862,0.0837046747784984,-0.0753212558964773,0.8187772380195278,-0.0005292411310688,-1.451122075627032e-05,0.0,-0.0027072973647135,2.402612006017564,-0.0892632261429077,-0.0012185499604039,0.031871907730451,3877.968249497712,-138.64707976384267,9975.987802169824,2.4572027953822864,-145.58036741454683,-2032.0879935682592,-0.0391023345186129,0.0,0.2402651659940962,0.1803656042481319,0.0038214700583176,2390.5249364291294,0.0388075090539262,0.0403146469281515,4.627373604963634,3.699784433263218e-05,0.0,1963.8174831544245,-2451.215223575952,-0.0130199858820982,0.0,0.0416348713444845,0.815731206335533
-0.001292832456388,4037.5309522254606,0.0,-0.0296634995047343,-140.89993358522943,-0.00546235914709,0.0659562104575189,-0.079445725237188,0.9687563021474316,-0.0005908638486813,-2.5303612084422445e-05,0.0,-0.0034846440003025,2.341202385614329,-0.0725227510869829,-0.0012342525145497,0.0318387161026526,4032.895090468832,-138.64708030738558,9975.990463648404,2.423485583940457,-137.6431977964408,-2061.8366593139385,-0.0357880992701735,0.0,0.2876342021208093,0.1705562230363852,0.003100637884628,2699.9949317746264,0.0356738183666478,0.0404785554407488,4.863970765994919,0.0001395749983154,0.0,2018.9717718700008,-2765.908878486745,-0.0130192436715748,0.0,0.0426102672443274,0.9662372626484016
-0.0012638717203505,4040.887199987218,0.0,-0.0296109399285008,-139.77950638957384,-0.004009680498431,0.084758234371844,-0.0818624928844986,1.1217967894018888,-0.0006374709843794,-3.96268707749455e-05,0.0,-0.0042939103713795,2.135098503027222,-0.0819414672706342,-0.0012067155597336,0.0316648635386667,4030.445080066807,-138.6470946801834,9975.993609813331,2.204197364540662,-139.41451719421227,-2061.2268930048085,-0.0347072612609729,0.0,0.3366934745853605,0.1617283999027493,0.0022793431200201,2820.86578435342,0.0342427966866165,0.0348519154075952,4.869079706105686,0.0001656729190357,0.0,1988.3504559317291,-2872.7389361464734,-0.0130175193890662,0.0,0.0368034046785693,1.1199678732327372
