FxFR,FxRR,rollrate,steeringangel,FR,FxRL,sideslipRR,x,vx,RR,slip,FL,FyRL,signal,yawrate,FyFR,gas,y,sideslipFR,sideslipFL,yaw,longslipFL,slip1,longslipRR,pitch,sideslipRL,ax,FyFL,vy,longslipRL,signal,brake,longslipFR,ay,pitchrate,az,roll,RL,FxFL,FyRR
0.0466599402084196,0.0466828417996954,-0.0001080008855989,0.0,1e-05,0.0466828441670549,0.0,4564.018298359632,0.0,1e-05,0.0,1e-05,0.0,0.0,-3.1788466794528535e-07,0.0,17.881944444444446,-4850.897164652041,0.0,0.0,-0.0342957201195726,2.808349639999672e-07,0.0,2.808349639999672e-07,-3.9218157213248485e-05,0.0,-0.3431306652622903,0.0,0.0,2.808349639999672e-07,0.0,0.0,2.808349639999672e-07,-0.1072571782351639,-2.3775753347224906e-08,1.4877731725295662,-1.2512815238127624e-07,1e-05,0.0466599392730696,0.0
-45.75853934436751,1547.781042113167,-0.0049169070171574,0.0,0.0135077235372194,1538.6319089146716,-0.0007722126776018,4564.0183271195,0.0084803266374004,1.0821492862600806,0.0,0.013959558540463,5.691584911514616,0.0,-2.501513631808599e-06,6.898517053658372,6.893108378077063,-4850.897164546333,-0.0002758141952947,-0.0008659359744629,-0.0342957798154886,-0.0006030459982721,0.0,0.0126572463008556,-7.268271119580988e-05,-0.0002269429815789,1.8496504524269235,19.28668992787782,0.0002429550595765,0.0125048836592421,0.0599910004049913,0.0,-0.0005803651418275,0.0512574097733815,-0.0071726992989191,-0.0662153214831475,-2.8295318894235186e-05,1.0843085104833043,-47.79490148057706,17.234463926003237
-143.0097308411693,2188.904238464928,-0.0084076174639042,0.0,0.0875826896486228,2160.194660847929,-0.0035728718253729,4564.018524940726,0.029948431608553,1.6178782327934649,0.0,0.0903487521819541,22.925147714078676,0.0,8.652054617366271e-05,22.3406198275947,2.827796098125428,-4850.8971641373855,-0.000189873102941,-0.0038202869473151,-0.0342953813980694,-0.0007883273147062,0.0,0.0155116229479329,-0.0002007637381622,-0.0003460450087117,2.5068722554189065,141.68891405228186,0.0013421038778943,0.0151775112400291,0.1199280129588891,0.0,-0.0008115126330158,0.226238497566293,-0.0177176592202564,-0.0529532694205198,-9.870035038110624e-05,1.6597031312282764,-142.67254785076796,130.04028188356273
-133.7160448131883,2866.258436408024,-0.0094237940251302,0.0,0.1902302754082313,2852.7343781518143,-0.0060462942861637,4564.018975598172,0.0585818407665621,2.22799165023222,0.0,0.1919924840802111,-66.09192863373893,0.0,9.938846600590508e-05,-105.17060895902068,1.318843563357175,-4850.897152129177,0.0045398710449359,-0.0061654399758784,-0.0342942282855102,-0.0009892976383768,0.0,0.021505028245282,-0.0004456339924699,0.0032844182443548,3.365574223914715,325.59850928723023,0.0040595536858499,0.0212438014522375,0.179757098396022,0.0,-0.0009771130165446,0.3036920741805654,-0.0303478719267782,-0.0621409015719837,-0.0001896500698494,2.3213083074582053,-135.0452454907042,316.0594297066287
-150.17896496418996,3755.945514431152,-0.0107616553063725,0.0,0.3312348650291082,3752.1654024531103,-0.0099916849042346,4564.019764773972,0.0969572441704344,2.797116455521747,0.0,0.3347360258252048,-447.22519762523314,0.0,-0.0001315330488066,-519.1555627498512,0.7455834938470991,-4850.897125116358,0.0129409253281787,-0.0113591847820563,-0.0342944804297905,-0.0009878178403816,0.0,0.0313727188634734,-0.0008283837225108,0.0116187943477184,4.448311970752907,561.1818485748834,0.0061814498074644,0.0313669654645053,0.2394244145778387,0.0,-0.0009945298415308,0.0745265102260067,-0.0450209882307372,-0.0368283221478734,-0.0002904935934713,2.8995449255018606,-151.6003368492619,528.6111851371196
-162.10111813696167,4303.973251445716,-0.0117650081020554,0.0,0.498904936747293,4333.440755414991,-0.0208808414093436,4564.020994637624,0.1451099784665042,3.116967851766735,0.0,0.5025106479325748,-1020.268184098712,0.0,-9.993888588489354e-05,-1063.674606696087,0.5158083791784259,-4850.8971034313545,0.0220941657861137,-0.022600127688751,-0.0342958813819349,-0.0011627006267104,0.0,0.0428165131503575,-0.0013622910042373,0.0208448715301204,5.128497411170493,1082.682254678016,0.0064097477137972,0.0432298014075718,0.2988762649471985,0.0,-0.0011734189338503,0.0137170742950593,-0.0600838489401101,0.0210970156994636,-0.0004048197562549,3.213743320906501,-162.52026344231513,999.6332701312832
-153.39659989913844,4370.597530644909,-0.0112714226442219,0.0,0.6763538913078737,4422.299539756335,-0.0330565886518726,4564.022733356619,0.1973856299084977,3.431041126648274,0.0,0.6805650508701301,-1705.7344524780283,0.0,-3.1063907069177416e-05,-1718.3785008809905,0.4216704330128521,-4850.897098854512,0.0347726159726763,-0.0326132638884148,-0.0342964322999714,-0.0013149034502351,0.0,0.0561980182035473,-0.0020363926579172,0.0337752257865446,5.242896476285592,1713.0517417044605,0.0063937108030407,0.0552195364752625,0.3580591468516483,0.0,-0.0013593840388617,-0.0323830648474427,-0.072921593800422,0.0471566504290566,-0.0005203234882915,3.41877150088303,-156.80726719787236,1667.7705355526994
-154.16602982298153,4255.307884679054,-0.0107277006447012,0.0,0.8512138595232144,4303.942875253243,-0.0417837150414452,4564.024995358698,0.2493629927515989,3.842804698193128,0.0,0.8557196785097938,-2320.3180978628225,0.0,5.094577957415124e-05,-2098.400255628449,0.3850217803537313,-4850.897115260277,0.0334717433315499,-0.0324530833647125,-0.0342964138545461,-0.0013144782458413,0.0,0.0728813407134896,-0.0028194635734309,0.0417295429717431,5.126278638934604,2068.660619514821,0.0058143075567128,0.0695199947420759,0.4169197996921991,0.0,-0.0013852237682256,-0.0809167795567759,-0.082180597573471,0.0343618976043716,-0.0006300557097402,3.725276488568368,-153.6584904585684,2230.331178758151
-146.75509500367968,4393.111473055474,-0.0097855764623105,0.0,1.0208813261857408,4510.229427989207,-0.0412284689529147,4564.027775737589,0.3017990355498758,4.1991374112842985,0.0,1.0238637369943868,-2393.2220209114807,0.0,0.0001931060226723,-2131.7406922752057,0.3683505748918981,-4850.897156451447,0.033488044384854,-0.0320501642020913,-0.0342949962030224,-0.0013913453929466,0.0,0.0899167173924752,-0.0036797174788067,0.0389324547240626,5.365816174227774,2117.482921229644,0.0051165458591376,0.0816486064685573,0.4754052528542691,0.0,-0.0014386117777793,-0.06666408531638,-0.0889222515663791,-0.0129111252030991,-0.000732544049847,3.914178342768198,-149.72685621099373,2306.679539468129
-149.35719403709504,4506.103472424356,-0.0088885596704034,0.0,1.1949929181894647,4645.31739883702,-0.0423648364280852,4564.03109197915,0.3562921332648794,4.447726110609687,0.0,1.197685213769054,-2321.7508152311684,0.0,0.0003630534880879,-2124.421769035401,0.3561703317273392,-4850.897223268141,0.0336964785154236,-0.032428180455798,-0.0342923487325788,-0.0013899188503927,0.0,0.1052789839983526,-0.0045990635937731,0.0382191924519167,5.526784778073525,2112.481225445825,0.004299967580203,0.0871831790122518,0.5334628733776623,0.0,-0.0014583791414593,-0.1079580172697677,-0.094208256805823,-0.0555208788474311,-0.0008252073038688,3.878853312514778,-150.08844618223125,2180.380951186701
