slip1,gas,longslipRL,FyRL,FxRR,rollrate,yawrate,RL,x,FxFL,pitchrate,signal,sideslipRL,vx,longslipFR,FyFR,signal,sideslipRR,RR,steeringangel,brake,FL,FxRL,y,longslipFL,longslipRR,vy,sideslipFR,ax,ay,slip,FyRR,pitch,FxFR,az,sideslipFL,FR,FyFL,yaw,roll
0.0,3.576388888888889,2.808349639999672e-07,0.0,0.0466828417996951,-0.0001080008855989,-3.1788466794521145e-07,1e-05,9975.981220894291,0.0466599392730695,-2.3775753347015152e-08,0.0,0.0,0.0,2.808349639999672e-07,0.0,0.0,0.0,1e-05,0.0,0.0,1e-05,0.0466828441670547,-138.6472273329127,2.808349639999672e-07,2.808349639999672e-07,0.0,0.0,-0.3431306652622907,-0.1072571782351647,0.0,0.0,-3.921815721326774e-05,0.0466599402084195,1.4877731725295706,0.0,1e-05,0.0,-0.0130201565377619,-1.2512815238071413e-07
0.0,1.367005013305512,0.0125048836359712,5.691582182708809,1547.7810389653669,-0.0049169062123139,-2.501495390054726e-06,1.0843085102226775,9975.981249645403,-47.794902615775214,-0.0071726978455913,0.0,-0.0002269429029785,0.0084803266415314,-0.0005803651754477,6.898529018625194,0.0,-0.0007722125224862,1.0821492871471718,8.315864276690332e-12,0.0,0.0139595587173891,1538.6319078758793,-138.6472266153935,-0.0006030460266187,0.0126572462534902,0.0002429550209704,-0.0002758147553805,1.849650456251019,0.0512574088933185,0.0,17.23445923968894,-7.268270544982817e-05,-45.75854227491614,-0.0662155617865713,-0.0008659353392535,0.0135077245638275,19.28667828772842,-0.013020216233568,-2.829531021062481e-05
0.0,0.5314724806580229,0.015125871054012,20.38933328226924,2184.9768252152007,-0.007477893978636,8.742369594008794e-05,1.631064771600836,9975.981447412136,-142.4480560671779,-0.0176198905487973,0.0,-0.0001768232173866,0.0299478053421744,-0.0008113798955957,19.20209270650524,0.0,-0.0033493032188864,1.5896458399428448,-7.631480346439737e-08,0.0,0.09030217846561,2158.1509799520145,-138.64722206957055,-0.0007838605982578,0.0154120108214426,0.0013086919046073,1.932089811824652e-05,2.498051448484095,0.230352217616975,0.0,126.70200518499163,-0.0002005502350542,-143.0304788790341,-0.0239392050554784,-0.0035866420571332,0.0875958755010758,138.20514991057286,-0.0130198138499095,-9.6225544658128e-05
0.0,0.2113235995809723,0.0192457047379627,-112.42608860422024,2728.9671435627847,-0.0051817537015279,7.072967572415143e-05,1.9068674368057243,9975.98189645282,-131.95154460218518,-0.0289384424655548,0.0,0.0046039519990223,0.0581758215008841,-0.0009428756111467,-153.6679930635558,0.0,-0.0041343984333374,1.8302751676881448,-3.629008549461025e-07,0.0,0.1896048624113658,2729.578905636107,-138.647203347868,-0.0009501188726224,0.0191700831997513,0.0033705129501551,0.0058463682623108,3.20049922304395,0.1431204123799002,0.0,253.73058512052057,-0.0004388505306846,-130.91727513239252,0.0026165381918178,-0.0042046544215393,0.1887598219899278,261.13961452964713,-0.013018776337903,-0.0001598771546323
0.0,0.0812839537432411,0.0210710778732101,-499.2182496694396,3107.899839064445,-0.0044862249804964,-0.000129505649135,1.6978952850319282,9975.982664153673,-137.6399780246697,-0.0398189878312853,0.0,0.0108496522124768,0.0926679074929844,-0.0008565092681738,-542.7965449695088,0.0,-0.0074671012313142,1.6379329538758247,1.0404166057582317e-07,0.0,0.3176489105501717,3119.7764137980853,-138.6471770485938,-0.0008423231846333,0.020689194180758,0.0033551351672987,0.0114646233271795,3.670268781100524,-0.1694566387281866,0.0,384.4538797801722,-0.0007889469320211,-137.0922234335695,0.0286691141572148,-0.0087811380821455,0.3157574701235305,413.29222069520216,-0.0130192741634008,-0.0002050869386433
0.0,0.0274612492874486,0.018632274993857,-871.1490354142529,3007.720099219025,-0.0040766263267343,-3.184823417362068e-05,1.2859260476588874,9975.983794548632,-136.30466777600523,-0.0488249084834667,0.0,0.0146830286890368,0.1295611784311373,-0.0008824215117433,-847.4829411553137,0.0,-0.0157938181581241,1.2902193764623069,-1.90923994530389e-07,0.0,0.444568618785373,3055.512064180106,-138.6471659405219,-0.0008883870685639,0.0186992874020288,0.0021290804314566,0.0153376855810107,3.571009977832704,-0.0211185376125994,0.0,817.8991897751156,-0.001238920197663,-136.00896028443262,0.065926313313326,-0.016947425226305,0.4436724216039545,851.2521052635158,-0.0130202250437408,-0.0002500497443242
0.0,0.0108661512594494,0.0157861896268659,-1360.6370417725034,2663.3892923426483,-0.0022826934276947,9.392946880790736e-05,1.0763370565238195,9975.985280873236,-122.61228940919486,-0.0545006227141579,0.0,0.0216167083132671,0.1635247334486878,-0.0008652337808397,-1272.4702636144586,0.0,-0.0203354958457631,1.1005490413692507,-3.1480091859116395e-06,0.0,0.5601196800722282,2625.02558567774,-138.647165769447,-0.000825315994553,0.0161125863131401,0.0017173684850731,0.023201768039179,3.119168228639181,-0.0991267192427713,0.0,1295.0443201087369,-0.0017614799764257,-121.66961984839216,0.0796440058295193,-0.0196304473323791,0.5587399594019689,1188.3287632765357,-0.0130197328829716,-0.0002799858751041
0.0,0.0105642621580377,0.0148965552995518,-1815.0144930525069,2336.0092070914384,-0.0012380155693726,-2.9390565318401955e-05,1.0767311734344127,9975.987082423751,-112.18456184419756,-0.0565275803016609,0.0,0.0255112091575014,0.1932234844378105,-0.0008236213104623,-1569.1100865377252,0.0,-0.0254746652144577,1.0777768723352634,-5.536412993449021e-06,0.0,0.6542835708454217,2354.5476392103874,-138.64717785115047,-0.0008378045252684,0.0148884083344345,0.000715875728758,0.0250002135873307,2.7794669444280222,-0.0699444064274756,0.0,1773.625752784272,-0.0023204512795114,-111.66437582910858,0.0728221841676114,-0.0257258345019159,0.6542853031051522,1519.3642431271617,-0.0130193992971998,-0.0002976541783922
0.0,0.0140699304756999,0.0138831228432102,-2220.1266260328,2124.329803819394,0.0001297361167526,8.386615512016263e-05,1.1124986797650571,9975.989164227873,-104.8454662016475,-0.0554398195475211,0.0,0.0289455828394059,0.2200396358320396,-0.0008509172136431,-1798.8985154035518,0.0,-0.0286529598393514,1.1078095215860662,-6.7868289985927294e-06,0.0,0.734750386685051,2122.826223160195,-138.6472009820718,-0.0008060604779716,0.0137023656683836,0.0001106520450865,0.0289432324804442,2.5296802727485823,-0.0658889181349482,0.0,2160.550737995212,-0.0028820964707223,-104.27367204443895,0.0726473307908266,-0.0267387486295898,0.7337154042151979,1740.8215633756429,-0.0130191106283665,-0.000301972997857
0.0,0.0179746656271556,0.0128731663641789,-2499.52961939292,1974.0032496797623,0.0011948843188773,2.044194678402567e-05,1.1453460252832022,9975.991501175697,-99.81739761394896,-0.0519285950589873,0.0,0.0299654805036755,0.2446230370762048,-0.0007661374566578,-1816.2794609551013,0.0,-0.0297724528316772,1.1517061433157365,-7.086153879791057e-06,0.0,0.8041675775505632,1963.326290900664,-138.6472343466002,-0.0007729816657958,0.0131160042456826,-0.0005795694765178,0.0253508337463932,2.358111069793393,-0.0575678069002738,0.0,2463.867703638442,-0.0034188018882505,-99.18449671211911,0.0813811180001819,-0.025067907720334,0.8046287199958081,1777.0297953357988,-0.0130186984224201,-0.0002950175515969
