Feature,Saliency
sideslipFL,0.010065255885516914
FxFL,0.009787536439641068
sideslipFR,0.012368238172105825
brake,0.012980664828016112
RR,0.014667977287899703
FyFR,0.010240782156567244
longslipRR,0.012298643424098069
RL,0.010915792828503376
FyRL,0.011564736855992427
yawrate,0.011548649602142783
steeringangel,0.014032615921072042
slip1,0.015498574488447048
az,0.012231317489446761
x,0.012530603547929786
ax,0.01531903688252593
yaw,0.011823473711653302
pitch,0.011723000924879065
FxFR,0.01061052139266394
FxRL,0.01260785706108436
vx,0.01240536025337254
y,0.01434588513802737
FyRR,0.011226708986214362
pitchrate,0.015647521785770852
vy,0.012240232220695665
longslipFR,0.013470677581305305
FxRR,0.013138461305061355
rollrate,0.011658028493305514
signal,0.012305446279545626
ay,0.011267842239855478
slip,0.012109831021613596
longslipFL,0.009343523027685782
gas,0.012157054909039289
FL,0.0134150244363506
FyFL,0.012700975814368576
sideslipRR,0.011037192908891788
longslipRL,0.012685809973239278
FR,0.01408202588451483
sideslipRL,0.013252577239957949
roll,0.013706668105442077
signal.1,0.013458942024347683
