Feature,Saliency
yawrate,0.015088695942217277
az,0.017953552357438538
longslipRR,0.014291309234168794
longslipFL,0.014635841491528682
slip,0.015202142867363162
sideslipRR,0.012501049890286393
FxRL,0.009756252945711216
longslipFR,0.011688859305448003
ay,0.013832830629932383
steeringangel,0.012026977932287587
sideslipFR,0.011493090384950241
pitch,0.02315265881932444
FyRL,0.015906885990666017
signal,0.0156636953405622
ax,0.015587909612804651
brake,0.010914635534087816
yaw,0.017021860720382795
RR,0.015130643888066212
x,0.010259289701934904
FxRR,0.013716004530174864
vx,0.013021369982096884
sideslipFL,0.01582394850750764
y,0.01723878908281525
FyFR,0.014097417782371243
roll,0.013029355685123138
pitchrate,0.011547219370388322
FxFL,0.013699655369338062
gas,0.012637590627289481
slip1,0.01548922248184681
longslipRL,0.011307432264503505
rollrate,0.013686814862820838
FxFR,0.013130620936863124
signal.1,0.015805929330074124
FyFL,0.016860738086203735
FL,0.011553153770768808
vy,0.00859336258791801
sideslipRL,0.01382370214883445
RL,0.013678844849992957
FR,0.013023214621676339
FyRR,0.015034801119731532
