Feature,Saliency
longslipRR,0.043027836518983044
sideslipFR,0.04187325341627002
pitch,0.04361148038879037
FR,0.043819296561802425
rollrate,0.03976747991206745
roll,0.042393992111707725
x,0.04346698778681457
yawrate,0.04565672863585254
longslipFR,0.04222691532534858
signal,0.040667703142389655
FxFR,0.04625834105536342
vx,0.045511415150637426
ay,0.042897813875849046
brake,0.04363780259154737
longslipFL,0.04506954411044717
pitchrate,0.042785179102793336
az,0.043466813396662474
FyRR,0.045815480407327414
yaw,0.04432845379536351
FxRR,0.041276216972619295
y,0.041111195382351674
RR,0.042018307683368526
FxFL,0.043805405187110104
sideslipFL,0.043998049960161247
sideslipRL,0.04368235318300625
signal.1,0.04603724336872498
longslipRL,0.045566949139659606
FxRL,0.04417282738722861
RL,0.0452654215041548
FyFR,0.04558894798780481
FyRL,0.04378536079699794
steeringangel,0.04313877131789923
ax,0.044637729336197175
FyFL,0.04390809095154206
slip,0.04468531759145359
vy,0.0448100579281648
gas,0.04399259869630138
sideslipRR,0.044685528768847384
slip1,0.04540975314254562
FL,0.04459859531683227
