Feature,Saliency
FyRL,0.014502296334934986
ax,0.014072585086978506
yawrate,0.013531042898518666
roll,0.014701705273702308
FxFL,0.014406755218910152
sideslipFR,0.0137196771120216
FxFR,0.013799095329886768
brake,0.014562321717676241
steeringangel,0.014025596698047593
longslipFL,0.013865103602646351
FxRL,0.014243543456359475
signal,0.013635831637137536
RR,0.014302144244668722
signal.1,0.01345363505242858
yaw,0.014045477425367738
FyFR,0.01350321588155826
FxRR,0.014215309788726569
longslipFR,0.014006611689442902
longslipRR,0.014657582748830984
sideslipRL,0.014491721164501672
az,0.014111929180216976
FL,0.014248401100693238
y,0.01434006640296762
ay,0.014330135992557709
sideslipFL,0.013319451308884058
FyRR,0.01434607105433575
RL,0.0137322877115886
gas,0.013947223713330459
sideslipRR,0.013421598949727402
vx,0.013953891466371715
FyFL,0.014419249106919909
pitch,0.013574818386197356
vy,0.013826914295870145
slip1,0.01336055809172519
rollrate,0.013690496921169273
pitchrate,0.013647862623266909
slip,0.014086179445647369
x,0.014602212525850129
FR,0.013660310979633192
longslipRL,0.014570221534086158
