Feature,Saliency
az,0.012766129703127913
FyFL,0.0142707979650281
FyRR,0.01415437053877949
FyRL,0.01395017933100462
FxFR,0.014639505492855929
roll,0.013883703263543015
FxRR,0.014738916990435905
sideslipRR,0.013174375591223083
y,0.012790331179054365
FR,0.012197054063324771
yaw,0.015017813118729031
longslipRR,0.012297559343832767
vy,0.014155821988381268
RL,0.014968547113572381
ay,0.01504558955396836
pitchrate,0.013046949347924618
longslipRL,0.014655602045379402
x,0.014781430042127059
sideslipFR,0.014228100605708147
FxRL,0.01561999979561993
vx,0.015924527273801642
signal,0.014037503212291216
slip,0.014595924250205002
yawrate,0.013687229075003415
pitch,0.014287548452904005
ax,0.014081182482186705
sideslipFL,0.013568742752319113
slip1,0.013999216943158813
gas,0.014341420704676281
FxFL,0.015941943662861984
FL,0.013473006006928958
sideslipRL,0.014607728420135876
FyFR,0.013811441276976396
steeringangel,0.015233368263579905
longslipFR,0.013479216223848718
brake,0.014835531679203822
rollrate,0.014906694774427229
signal.1,0.014300222774701459
longslipFL,0.014475577752039368
RR,0.01505064625581283
