Feature,Saliency
az,0.012829944649378635
FyFL,0.01366399918472217
FyRR,0.01418240980378219
FyRL,0.013936211920476385
FxFR,0.012805490460734637
roll,0.013860002620190028
FxRR,0.014912811019236133
sideslipRR,0.012953709786026073
y,0.01279805241973095
FR,0.01213394102385445
yaw,0.0147585953042532
longslipRR,0.011515477877331986
vy,0.014010336003377147
RL,0.014921297443964119
ay,0.01415718320779325
pitchrate,0.013050005480181426
longslipRL,0.014837536969155605
x,0.014780566645120936
sideslipFR,0.014324474916239047
FxRL,0.013834816730758618
vx,0.015133653404302009
signal,0.014030530009352202
slip,0.014352963186822654
yawrate,0.013617405756598427
pitch,0.014456140498320261
ax,0.013875971739513002
sideslipFL,0.012827543539017262
slip1,0.014020204580100696
gas,0.014137304615273717
FxFL,0.015260632177593098
FL,0.012713910815017741
sideslipRL,0.014522586015075268
FyFR,0.013740814870245577
steeringangel,0.014038544988060104
longslipFR,0.013436943403489533
brake,0.014662250793272895
rollrate,0.013931791652880963
signal.1,0.014314316229761712
longslipFL,0.014454850009531669
RR,0.01501758280210197
