Feature,Saliency
steeringangel,0.014113207834140797
gas,0.015949943783371487
yaw,0.012940199539852551
yawrate,0.013206305587248477
ax,0.01291547535046924
RL,0.01526513628292984
FxFR,0.013827680856809906
slip,0.01440825614485047
brake,0.013647516091060382
FxRL,0.014086988638155162
y,0.015774826151928642
pitch,0.014738513465826622
FL,0.013185442826874177
FR,0.01482937216115672
vy,0.015375314452241929
sideslipFR,0.01581366011911693
FyFL,0.014564948870212816
longslipRR,0.012094533481147317
RR,0.013528796953670237
ay,0.016421105005151947
FyFR,0.016224896607343994
signal,0.01391204565394825
x,0.014475946902253088
vx,0.011836984539210485
sideslipRR,0.010902712493719133
sideslipFL,0.011698456007122462
FyRR,0.014136369550778042
sideslipRL,0.013542494176709581
az,0.013819017792619499
FyRL,0.014954426476920378
FxFL,0.0155979279502173
longslipRL,0.01196191193455542
rollrate,0.015443631938459086
longslipFR,0.016164979768551087
slip1,0.011986033386728238
pitchrate,0.014796782766574151
longslipFL,0.015954888770855696
FxRR,0.013985873294240307
signal.1,0.014114075975764232
roll,0.015852433643885888
