,allando_v_chirp_a1_v10,allando_v_chirp_a1_v100,allando_v_chirp_a1_v105,allando_v_chirp_a1_v110,allando_v_chirp_a1_v115,allando_v_chirp_a1_v120,allando_v_chirp_a1_v125,allando_v_chirp_a1_v130,allando_v_chirp_a1_v135,allando_v_chirp_a1_v140,allando_v_chirp_a1_v15,allando_v_chirp_a1_v20,allando_v_chirp_a1_v25,allando_v_chirp_a1_v30,allando_v_chirp_a1_v35,allando_v_chirp_a1_v40,allando_v_chirp_a1_v45,allando_v_chirp_a1_v5,allando_v_chirp_a1_v50,allando_v_chirp_a1_v55,allando_v_chirp_a1_v60,allando_v_chirp_a1_v65,allando_v_chirp_a1_v70,allando_v_chirp_a1_v75,allando_v_chirp_a1_v80,allando_v_chirp_a1_v85,allando_v_chirp_a1_v90,allando_v_chirp_a1_v95,allando_v_chirp_a3_v10,allando_v_chirp_a3_v100,allando_v_chirp_a3_v105,allando_v_chirp_a3_v110,allando_v_chirp_a3_v115,allando_v_chirp_a3_v120,allando_v_chirp_a3_v125,allando_v_chirp_a3_v130,allando_v_chirp_a3_v135,allando_v_chirp_a3_v140,allando_v_chirp_a3_v15,allando_v_chirp_a3_v20,allando_v_chirp_a3_v25,allando_v_chirp_a3_v30,allando_v_chirp_a3_v35,allando_v_chirp_a3_v40,allando_v_chirp_a3_v45,allando_v_chirp_a3_v5,allando_v_chirp_a3_v50,allando_v_chirp_a3_v55,allando_v_chirp_a3_v60,allando_v_chirp_a3_v65,allando_v_chirp_a3_v70,allando_v_chirp_a3_v75,allando_v_chirp_a3_v80,allando_v_chirp_a3_v85,allando_v_chirp_a3_v90,allando_v_chirp_a3_v95,allando_v_chirp_a5_v10,allando_v_chirp_a5_v100,allando_v_chirp_a5_v105,allando_v_chirp_a5_v110,allando_v_chirp_a5_v115,allando_v_chirp_a5_v120,allando_v_chirp_a5_v125,allando_v_chirp_a5_v130,allando_v_chirp_a5_v135,allando_v_chirp_a5_v140,allando_v_chirp_a5_v15,allando_v_chirp_a5_v20,allando_v_chirp_a5_v25,allando_v_chirp_a5_v30,allando_v_chirp_a5_v35,allando_v_chirp_a5_v40,allando_v_chirp_a5_v45,allando_v_chirp_a5_v5,allando_v_chirp_a5_v50,allando_v_chirp_a5_v55,allando_v_chirp_a5_v60,allando_v_chirp_a5_v65,allando_v_chirp_a5_v70,allando_v_chirp_a5_v75,allando_v_chirp_a5_v80,allando_v_chirp_a5_v85,allando_v_chirp_a5_v90,allando_v_chirp_a5_v95
allando_v_chirp_a3_v60,0.962607,0.976085,0.967944,0.978248,0.970117,0.973307,0.965654,0.970634,0.969420,0.971723,0.967834,0.972128,0.976709,0.976090,0.978147,0.976322,0.981581,0.934982,0.979087,0.988176,0.985447,0.979728,0.977873,0.977283,0.974608,0.969032,0.971489,0.966875,0.986098,0.980253,0.985963,0.979757,0.986583,0.978180,0.981708,0.976915,0.979623,0.979124,0.985342,0.986625,0.986857,0.989006,0.988412,0.989951,0.989770,0.958095,0.991392,0.991907,1.000000,0.994014,0.989303,0.988176,0.987505,0.985142,0.979923,0.981603,0.981528,0.977000,0.975425,0.977975,0.972982,0.982289,0.974993,0.978391,0.971327,0.975483,0.985390,0.981724,0.984956,0.986344,0.986744,0.986819,0.988692,0.957916,0.988964,0.987575,0.989397,0.994825,0.990316,0.984584,0.983474,0.985015,0.980189,0.976971
allando_v_chirp_a3_v65,0.957928,0.976534,0.966219,0.977576,0.967021,0.969891,0.964150,0.967716,0.967474,0.970458,0.962243,0.966224,0.969160,0.970444,0.970915,0.972105,0.972886,0.930161,0.975365,0.977655,0.989568,0.979391,0.979853,0.971547,0.976941,0.966893,0.973962,0.966045,0.984058,0.981417,0.988780,0.979400,0.988111,0.977149,0.980768,0.977562,0.979855,0.979528,0.983345,0.984519,0.982763,0.984907,0.984127,0.986313,0.986150,0.953319,0.987184,0.990440,0.994014,1.000000,0.991641,0.992243,0.985460,0.988896,0.980447,0.985964,0.979079,0.981773,0.976265,0.981155,0.973546,0.985403,0.974972,0.978517,0.973050,0.975906,0.984570,0.981929,0.984157,0.983588,0.983923,0.984372,0.986025,0.954929,0.986273,0.985731,0.986717,0.992251,0.995180,0.988402,0.988666,0.984210,0.985412,0.978001
allando_v_chirp_a3_v70,0.955895,0.973330,0.968819,0.972034,0.968314,0.966868,0.967002,0.966774,0.969083,0.973092,0.962353,0.965325,0.968344,0.969982,0.969290,0.970971,0.973992,0.926407,0.975571,0.973138,0.981273,0.989066,0.984280,0.975193,0.977929,0.969213,0.972763,0.966881,0.982768,0.980728,0.985581,0.980396,0.982600,0.977651,0.977105,0.978481,0.977968,0.979732,0.981724,0.984114,0.981921,0.983240,0.981509,0.984184,0.983448,0.950511,0.986924,0.989233,0.989303,0.991641,1.000000,0.995429,0.986989,0.988966,0.981078,0.983022,0.976327,0.981720,0.977424,0.978435,0.974654,0.980758,0.975092,0.975170,0.974207,0.973086,0.982211,0.979682,0.983478,0.982074,0.982042,0.981513,0.983778,0.951258,0.983636,0.984066,0.982602,0.985866,0.987860,0.995935,0.991983,0.985352,0.985369,0.979104
allando_v_chirp_a3_v75,0.958024,0.974708,0.968437,0.972187,0.968932,0.966167,0.966000,0.965468,0.969362,0.972526,0.962341,0.965585,0.970867,0.972782,0.971419,0.973015,0.971869,0.928075,0.975216,0.970207,0.981359,0.983544,0.989108,0.973472,0.979398,0.968384,0.974764,0.968595,0.983510,0.982739,0.987066,0.980136,0.983290,0.978697,0.976779,0.977994,0.977489,0.980300,0.984358,0.985115,0.983074,0.987025,0.985973,0.987134,0.986366,0.953101,0.986982,0.989534,0.988176,0.992243,0.995429,1.000000,0.986601,0.990877,0.981116,0.985742,0.978837,0.983541,0.977506,0.979900,0.975481,0.981504,0.975639,0.974975,0.974005,0.972729,0.984651,0.982924,0.984791,0.983703,0.985895,0.985581,0.987025,0.953613,0.986150,0.985470,0.983715,0.986097,0.988605,0.992581,0.996339,0.984260,0.987204,0.978977
allando_v_chirp_a3_v80,0.963340,0.969730,0.966284,0.968343,0.966309,0.965185,0.961968,0.962926,0.966172,0.968776,0.958218,0.963531,0.968293,0.966345,0.966988,0.964760,0.971641,0.922768,0.964636,0.969236,0.972846,0.973771,0.972247,0.989209,0.978627,0.970313,0.968109,0.966223,0.977443,0.981675,0.982138,0.978415,0.979926,0.977080,0.975907,0.974885,0.975036,0.977857,0.984171,0.981864,0.981898,0.982981,0.986141,0.982167,0.986240,0.946902,0.985426,0.981656,0.987505,0.985460,0.986989,0.986601,1.000000,0.991581,0.982881,0.980811,0.973052,0.978478,0.977322,0.975073,0.977530,0.977573,0.973996,0.973676,0.970784,0.970651,0.981831,0.982672,0.981707,0.981076,0.982458,0.983829,0.982254,0.946469,0.984446,0.982392,0.982747,0.983424,0.985732,0.984508,0.983659,0.996262,0.987144,0.981023
allando_v_chirp_a3_v85,0.961095,0.971783,0.966667,0.968256,0.963822,0.962621,0.961888,0.962212,0.965642,0.968813,0.956734,0.962006,0.966062,0.967491,0.965459,0.967283,0.967175,0.921788,0.968483,0.965226,0.976807,0.975609,0.977312,0.978246,0.989602,0.968834,0.974072,0.966055,0.977897,0.981502,0.984766,0.978262,0.980188,0.974869,0.974232,0.974897,0.975050,0.977652,0.983552,0.980739,0.979426,0.981893,0.984239,0.981560,0.984843,0.946168,0.982633,0.984517,0.985142,0.988896,0.988966,0.990877,0.991581,1.000000,0.982118,0.985802,0.973232,0.984269,0.976679,0.977648,0.977334,0.979553,0.972719,0.973059,0.971806,0.971141,0.981754,0.983337,0.981304,0.980294,0.981962,0.983452,0.982259,0.946723,0.984204,0.981788,0.982197,0.982814,0.987509,0.987764,0.988562,0.989456,0.996202,0.980233
allando_v_chirp_a3_v90,0.946645,0.972194,0.963142,0.965894,0.964326,0.964212,0.962284,0.963296,0.966379,0.968016,0.954177,0.958291,0.961971,0.958897,0.963741,0.960720,0.967260,0.918213,0.959669,0.963201,0.968691,0.968349,0.967544,0.970046,0.968711,0.990062,0.985359,0.971288,0.969486,0.983664,0.982800,0.975531,0.977091,0.974476,0.974349,0.974457,0.974493,0.976551,0.978174,0.976655,0.975191,0.977042,0.975856,0.979452,0.976418,0.941398,0.980652,0.976041,0.979923,0.980447,0.981078,0.981116,0.982881,0.982118,1.000000,0.995317,0.967104,0.991308,0.981131,0.978205,0.973962,0.975734,0.972497,0.972991,0.970854,0.971094,0.975718,0.983324,0.977801,0.977357,0.977735,0.979596,0.979235,0.940628,0.979225,0.977664,0.975651,0.979813,0.980583,0.980771,0.979274,0.981577,0.979578,0.996612
allando_v_chirp_a3_v95,0.949264,0.978328,0.966325,0.971505,0.965225,0.966744,0.963966,0.966204,0.969427,0.970615,0.955668,0.959690,0.963581,0.962316,0.965057,0.963610,0.965212,0.918898,0.963620,0.963972,0.974189,0.969904,0.972485,0.966155,0.972896,0.983692,0.990040,0.974383,0.972688,0.987025,0.988690,0.978444,0.982539,0.975646,0.977286,0.976672,0.977851,0.979717,0.979913,0.978202,0.976219,0.979328,0.978028,0.981120,0.978080,0.943675,0.980270,0.979528,0.981603,0.985964,0.983022,0.985742,0.980811,0.985802,0.995317,1.000000,0.969580,0.995409,0.982928,0.983844,0.976314,0.981078,0.973833,0.975956,0.973192,0.974642,0.978074,0.984794,0.979595,0.979338,0.980244,0.981814,0.981371,0.943320,0.981229,0.979400,0.978113,0.982855,0.985094,0.983263,0.983943,0.980207,0.983774,0.991900
allando_v_chirp_a5_v10,0.969963,0.962542,0.953217,0.960129,0.955731,0.955052,0.950862,0.953627,0.955915,0.959781,0.971721,0.973193,0.975311,0.975374,0.975933,0.975210,0.975380,0.960762,0.974688,0.971613,0.974893,0.970287,0.972977,0.966584,0.967351,0.960320,0.964010,0.956961,0.992927,0.966108,0.969322,0.961713,0.966200,0.960665,0.960359,0.958943,0.960909,0.962356,0.991698,0.988611,0.984955,0.985193,0.984425,0.985405,0.983651,0.985628,0.983363,0.983266,0.981528,0.979079,0.976327,0.978837,0.973052,0.973232,0.967104,0.969580,1.000000,0.966583,0.959659,0.961950,0.956851,0.962457,0.957209,0.957879,0.953933,0.955032,0.996181,0.987102,0.985391,0.983041,0.982195,0.982516,0.983537,0.988943,0.982012,0.980226,0.979597,0.979397,0.975207,0.971500,0.974230,0.969386,0.968930,0.964336
allando_v_chirp_a5_v100,0.939640,0.967599,0.959369,0.960972,0.957957,0.957031,0.958119,0.958221,0.962207,0.964103,0.947202,0.951633,0.955472,0.954593,0.956143,0.955388,0.957072,0.908501,0.956339,0.953436,0.964769,0.963292,0.965087,0.958900,0.966618,0.974534,0.980684,0.964962,0.967841,0.982895,0.983994,0.976408,0.977979,0.973881,0.973563,0.975940,0.976184,0.978883,0.976122,0.975909,0.973982,0.976272,0.975102,0.977861,0.975089,0.935343,0.977835,0.977352,0.977000,0.981773,0.981720,0.983541,0.978478,0.984269,0.991308,0.995409,0.966583,1.000000,0.985370,0.985451,0.980532,0.983148,0.977854,0.978142,0.978373,0.977756,0.978001,0.985872,0.982394,0.982058,0.982832,0.984439,0.984057,0.937820,0.983864,0.982788,0.980854,0.984075,0.987182,0.988136,0.988295,0.983784,0.988277,0.994532
